kasus,num,genus,article
1,s,m,der
1,s,f,di
1,s,n,doß
2,s,m,dem
2,s,f,der
2,s,n,dem
3,s,m,dem
3,s,f,der
3,s,n,dem
4,s,m,den
4,s,f,di
4,s,n,doß
a,p,,di
u,,m/f/n,a/an
