,noun,check
147,li{p-f}ּ,
148,heimisch,
149,in{p-f}{a-o}rm{a-o}zie,
150,iignsch{a-o}{p-f}tn,
151,sch{u-o}l,
152,{p-f}in{a-o}nzir{u-o}ng,
153,h{u-o}if,
154,{b-v}eim,
155,{p-f}r{a-o}sstige,
156,iisn,
157,reder,
158,h{a-o}lter,
159,{b-v}{a-o}l,
160,r{u-o}kn,
161,r{u-o}lss,
162,iingekrizte,
163,wet,
164,geien,
165,{a-o}ssirim,
166,{b-v}{a-o}z{a-o}lte,
167,re{a-o}kzie,
168,ke{p-f}l,
169,iinssn,
170,iin{p-f}ir{u-o}ngn,
171,m{a-o}l,
172,t{a-o}{k-ch}ter,
173,{p-f}l{a-o}z,
174,mdinh,
175,teg,
176,w{a-o}l{u-o}te,
177,a{u-o}rs{a-o}ch,
178,iir{a-o}ָ{p-f}ּeische,
179,s{k-ch}r{u-o}n,
180,imigr{a-o}ntn,
181,kein,
182,inge,
183,sch{p-f}r{a-o}ch,
184,lender,
185,{p-f}ֿ{u-o}nem,
186,indsl,
187,n{a-o}zi{a-o}n{a-o}le,
188,scht{a-o}tn,
189,ssisstem,
190,mit,
191,integrirtn,
192,a{u-o}iss{p-f}l{a-o}newen,
193,s{a-o}{k-ch}n,
194,zwischn,
195,schw{a-o}rze,
196,liter{a-o}ַt{u-o}r,
197,interessn,
198,{p-f}ֿaַr,
199,teiln,
200,sch{a-o}ָ{p-f}ּing,
201,iignsch{a-o}{p-f}t,
202,inern,
203,wir{u-o}ss,
204,a{u-o}if,
205,zi{p-f}er,
206,welt,
207,re{p-f}{u-o}{b-v}lik,
208,{b-v}{a-o}{p-f}elker{u-o}ng,
209,likwid{a-o}ziess,
210,medn,
211,militer,
212,{p-f}{a-o}rtei,
213,{a-o}rmei,
214,kenigreich,
215,hent,
216,gresste,
217,i{a-o}r,
218,{a-o}l-zike,
219,sstr{u-o}kt{u-o}r,
220,chrdische,
221,zi{b-v}{u-o}r,
222,tele{p-f}ֿaָn,
223,ch{u-o}dsch,
224,{a-o}lwelti{k-ch}e,
225,netw{a-o}rk,
226,we{b-v},
227,schkl{a-o}f,
228,{p-f}il{a-o}ss{a-o}{p-f}n,
229,{a-o}ltm{a-o}dische,
230,megle{k-ch}keit,
231,{a-o}lim{p-f}i{a-o}de,
232,seier,
233,aַr{u-o}mige,
234,h{a-o}t,
235,{a-o}l{p-f}n,
236,gri{k-ch}ische,
237,l{a-o}ndsch{a-o}{p-f}tn,
238,{a-o}mtirnde,
239,{p-f}irme,
240,ischi{b-v}h,
241,{a-o}r{k-ch}itekt,
242,{p-f}{a-o}lk,
243,{a-o}mrik{a-o}ne,
244,{p-f}{a-o}ssir{u-o}ng,
245,{p-f}{u-o}iern,
246,a,
247,{p-f}r{a-o}{b-v}lem,
248,{a-o}ktiwitetn,
249,t{a-o}g-zeit{u-o}ng,
250,desstin{a-o}zie,
251,{a-o}ngeh{u-o}i{b-v}n,
252,{p-f}{a-o}litiker,
253,{p-f}irerss,
254,ssim{b-v}{a-o}ָlss,
255,tlm{u-o}dim,
256,{a-o}ngeleigte,
257,{a-o}lte,
258,{a-o}ndn,
259,{p-f}ּaָetn,
260,{a-o}s,
261,k{a-o}s{a-o}kn,
262,dssch{u-o}ri,
263,aַntwikl{u-o}ngen,
264,religiese,
265,{b-v}{a-o}sez{u-o}ng,
266,wel{k-ch}er,
267,n{a-o}r,
268,{a-o}sstr{a-o}n{a-o}tn,
269,iinss,
270,regir{u-o}ng,
271,aָ{p-f}ּgesezte,
272,erd,
273,z{u-o}{b-v}isslech,
274,z{u-o}rissene,
275,h{a-o}r,
276,z{a-o}l,
277,s{u-o}{k-ch}n,
278,{p-f}ֿi{b-v}re,
279,g{a-o}sst,
280,a{p-f}{a-o}sizie,
281,erter,
282,a{p-f}enssiwe,
283,ken,
284,weg,
285,a{p-f}erirn,
286,aָ{p-f}ּerirn,
287,a{p-f}erirn-ssisstem,
288,a{p-f}erzie,
289,{a-o}reinz{u-o}schteln,
290,z{u-o},
291,meisstersch{a-o}{p-f}t,
292,{a-o}l{u-o}kim,
293,{a-o}k{a-o}demie,
294,gek{u-o}men,
295,di{p-f}l{a-o}me,
296,aַk{a-o}ַdemische,
297,ri{a-o}n,
298,schtchim,
299,{a-o}kti{a-o}rn,
300,{a-o}ktn,
301,aַktrisse,
302,{p-f}ּr{a-o}ָ{b-v}lemen,
303,aַr{a-o}ַ{b-v}ische,
304,mitn,
305,{a-o}r{a-o}{p-f}gew{a-o}r{p-f}n,
306,{p-f}rschi{u-o}t,
307,,
308,{a-o}rg{a-o}nis{a-o}zie-wen,
309,{a-o}rg{a-o}niszie,
310,ii-{p-f}{a-o}d,
311,ri{a-o}tn,
312,{a-o}r{u-o}issgewisn,
313,li{k-ch}t,
314,{a-o}r{u-o}isss{a-o}gn,
315,sche{p-f}er,
316,schteiner,
317,zeit{u-o}ng,
318,d{p-f}{u-o}ss,
319,{a-o}rtikl,
320,dײַtschn,
321,{a-o}ri{b-v}erz{u-o}{p-f}irn,
322,{a-o}ri{b-v}erz{u-o}sch{p-f}reisn,
323,sst{a-o}nzie,
324,weiz,
325,{a-o}ntl{u-o}if,
326,elite,
327,ne{b-v}n,
328,{a-o}resst{a-o}ntn,
329,{a-o}rktische,
330,{k-ch}{a-o}{p-f}n,
331,{b-v}{a-o}gri{p-f}n,
332,gewi{k-ch}t,
333,iink{u-o}n{p-f}t,
334,r{a-o}le,
335,he{k-ch}er{u-o}ng,
336,mn,
337,{b-v}{a-o}w{a-o}{u-o}insste,
338,{b-v}{a-o}ַw{a-o}{u-o}sste,
339,sel{b-v}sst,
340,{a-o}rt,
341,ssingl,
342,{b-v}{a-o}{b-v}{a-o}wer,
343,zvon,
344,{b-v}{a-o}weis{u-o}ngn,
345,{b-v}{a-o}s{u-o}{k-ch}te,
346,iigen{a-o}rtiger,
347,git,
348,{a-o}{b-v}er,
349,a{u-o}rl{u-o}i{b-v},
350,ek{a-o}n{a-o}mie,
351,{b-v}{a-o}nkr{a-o}tir{u-o}ng,
352,zigeiner,
353,wl{a-o},
354,{b-v}{a-o}nkn{a-o}te,
355,{b-v}{a-o}{p-f}elkerte,
356,{b-v}{a-o}z{a-o}ltsste,
357,{b-v}{a-o}k{a-o}ntsse,
358,n{a-o}men,
359,MTA,
360,t{a-o}l,
361,{b-v}{a-o}r{b-v}{a-o}r{a-o}sse,
362,t{u-o}rmess,
363,{b-v}{a-o}rgkeitn,
