year,adj,noun,period,category
1866,fragrant,breath,B,Source/principle of life
1866,fragrant,breeze,B,"Atmosphere, weather"
1866,fragrant,odor,B,Smell/odour
1866,fragrant,breath,B,Source/principle of life
1866,perfumed,spring,B,Spring
1866,perfumed,spring,B,Spring
1866,fragrant,promise,B,Speech
1866,scented,memory,B,Memory
1867,perfumed,berry,B,Be food for
1867,scented,bank,B,Land
1867,fragrant,brush,B,Materials
1867,fragrant,wind,B,Cause to have specific position/arrangement
1867,fragrant,hair,B,Extension in space
1867,fragrant,shower,B,Liquid
1867,fragrant,scotch,B,Creation
1867,fragrant,air,B,Gas
1867,fragrant,suggestion,B,Belief
1867,fragrant,verdure,B,By growth/development
1867,fragrant,hay,B,Dancing
1868,fragrant,record,B,Administration of justice
1868,fragrant,luxury,B,Moral evil
1868,sweet-smelling,savor,B,Taste/flavour
1868,perfumed,silk,B,Textiles
1868,perfumed,limb,B,Wholeness
1869,fragrant,dusk,B,Light
1869,perfumed,dusk,B,Light
1869,fragrant,vapor,B,Gas
1869,fragrant,smoke,B,Affect the senses
1869,fragrant,odor,B,Smell/odour
1869,fragrant,glove,B,Clothing
1869,fragrant,odor,B,Smell/odour
1869,perfumed,chamber,B,Inhabited place
1869,fragrant,hay,B,Dancing
1869,fragrant,south,B,Direction
1869,fragrant,tree,B,Kinship/relationship
1869,fragrant,tree,B,Kinship/relationship
1869,fragrant,presence,B,Place
1869,scented,allumettes,B,NA
1869,fragrant,sod,B,Structure of the earth
1869,fragrant,shade,B,Existence
1869,fragrant,ministry,B,Church government
1869,fragrant,southern,B,Nations
1869,fragrant,leaf,B,Relative position
1869,fragrant,orange,B,Particular plants
1869,fragrant,honeysuckle,B,Particular plants
1869,fragrant,breath,B,Source/principle of life
1869,fragrant,sigh,B,The body
1869,perfumed,blossom,B,NA
1869,fragrant,flower,B,Quality of being good
1869,perfumed,breath,B,Source/principle of life
1869,scented,herb,B,Healing/cure
1869,fragrant,breath,B,Source/principle of life
1869,perfumed,breath,B,Source/principle of life
1869,fragrant,breeze,B,"Atmosphere, weather"
1869,perfumed,beauty,B,Beauty
1869,fragrant,bud,B,Part of plant
1869,fragrant,blossom,B,NA
1869,fragrant,bosom,B,Spirituality
1869,perfumed,censer,B,Smell/odour
1869,fragrant,black,B,Pertaining to colour
1869,scented,blossom,B,NA
1869,fragrant,dew,B,Liquid
1869,fragrant,drop,B,Liquid
1869,perfumed,breath,B,Source/principle of life
1869,perfumed,mass,B,Materials
1869,fragrant,flower,B,Quality of being good
1869,fragrant,bouquet,B,Farming
1869,perfumed,handkerchief,B,Clothing
1869,perfumed,lace,B,Equipment
1869,fragrant,room,B,Space
1870,fragrant,potato,B,Food
1870,fragrant,bed,B,Put in bed/provide a bed for
1870,fragrant,steam,B,Liquid
1870,scented,leaflet,B,Part of plant
1870,fragrant,preparation,B,Undertaking
1870,fragrant,puff,B,Gas
1870,fragrant,blossom,B,NA
1870,fragrant,aromatic,B,Odorous
1870,fragrant,draught,B,Drink
1870,fragrant,weed,B,Farm
1870,fragrant,loam,B,Materials
1870,fragrant,hemlock-boughs,B,NA
1870,perfumed,handkerchief,B,Clothing
1870,fragrant,fir-tree,B,Particular plants
1871,fragrant,summer,B,Period
1871,fragrant,memory,B,Memory
1871,fragrant,south,B,Direction
1871,fragrant,flower,B,Quality of being good
1871,fragrant,blossom,B,NA
1871,scented,sandal,B,Clothing
1871,fragrant,odor,B,Smell/odour
1871,fragrant,blossom,B,NA
1871,fragrant,path,B,Means of travel
1871,fragrant,steam,B,Liquid
1871,perfumed,mayflower,B,Particular plants
1871,perfumed,cushion,B,Inhabited place
1871,scented,cushion,B,Inhabited place
1871,fragrant,chocolate,B,Drink
1871,fragrant,coffee,B,Drink
1871,fragrant,brake,B,By growth/development
1872,fragrant,odor,B,Smell/odour
1872,fragrant,herb,B,Healing/cure
1872,fragrant,blood,B,Ethnicities
1872,fragrant,flower,B,Quality of being good
1872,fragrant,drop,B,Liquid
1872,fragrant,shrub,B,Drink
1872,fragrant,flower,B,Quality of being good
1872,fragrant,blossom,B,NA
1872,fragrant,blossom,B,NA
1872,fragrant,field,B,Knowledge
1872,fragrant,little,B,Social class
1872,perfumed,powder,B,Constitution of matter
1872,fragrant,odour,B,Smell/odour
1872,fragrant,spirit,B,Source/principle of life
1872,perfumed,even-breeze,B,NA
1872,perfumed,night,B,Day and night
1872,fragrant,decomposition,B,Wholeness
1872,fragrant,hay,B,Dancing
1872,fragrant,breath,B,Source/principle of life
1872,fragrant,tobacco,B,Particular plants
1872,fragrant,partaga,B,"Use of drugs, poison"
1872,fragrant,breath,B,Source/principle of life
1872,perfumed,note,B,Take notice of
1872,fragrant,meadow,B,Land
1872,fragrant,odor,B,Smell/odour
1872,fragrant,air,B,Gas
1873,fragrant,tropical,B,The universe
1873,perfumed,air,B,Gas
1873,fragrant,hay,B,Dancing
1873,fragrant,prophecy,B,Aspects of faith
1873,fragrant,fruit,B,Plants
1873,fragrant,petal,B,Part of plant
1873,fragrant,mixture,B,Wholeness
1873,fragrant,mouth,B,Land
1873,fragrant,thankfulness,B,Gratitude
1873,fragrant,pass,B,Move in a certain direction
1873,fragrant,breath,B,Source/principle of life
1873,fragrant,haycocks,B,NA
1873,fragrant,jessamines,B,NA
1873,fragrant,herb,B,Healing/cure
1873,fragrant,sigh,B,The body
1873,fragrant,cloud,B,"Atmosphere, weather"
1873,fragrant,rose,B,Beauty
1873,fragrant,coffee,B,Drink
1873,fragrant,bond,B,Difficulty
1873,scented,cloud,B,"Atmosphere, weather"
1873,scented,drug,B,Healing/cure
1873,perfumed,summer,B,Period
1873,perfumed,air,B,Gas
1873,perfumed,shade,B,Existence
1874,scented,lace,B,Equipment
1874,perfumed,fan,B,Gas
1874,fragrant,hawthorn,B,Pertaining to the Arts
1874,fragrant,green,B,Land
1874,perfumed,lace,B,Equipment
1874,fragrant,bouquet,B,Farming
1874,fragrant,field,B,Knowledge
1874,fragrant,cigar,B,"Use of drugs, poison"
1874,perfumed,smoke,B,Affect the senses
1874,fragrant,trace,B,Indication
1874,fragrant,secret,B,Worship
1874,perfumed,tent,B,Inhabited place
1874,fragrant,footstep,B,Indication
1874,fragrant,stateliness,B,Pride
1874,fragrant,gum,B,Constitution of matter
1874,perfumed,smoke,B,Affect the senses
1874,perfumed,air,B,Gas
1874,fragrant,heliotrope,B,Minerals
1874,fragrant,pine-needle,B,Particular plants
1874,fragrant,pure,B,Clean/dirty
1874,fragrant,creep,B,Move along
1874,fragrant,neighborhood,B,NA
1874,fragrant,vine,B,Particular plants
1874,fragrant,coffee,B,Drink
1874,fragrant,flower,B,Quality of being good
1874,fragrant,flower,B,Quality of being good
1874,fragrant,flower-garden,B,Farming
1874,fragrant,southern-wood,B,NA
1874,perfumed,smoke,B,Affect the senses
1874,fragrant,orris-root,B,Healing/cure
1874,fragrant,vine,B,Particular plants
1874,sweet-smelling,juniper,B,Particular plants
1874,fragrant,wood,B,Materials
1874,fragrant,myrtle-leaves,B,NA
1874,fragrant,wood,B,Materials
1875,perfumed,billet-doux,B,Love
1875,perfumed,baby,B,Person
1875,fragrant,cedar,B,Materials
1875,fragrant,cedar,B,Materials
1875,fragrant,flower,B,Quality of being good
1875,fragrant,flower,B,Quality of being good
1875,fragrant,roll,B,Writing
1875,scented,paper,B,Writing
1875,fragrant,lily,B,Indication
1875,fragrant,mosaic,B,The Arts
1875,fragrant,message,B,Exercise of authority
1875,perfumed,envelope,B,Correspondence
1875,perfumed,pink,B,Navigation
1875,fragrant,bloom,B,Part of plant
1875,fragrant,amber-aired,B,NA
1875,fragrant,air,B,Gas
1875,fragrant,flower,B,Quality of being good
1875,fragrant,geranium,B,Particular plants
1875,perfumed,note,B,Take notice of
1875,fragrant,heliotrope,B,Minerals
1875,fragrant,loveliness,B,Beauty
1875,perfumed,wing,B,Animal body
1875,fragrant,lily,B,Indication
1875,fragrant,pond,B,Water
1875,fragrant,pink,B,Navigation
1875,fragrant,silence,B,Speech
1875,fragrant,sunshine,B,Light
1875,perfumed,snow-fall,B,NA
1875,fragrant,blush-rose,B,Particular plants
1875,sweet-smelling,object,B,Existence
1875,perfumed,breath,B,Source/principle of life
1875,fragrant,sphere,B,The universe
1875,scented,envelope,B,Correspondence
1875,perfumed,epistle,B,Aspects of faith
1875,perfumed,napkin,B,Food
1875,perfumed,gossip,B,Love
1875,fragrant,cigar,B,"Use of drugs, poison"
1875,fragrant,date,B,Particular plants
1875,scented,soap,B,Cleanness/dirtiness
1876,fragrant,coffee,B,Drink
1876,fragrant,linen,B,Textiles
1876,fragrant,weight,B,Food
1876,perfumed,card,B,Entertainment
1876,sweet-smelling,starlight,B,Light
1876,perfumed,darkness,B,Worship
1876,fragrant,weed,B,Farm
1876,perfumed,flower,B,Quality of being good
1876,perfumed,air,B,Gas
1876,perfumed,alley,B,Farming
1876,perfumed,gallantry,B,Behaviour
1876,fragrant,oil,B,Food
1876,fragrant,oil,B,Food
1876,perfumed,spell,B,Write
1876,fragrant,blow,B,Gas
1876,perfumed,rose,B,Beauty
1877,fragrant,Russia-leather,B,NA
1877,fragrant,morning,B,Day and night
1877,fragrant,breeze,B,"Atmosphere, weather"
1877,fragrant,flower,B,Quality of being good
1877,fragrant,land,B,Navigate/sail (a stretch of water)
1877,perfumed,sigh,B,The body
1877,fragrant,package,B,Relative position
1877,fragrant,luxuriance,B,By growth/development
1877,fragrant,bloom,B,Part of plant
1877,fragrant,wood,B,Materials
1877,fragrant,wall,B,Difficulty
1877,fragrant,flower,B,Quality of being good
1877,fragrant,kiss,B,Love
1878,perfumed,wrapper,B,Relative position
1878,perfumed,atmosphere,B,"Atmosphere, weather"
1878,fragrant,bear,B,NA
1878,fragrant,pile,B,Money
1878,fragrant,weed,B,Farm
1879,fragrant,heifer,B,Person
1879,fragrant,petal,B,Part of plant
1879,fragrant,loam,B,Materials
1879,fragrant,bowers,B,NA
1879,fragrant,soul,B,Person
1879,fragrant,kiss,B,Love
1879,perfumed,nest,B,By habitat
1879,fragrant,altar-gifts,B,NA
1879,perfumed,wine,B,Drink
1879,fragrant,pinion,B,Animal body
1879,fragrant,branch,B,Wholeness
1879,perfumed,air,B,Gas
1879,perfumed,taper,B,Pertaining to shape
1879,fragrant,incense,B,Smell/odour
1879,fragrant,vapor,B,Gas
1879,fragrant,greeting,B,Suffering
1880,fragrant,cloud,B,"Atmosphere, weather"
1880,perfumed,noon,B,Day and night
1880,fragrant,acolyte,B,Easiness
1880,fragrant,air,B,Gas
1880,perfumed,waft,B,Navigate/sail (a stretch of water)
1880,fragrant,banquet-hall,B,Food
1880,fragrant,oil,B,Food
1880,perfumed,spell,B,Write
1880,fragrant,dew,B,Liquid
1880,fragrant,crew,B,Society and the community
1880,fragrant,pine,B,Suffering
1880,fragrant,crush,B,Create/make/bring about
1880,scented,handkerchief,B,Clothing
1880,fragrant,june,B,Period
1880,fragrant,nook,B,Shape
1880,fragrant,handful,B,Number
1880,fragrant,old,B,Of/pertaining to the past/passed away/gone
1880,scented,kidnapper,B,Taking
1880,fragrant,grass,B,Farming
1880,perfumed,sea,B,Quantity
1880,scented,dew,B,Liquid
1881,fragrant,meadow,B,Land
1881,fragrant,meadow,B,Land
1881,fragrant,bloom,B,Part of plant
1881,scented,wing,B,Animal body
1881,scented,summer,B,Period
1881,fragrant,handkerchief,B,Clothing
1881,sweet-smelling,pine-quills,B,NA
1881,fragrant,breathing,B,The body
1881,scented,hay,B,Dancing
1881,scented,night-winds,B,NA
1881,perfumed,bowers,B,NA
1882,fragrant,hand,B,Speech
1882,perfumed,oil,B,Food
1882,perfumed,air,B,Gas
1882,fragrant,air,B,Gas
1882,fragrant,shrub,B,Drink
1882,fragrant,strife,B,Dissent
1882,fragrant,smoke,B,Affect the senses
1882,fragrant,hay,B,Dancing
1882,fragrant,star,B,The universe
1882,fragrant,odor,B,Smell/odour
1882,fragrant,breath,B,Source/principle of life
1882,perfumed,tide,B,Present difficulties
1882,fragrant,shower,B,Liquid
1882,perfumed,eve,B,Day and night
1882,fragrant,rest,B,Be positioned/situated
1882,perfumed,lamp,B,Light
1882,perfumed,shine,B,Be manifest
1882,fragrant,shower,B,Liquid
1882,perfumed,popinjay,B,Birds
1882,perfumed,breeze,B,"Atmosphere, weather"
1882,fragrant,pathway,B,Means of travel
1882,perfumed,wind,B,Cause to have specific position/arrangement
1882,fragrant,calm,B,Water
1882,fragrant,blossomings,B,NA
1882,fragrant,south,B,Direction
1882,fragrant,air,B,Gas
1882,perfumed,air,B,Gas
1882,fragrant,crown,B,Prosperity
1882,perfumed,tress,B,The body
1882,fragrant,sway,B,Move in specific manner
1882,fragrant,calm,B,Water
1882,fragrant,field,B,Knowledge
1882,perfumed,grove,B,Relative position
1882,fragrant,land,B,Navigate/sail (a stretch of water)
1882,perfumed,wine,B,Drink
1882,fragrant,night,B,Day and night
1882,scented,note,B,Take notice of
1883,scented,atmosphere,B,"Atmosphere, weather"
1883,fragrant,tea,B,Particular plants
1883,fragrant,cloud,B,"Atmosphere, weather"
1883,perfumed,amity,B,Dissent
1883,perfumed,water,B,Cleanness/dirtiness
1883,fragrant,cigar,B,"Use of drugs, poison"
1883,fragrant,grass,B,Farming
1883,perfumed,day,B,Particular time
1883,fragrant,air,B,Gas
1883,fragrant,porch,B,Inhabited place
1883,scented,box,B,Measurement
1883,fragrant,lip,B,Ill-health
1883,fragrant,growth,B,Biology
1883,fragrant,lip,B,Ill-health
1883,fragrant,dust,B,Importance
1883,fragrant,suggestion,B,Belief
1883,scented,fan,B,Gas
1883,fragrant,green,B,Land
1883,fragrant,honeysuckle,B,Particular plants
1883,perfumed,hankerchiefs,B,NA
1883,sweet-smelling,medicinal,B,Healing/curing
1883,scented,herb,B,Healing/cure
1883,fragrant,sweet-brier,B,Particular plants
1883,fragrant,white,B,Make white
1883,fragrant,memory,B,Memory
1883,scented,dew,B,Liquid
1883,fragrant,memory,B,Memory
1883,fragrant,madge,B,Birds
1884,fragrant,flower,B,Quality of being good
1884,fragrant,experiment,B,Knowledge
1884,perfumed,meadow-grass,B,NA
1884,fragrant,gilded,B,Pertaining to colour
1884,perfumed,smoke,B,Affect the senses
1884,fragrant,cheroot,B,"Use of drugs, poison"
1884,fragrant,oil,B,Food
1884,fragrant,white,B,Make white
1884,sweet-smelling,foliage,B,The Arts
1884,fragrant,lane,B,Means of travel
1884,fragrant,thicket,B,Relative position
1884,fragrant,willow,B,Particular plants
1884,fragrant,feast-flowers,B,NA
1884,fragrant,park,B,Farming
1884,scented,sward,B,Land
1884,fragrant,grass,B,Farming
1884,fragrant,breath,B,Source/principle of life
1884,fragrant,gloom,B,Be angry
1884,fragrant,gloom,B,Be angry
1885,sweet-smelling,flower,B,Quality of being good
1885,fragrant,promise,B,Speech
1885,fragrant,little,B,Social class
1885,fragrant,summer,B,Period
1885,fragrant,wind,B,Cause to have specific position/arrangement
1885,fragrant,patch,B,Materials
1885,fragrant,beauty,B,Beauty
1885,scented,dusk,B,Light
1885,scented,air,B,Gas
1885,scented,silk,B,Textiles
1885,scented,handkerchief,B,Clothing
1885,scented,article,B,Aspects of faith
1885,fragrant,breath,B,Source/principle of life
1885,fragrant,bud,B,Part of plant
1885,fragrant,flower,B,Quality of being good
1885,fragrant,grass,B,Farming
1885,scented,slope,B,Relative position
1885,perfumed,arbutus,B,Particular plants
1885,fragrant,clethra,B,Particular plants
1885,scented,fern,B,Equipment
1885,fragrant,snow,B,Move in a certain direction
1885,fragrant,bondage,B,Subjection
1885,fragrant,chest,B,The body
1886,scented,preparation,B,Undertaking
1886,fragrant,bough,B,Wholeness
1886,fragrant,tea,B,Particular plants
1886,scented,night,B,Day and night
1886,perfumed,waft,B,Navigate/sail (a stretch of water)
1886,perfumed,touch,B,Create/make/bring about
1886,perfumed,breath,B,Source/principle of life
1886,perfumed,darkness,B,Worship
1886,fragrant,namesake,B,Naming
1886,fragrant,blossom,B,NA
1886,sweet-smelling,shrub,B,Drink
1886,scented,danger,B,Harm/detriment
1886,fragrant,tea,B,Particular plants
1886,perfumed,bath,B,Relative position
1886,scented,garden-ways,B,NA
1886,fragrant,breath,B,Source/principle of life
1886,fragrant,gift,B,Ability
1886,fragrant,offer,B,Give
1886,fragrant,lily,B,Indication
1886,fragrant,attar-jar,B,NA
1886,fragrant,island,B,Land
1886,sweet-smelling,hay-mows,B,NA
1886,fragrant,sheet,B,Navigation
1886,fragrant,solitude,B,Social relations
1886,fragrant,lavender,B,Particular plants
1886,fragrant,air,B,Gas
1886,fragrant,moss,B,Particular plants
1886,perfumed,violet,B,Particular plants
1886,fragrant,bunch,B,Ill-health
1886,perfumed,breath,B,Source/principle of life
1886,fragrant,sward,B,Land
1886,fragrant,wood,B,Materials
1887,perfumed,air,B,Gas
1887,fragrant,flower,B,Quality of being good
1887,fragrant,flower,B,Quality of being good
1887,perfumed,petal,B,Part of plant
1887,fragrant,heliotrope,B,Minerals
1887,fragrant,fruit,B,Plants
1887,fragrant,incense,B,Smell/odour
1887,fragrant,breeze,B,"Atmosphere, weather"
1887,fragrant,clover,B,Particular plants
1887,perfumed,silence,B,Speech
1887,perfumed,night,B,Day and night
1887,perfumed,yellow,B,Particular plants
1887,perfumed,blossom,B,NA
1887,perfumed,air,B,Gas
1887,fragrant,rose,B,Beauty
1887,fragrant,air,B,Gas
1887,fragrant,air,B,Gas
1887,fragrant,day,B,Particular time
1887,fragrant,tea,B,Particular plants
1888,scented,air,B,Gas
1888,fragrant,flower,B,Quality of being good
1888,fragrant,load,B,Transport
1888,scented,wine,B,Drink
1888,fragrant,dusk,B,Light
1888,fragrant,load,B,Transport
1888,fragrant,dusk,B,Light
1888,scented,grass,B,Farming
1888,fragrant,heap,B,Suffer mental pain
1888,fragrant,spring,B,Spring
1888,sweet-smelling,border,B,Textiles
1888,scented,grass,B,Farming
1888,fragrant,dusk,B,Light
1888,fragrant,fallows,B,NA
1888,fragrant,bosom,B,Spirituality
1888,fragrant,air,B,Gas
1888,perfumed,robe,B,Clothing
1888,perfumed,thief,B,Inferiority/baseness
1889,fragrant,fodder,B,Be food for
1889,perfumed,whirl,B,Move in specific manner
1889,fragrant,hut,B,Inhabited place
1889,fragrant,clove-pinks,B,NA
1889,fragrant,hay,B,Dancing
1889,fragrant,hay,B,Dancing
1889,perfumed,smoke,B,Affect the senses
1889,fragrant,bloom,B,Part of plant
1889,fragrant,blossom,B,NA
1889,fragrant,barrier,B,Defence
1889,fragrant,boon,B,Speech
1889,fragrant,blossom,B,NA
1889,fragrant,stillness,B,Calmness
1889,perfumed,hair,B,Extension in space
1889,perfumed,little,B,Social class
1889,fragrant,rose,B,Beauty
1889,perfumed,lace,B,Equipment
1889,fragrant,leave,B,Make inactive
1889,scented,breath,B,Source/principle of life
1889,perfumed,flower,B,Quality of being good
1890,fragrant,bough,B,Wholeness
1890,fragrant,phlox,B,Particular plants
1890,fragrant,smoke,B,Affect the senses
1890,fragrant,cloud,B,"Atmosphere, weather"
1890,fragrant,coffee,B,Drink
1890,scented,water,B,Cleanness/dirtiness
1890,perfumed,water,B,Cleanness/dirtiness
1890,perfumed,water,B,Cleanness/dirtiness
1890,scented,vine,B,Particular plants
1890,perfumed,breath,B,Source/principle of life
1891,perfumed,sea,C,Quantity
1891,fragrant,darkness,C,Worship
1891,fragrant,flower,C,Quality of being good
1891,fragrant,field,C,Knowledge
1891,fragrant,life,C,Occupation and work
1891,fragrant,air,C,Gas
1891,fragrant,conquest,C,Victory
1891,fragrant,sweetness,C,Pleasure
1891,fragrant,boudoir,C,Inhabited place
1891,fragrant,eve,C,Day and night
1892,fragrant,beverage,C,Drink
1892,perfumed,oil,C,Food
1892,fragrant,bloom,C,Part of plant
1892,perfumed,whisper,C,Think/behave contemptuously
1892,fragrant,bunch,C,Ill-health
1892,scented,garden,C,Farming
1892,perfumed,soap,C,Cleanness/dirtiness
1892,perfumed,thing,C,Person
1892,fragrant,tip,C,Relative position
1892,perfumed,greenness,C,Person
1892,fragrant,stream,C,Quantity
1892,scented,valley,C,Land
1892,perfumed,water,C,Cleanness/dirtiness
1892,fragrant,flower,C,Quality of being good
1892,fragrant,shade,C,Existence
1892,fragrant,security,C,Expectation
1892,perfumed,gloom,C,Be angry
1892,fragrant,fir,C,Particular plants
1892,fragrant,fir,C,Particular plants
1892,fragrant,fir,C,Particular plants
1892,fragrant,glory,C,Deity
1892,fragrant,petal,C,Part of plant
1892,fragrant,smoke,C,Affect the senses
1892,fragrant,yerba-buena,C,NA
1892,perfumed,freshness,C,Cleanness/dirtiness
1892,fragrant,dream,C,Sleeping and waking
1892,perfumed,air,C,Gas
1892,fragrant,immortelles,C,NA
1892,fragrant,wooded,C,Land
1892,fragrant,fire,C,Properties of materials
1892,fragrant,grace,C,Deity
1892,fragrant,thing,C,Person
1892,fragrant,wooded,C,Land
1892,fragrant,gum,C,Constitution of matter
1893,perfumed,smoke,C,Affect the senses
1893,perfumed,air,C,Gas
1893,perfumed,self,C,Behaviour
1893,perfumed,glove,C,Clothing
1893,perfumed,glove,C,Clothing
1893,scented,air,C,Gas
1893,fragrant,ground,C,Causation
1893,fragrant,birch,C,Punishment
1893,scented,breath,C,Source/principle of life
1893,fragrant,blossom,C,NA
1893,fragrant,shade,C,Existence
1893,fragrant,wind,C,Cause to have specific position/arrangement
1893,fragrant,thicket,C,Relative position
1893,fragrant,kalmia,C,Particular plants
1893,fragrant,sassafras,C,Healing/cure
1893,fragrant,vine,C,Particular plants
1893,fragrant,havana,C,"Use of drugs, poison"
1893,fragrant,tea,C,Particular plants
1893,fragrant,moisture,C,Liquid
1893,perfumed,avalanche,C,"Atmosphere, weather"
1893,fragrant,steam,C,Liquid
1893,scented,heliotrope,C,Minerals
1893,scented,leaf,C,Relative position
1893,fragrant,farewell,C,Courteous expressions
1894,fragrant,white,C,Make white
1894,fragrant,wood,C,Materials
1894,perfumed,uncle,C,Kinship/relationship
1894,scented,hair,C,Extension in space
1894,fragrant,pine-tree,C,Particular plants
1894,fragrant,new,C,New
1894,scented,stream,C,Quantity
1894,fragrant,hay,C,Dancing
1894,sweet-smelling,incense,C,Smell/odour
1894,scented,vine,C,Particular plants
1894,scented,rose,C,Beauty
1894,fragrant,juniper,C,Particular plants
1894,fragrant,expression,C,Expression
1895,fragrant,shadow,C,Physics
1895,fragrant,wood,C,Materials
1895,scented,gale,C,"Atmosphere, weather"
1895,fragrant,wind,C,Cause to have specific position/arrangement
1895,scented,gale,C,"Atmosphere, weather"
1895,fragrant,slope,C,Relative position
1895,perfumed,limb,C,Wholeness
1895,fragrant,zephyr,C,"Atmosphere, weather"
1895,perfumed,air,C,Gas
1895,fragrant,resin,C,Materials
1895,scented,soap,C,Cleanness/dirtiness
1895,scented,soap,C,Cleanness/dirtiness
1895,perfumed,field,C,Knowledge
1895,scented,lip,C,Ill-health
1895,perfumed,breeze,C,"Atmosphere, weather"
1895,fragrant,plant,C,Furnish with inhabitants
1895,fragrant,soul,C,Person
1895,fragrant,field,C,Knowledge
1895,perfumed,plant,C,Furnish with inhabitants
1895,fragrant,flower,C,Quality of being good
1895,fragrant,cheek,C,Farming
1895,fragrant,air,C,Gas
1895,fragrant,bloom,C,Part of plant
1896,fragrant,service,C,Worship
1896,perfumed,petal,C,Part of plant
1896,fragrant,wreath,C,Farming
1896,perfumed,breeze,C,"Atmosphere, weather"
1896,fragrant,spray,C,Part of plant
1896,perfumed,envelope,C,Correspondence
1896,fragrant,exotics,C,NA
1896,fragrant,bell,C,The Arts
1896,fragrant,bloom,C,Part of plant
1896,fragrant,posy,C,Knowledge
1896,fragrant,vapor,C,Gas
1896,fragrant,oil,C,Food
1896,scented,drink,C,Drink to excess
1896,scented,bloom,C,Part of plant
1896,perfumed,french,C,Languages of the world
1896,fragrant,sward,C,Land
1896,scented,breath,C,Source/principle of life
1896,perfumed,stationery,C,Pertaining to writing
1896,fragrant,water,C,Cleanness/dirtiness
1896,scented,glove,C,Clothing
1896,scented,air,C,Gas
1896,fragrant,burden,C,Transport
1896,scented,summer,C,Period
1896,scented,smoke,C,Affect the senses
1896,perfumed,opalescence,C,Colour
1896,fragrant,pink,C,Navigation
1896,perfumed,shrub,C,Drink
1896,scented,breeze,C,"Atmosphere, weather"
1896,fragrant,sigh,C,The body
1896,fragrant,grass,C,Farming
1896,fragrant,story,C,The Arts
1896,scented,air,C,Gas
1896,fragrant,grass,C,Farming
1896,fragrant,tea,C,Particular plants
1896,scented,grass,C,Farming
1896,scented,grass,C,Farming
1896,fragrant,wind,C,Cause to have specific position/arrangement
1896,perfumed,petal,C,Part of plant
1896,scented,bud,C,Part of plant
1896,scented,satin,C,Textiles
1896,scented,torch,C,Light
1896,fragrant,air,C,Gas
1896,fragrant,evening,C,Day and night
1896,perfumed,palm,C,Prosperity
1896,perfumed,calm,C,Water
1896,perfumed,spray,C,Part of plant
1896,fragrant,rose,C,Beauty
1896,scented,dusk,C,Light
1896,fragrant,crowd,C,Have specific position/arrangement
1896,fragrant,water-lily,C,Particular plants
1896,fragrant,space,C,Duration
1896,fragrant,bloom,C,Part of plant
1896,fragrant,bed,C,Put in bed/provide a bed for
1897,fragrant,air,C,Gas
1897,fragrant,clover,C,Particular plants
1897,perfumed,vale,C,Land
1897,perfumed,cushion,C,Inhabited place
1897,fragrant,draught,C,Drink
1897,fragrant,urn,C,Death
1897,scented,thorn,C,Harm/detriment
1897,perfumed,dress,C,Be food for
1897,fragrant,linen,C,Textiles
1897,scented,brooks,C,NA
1897,fragrant,afternoon,C,Day and night
1897,scented,summer,C,Period
1897,sweet-smelling,pillow,C,Cause to have specific position/arrangement
1897,scented,leather,C,Develop (a region) industrially
1897,fragrant,gum,C,Constitution of matter
1897,perfumed,bracelet,C,Beautification
1897,fragrant,flower,C,Quality of being good
1897,perfumed,gallant,C,Social class
1898,fragrant,lilac,C,Particular plants
1898,fragrant,meal,C,Food
1898,perfumed,air,C,Gas
1898,fragrant,hair,C,Extension in space
1898,fragrant,cable,C,Navigation
1898,fragrant,material,C,Of/pertaining to existence
1898,fragrant,little,C,Social class
1898,fragrant,wintergreen,C,Particular plants
1898,fragrant,cloud,C,"Atmosphere, weather"
1898,sweet-smelling,pink,C,Navigation
1898,scented,tea,C,Particular plants
1898,fragrant,deep,C,Able to understand
1898,fragrant,brush,C,Materials
1898,fragrant,tree,C,Kinship/relationship
1898,scented,gallery,C,Means of travel
1898,fragrant,message,C,Exercise of authority
1898,fragrant,stretch,C,Cause to have specific position/arrangement
1898,sweet-smelling,herb,C,Healing/cure
1898,fragrant,object,C,Existence
1898,fragrant,face,C,The body
1898,fragrant,hill,C,Land
1898,scented,luxury,C,Moral evil
1899,fragrant,confusion,C,Humility
1899,fragrant,flower,C,Quality of being good
1899,scented,air,C,Gas
1899,fragrant,picture,C,Representation
1899,perfumed,lace,C,Equipment
1899,perfumed,handkerchief,C,Clothing
1899,perfumed,handkerchief,C,Clothing
1899,fragrant,book,C,Aspects of faith
1899,fragrant,hillside,C,Land
1899,fragrant,basket,C,Food
1899,fragrant,personality,C,Deity
1899,fragrant,thing,C,Person
1899,scented,summer,C,Period
1899,fragrant,darkness,C,Worship
1899,scented,bloom,C,Part of plant
1899,scented,lime,C,Form/make into a whole
1899,fragrant,honeysuckle,C,Particular plants
1899,fragrant,bloom,C,Part of plant
1899,fragrant,blossom,C,NA
1899,scented,water,C,Cleanness/dirtiness
1900,fragrant,breath,C,Source/principle of life
1900,fragrant,nature,C,Existence
1900,fragrant,health,C,Health and disease
1900,fragrant,garden,C,Farming
1900,fragrant,cytherea,C,NA
1900,scented,soap,C,Cleanness/dirtiness
1900,fragrant,odor,C,Smell/odour
1900,fragrant,english,C,Translate
1900,sweet-smelling,flower,C,Quality of being good
1900,scented,air,C,Gas
