year,adj,noun,period,category
1834,fragrant,compliment,A,Behaviour
1834,fragrant,meadow,A,Land
1834,fragrant,breath,A,Source/principle of life
1834,fragrant,lily,A,Indication
1835,fragrant,race,A,Water
1835,fragrant,cluster,A,Biology
1835,fragrant,present,A,Giving
1835,sweet-smelling,shrub,A,Drink
1835,fragrant,sister,A,Church government
1835,fragrant,berry,A,Be food for
1835,fragrant,wood,A,Materials
1835,fragrant,chocolatl,A,NA
1835,fragrant,torch,A,Light
1835,fragrant,sweet,A,Pertaining to behaviour
1835,fragrant,mezereon,A,Particular plants
1835,fragrant,cigar,A,"Use of drugs, poison"
1835,fragrant,wood,A,Materials
1835,scented,vale,A,Land
1835,scented,globe,A,Shape
1835,scented,grove,A,Relative position
1835,scented,grove,A,Relative position
1835,scented,field,A,Knowledge
1835,fragrant,orange,A,Particular plants
1835,fragrant,odour,A,Smell/odour
1835,fragrant,cluster,A,Biology
1835,fragrant,snow-drop,A,NA
1835,fragrant,snow-drop,A,NA
1835,fragrant,lemon,A,Particular plants
1835,fragrant,loveliness,A,Beauty
1835,fragrant,turf,A,Structure of the earth
1835,fragrant,meadow,A,Land
1835,fragrant,june,A,Period
1835,fragrant,leaf,A,Relative position
1835,fragrant,smoke,A,Affect the senses
1835,fragrant,rose,A,Beauty
1835,fragrant,air,A,Gas
1835,fragrant,incense,A,Smell/odour
1836,perfumed,oil,A,Food
1836,perfumed,water,A,Cleanness/dirtiness
1836,fragrant,rose,A,Beauty
1836,fragrant,thyme,A,Particular plants
1836,perfumed,papyrus,A,Particular plants
1836,fragrant,blossom,A,NA
1836,fragrant,thyme,A,Particular plants
1836,perfumed,robe,A,Clothing
1836,perfumed,water,A,Cleanness/dirtiness
1836,fragrant,flower,A,Quality of being good
1836,fragrant,berry,A,Be food for
1836,fragrant,herb,A,Healing/cure
1836,fragrant,shrub,A,Drink
1836,fragrant,shrubbery,A,Farming
1836,fragrant,live,A,Inhabit/dwell
1836,scented,gale,A,"Atmosphere, weather"
1837,fragrant,flower,A,Quality of being good
1837,fragrant,breast,A,Food
1837,fragrant,bud,A,Part of plant
1837,fragrant,isle,A,Land
1837,fragrant,gloom,A,Be angry
1837,fragrant,flower,A,Quality of being good
1837,fragrant,breeze,A,"Atmosphere, weather"
1837,fragrant,peach,A,Particular plants
1837,fragrant,summer,A,Period
1837,fragrant,land,A,Navigate/sail (a stretch of water)
1837,fragrant,breath,A,Source/principle of life
1837,scented,oil,A,Food
1838,scented,blossom,A,NA
1838,perfumed,medicament,A,Healing/cure
1838,fragrant,lamp,A,Light
1838,fragrant,flower,A,Quality of being good
1838,fragrant,word,A,NA
1838,fragrant,wing,A,Animal body
1838,fragrant,grove,A,Relative position
1838,fragrant,sigh,A,The body
1838,fragrant,odour,A,Smell/odour
1839,sweet-smelling,vineyard,A,Farming
1839,fragrant,flower,A,Quality of being good
1839,fragrant,flower,A,Quality of being good
1839,scented,leather,A,Develop (a region) industrially
1839,fragrant,rose,A,Beauty
1839,perfumed,paste,A,Food
1839,scented,flower,A,Quality of being good
1839,fragrant,ruby,A,Materials
1839,fragrant,flower,A,Quality of being good
1839,fragrant,shrub,A,Drink
1839,fragrant,island,A,Land
1839,fragrant,mountain,A,Land
1839,fragrant,breath,A,Source/principle of life
1839,fragrant,breeze,A,"Atmosphere, weather"
1839,fragrant,gladness,A,Pleasure
1839,scented,bottle,A,Equipment
1839,fragrant,field,A,Knowledge
1840,perfumed,bowers,A,NA
1840,fragrant,avenue,A,Means of travel
1840,fragrant,breath,A,Source/principle of life
1840,fragrant,branch,A,Wholeness
1840,fragrant,labor,A,Manner of action
1840,fragrant,night-breeze,A,NA
1840,fragrant,tress,A,The body
1840,fragrant,leaf,A,Relative position
1841,fragrant,load,A,Transport
1841,fragrant,odor,A,Smell/odour
1841,fragrant,breath,A,Source/principle of life
