<doc id="57.1.1">													
<text id="57.1.1">													
<s id="1">													
Den	1	1	Den Link muss ich speichern . Top =M<û	1	der	DET	ART	Case=Dat|Definite=Def|Gender=Masc|Number=Plur|PronType=Art	2	det			pid:1.57.1.1.
Link	1	1	Den Link muss ich speichern . Top =M<û	2	Linken	NOUN	NN	Case=Dat|Gender=Masc|Number=Plur	5	iobj			pid:1.57.1.1.
muss	1	1	Den Link muss ich speichern . Top =M<û	3	müssen	AUX	VMFIN	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	5	aux			pid:1.57.1.1.
ich	1	1	Den Link muss ich speichern . Top =M<û	4	ich	PRON	PPER	Case=Nom|Number=Sing|Person=1|PronType=Prs	5	nsubj			pid:1.57.1.1.
speichern	1	1	Den Link muss ich speichern . Top =M<û	5	speichern	VERB	VVINF	VerbForm=Inf	0	root			pid:1.57.1.1.
.	1	1	Den Link muss ich speichern . Top =M<û	6	.	PUNCT	$.		8	punct			pid:1.57.1.1.
Top	1	1	Den Link muss ich speichern . Top =M<û	7	Top	ADJ	NN	Case=Nom|Gender=Masc|Number=Sing	8	amod			pid:1.57.1.1.
=M<û	1	1	Den Link muss ich speichern . Top =M<û	8	=M<û	NOUN	NE	Case=Nom|Gender=Masc|Number=Sing	5	obj		SpacesAfter=\n	pid:1.57.1.1.
</s>													
</text>													
</doc>													
