<doc id="55.1.1">													
<text id="55.1.1">													
<s id="1">													
Wir	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	1	wir	PRON	ADJD		8	nsubj			pid:1.55.1.1.
Männer	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	2	Mann	NOUN	NN	Case=Nom|Gender=Masc|Number=Plur	8	nsubj			pid:1.55.1.1.
habens	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	3	habens	ADV	ADV		4	advmod			pid:1.55.1.1.
heutzutage	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	4	heutzutage	ADV	ADV		8	advmod			pid:1.55.1.1.
schon	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	5	schon	ADV	ADV		6	advmod			pid:1.55.1.1.
echt	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	6	echt	ADV	ADV		8	advmod			pid:1.55.1.1.
nicht	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	7	nicht	PART	CARD	NumType=Card	8	advmod			pid:1.55.1.1.
leicht	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	8	leicht	ADJ	ADJD		0	root		SpaceAfter=No	pid:1.55.1.1.
..	1	1	Wir Männer habens heutzutage schon echt nicht leicht..	9	..	PUNCT	$(		8	punct		SpacesAfter=\s\s\n\n	pid:1.55.1.1.
</s>													
<s id="2">													
/s	2	2	/s	1	/s	ADV	NE	Case=Gen|Gender=Masc|Number=Sing	0	root		SpacesAfter=\n	pid:2.55.1.1.
</s>													
</text>													
</doc>													
