<doc id="46.1.1">													
<text id="46.1.1">													
<s id="1">													
Die	1	1	Die Antwort würde die Bevölkerung verunsichern...	1	der	DET	ART	Case=Nom|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	2	det			pid:1.46.1.1.
Antwort	1	1	Die Antwort würde die Bevölkerung verunsichern...	2	Antwort	NOUN	NN	Case=Nom|Gender=Fem|Number=Sing	6	nsubj			pid:1.46.1.1.
würde	1	1	Die Antwort würde die Bevölkerung verunsichern...	3	werden	AUX	NE	Case=Nom|Number=Sing	6	aux			pid:1.46.1.1.
die	1	1	Die Antwort würde die Bevölkerung verunsichern...	4	der	DET	ART	Case=Acc|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det			pid:1.46.1.1.
Bevölkerung	1	1	Die Antwort würde die Bevölkerung verunsichern...	5	Bevölkerung	NOUN	NN	Case=Acc|Gender=Fem|Number=Sing	6	obj			pid:1.46.1.1.
verunsichern	1	1	Die Antwort würde die Bevölkerung verunsichern...	6	verunsichern	VERB	VVINF	VerbForm=Inf	0	root		SpaceAfter=No	pid:1.46.1.1.
...	1	1	Die Antwort würde die Bevölkerung verunsichern...	7	...	PUNCT	$(		6	punct		SpacesAfter=\n	pid:1.46.1.1.
</s>													
</text>													
</doc>													
