<doc id="53.1.1">													
<text id="53.1.1">													
<s id="1">													
Das	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	1	der	DET	ART	Case=Nom|Definite=Def|Gender=Neut|Number=Sing|PronType=Art	5	det			pid:1.53.1.1.
komplette	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	2	komplette	ADJ	ADJA	Case=Nom|Gender=Neut|Number=Plur	5	amod			pid:1.53.1.1.
"	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	3	"	PUNCT	$(		4	punct		SpaceAfter=No	pid:1.53.1.1.
Lagebild	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	4	Lagebild	ADJ	NN	Case=Acc|Gender=Neut|Number=Sing	5	amod			pid:1.53.1.1.
Geschlechtsspezifisch	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	5	geschlechtsspezifisch	NOUN	NN	Case=Acc|Gender=Neut|Number=Sing	18	nsubj			pid:1.53.1.1.
gegen	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	6	gegen	ADP	APPR		7	case			pid:1.53.1.1.
Frauen	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	7	Frau	NOUN	NN	Case=Dat|Gender=Fem|Number=Plur	8	nmod			pid:1.53.1.1.
gerichtete	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	8	gerichtet	ADJ	ADJA	Case=Acc|Gender=Masc|Number=Plur	9	amod			pid:1.53.1.1.
Strafttaten	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	9	Strafttat	NOUN	NN	Case=Acc|Gender=Masc|Number=Plur	5	nmod		SpaceAfter=No	pid:1.53.1.1.
"	1	1	Das komplette "Lagebild Geschlechtsspezifisch gegen Frauen gerichtete Strafttaten" ist [beim BKA zu Download verfügbar] (https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/Lagebilder/StraftatengegenFrauen/StraftatengegenFrauen_node.html) und ist ziemlich interessant.	10	"	PUNCT	$(		9	punct			pid:1.53.1.1.
