<doc id="48.1.1">													
<text id="48.1.1">													
<s id="1">													
Deren	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	1	der	DET	PDAT	Case=Gen|Number=Plur|PronType=Dem	4	amod			pid:1.48.1.1.
"	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	2	"	PUNCT	$(		1	punct		SpaceAfter=No	pid:1.48.1.1.
Traditionelle	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	3	traditionell	ADJ	NN	Case=Nom|Gender=Neut|Number=Sing	4	amod			pid:1.48.1.1.
Werte	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	4	Wert	NOUN	NN	Case=Nom|Gender=Masc|Number=Plur	0	root		SpaceAfter=No	pid:1.48.1.1.
"	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	5	"	PUNCT	$(		7	punct			pid:1.48.1.1.
=	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	6	=	PUNCT	KOKOM		7	punct			pid:1.48.1.1.
KÜCHE	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	7	Küche	PROPN	NN	Case=Nom|Gender=Masc|Number=Plur	4	appos		SpaceAfter=No	pid:1.48.1.1.
,	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	8	,	PUNCT	$,		10	punct			pid:1.48.1.1.
SONST	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	9	sonst	PROPN	NN	Case=Acc|Gender=Neut|Number=Sing	10	amod			pid:1.48.1.1.
SCHELLEN	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	10	Schelle|Schellen	NOUN	NN	Case=Nom|Gender=Fem|Number=Plur	7	conj		SpaceAfter=No	pid:1.48.1.1.
!	1	1	Deren "Traditionelle Werte" = KÜCHE, SONST SCHELLEN!	11	!	PUNCT	$.		4	punct			pid:1.48.1.1.
</s>													
<s id="2">													
/	1	2	/ FICKEN, SONST SCHELLEN!	1	/	PUNCT	$(		2	punct			pid:2.48.1.1.
FICKEN	1	2	/ FICKEN, SONST SCHELLEN!	2	ficken	PROPN	NN	Case=Nom|Gender=Fem|Number=Plur	5	nsubj		SpaceAfter=No	pid:2.48.1.1.
,	1	2	/ FICKEN, SONST SCHELLEN!	3	,	PUNCT	$,		4	punct			pid:2.48.1.1.
SONST	1	2	/ FICKEN, SONST SCHELLEN!	4	sonst	PROPN	NN	Case=Acc|Gender=Neut|Number=Sing	2	conj			pid:2.48.1.1.
SCHELLEN	1	2	/ FICKEN, SONST SCHELLEN!	5	Schelle|Schellen	NOUN	NN	Case=Nom|Gender=Fem|Number=Plur	0	root		SpaceAfter=No	pid:2.48.1.1.
!	1	2	/ FICKEN, SONST SCHELLEN!	6	!	PUNCT	$.		5	punct		SpacesAfter=\s\n\n	pid:2.48.1.1.
</s>													
<s id="3">													
Und	2	3	Und behandel mich bitte mit mütterlicher fürsorge wie ein armes, zermürbtes zwergli in dieser großen welt der Riesen, weil ich kann ja überhaupt nix für meine Gefühle und die daraus resultierenden Handlungen sind nicht mein verdienst, da sind allein die linkswoken grünschwuchteln dran schuld und du machst das jetzt mal besser wieder gut, SONST SCHELLEN!	1	und	CCONJ	NE	Case=Nom|Gender=Masc|Number=Sing	7	cc			pid:3.48.1.1.
behandel	2	3	Und behandel mich bitte mit mütterlicher fürsorge wie ein armes, zermürbtes zwergli in dieser großen welt der Riesen, weil ich kann ja überhaupt nix für meine Gefühle und die daraus resultierenden Handlungen sind nicht mein verdienst, da sind allein die linkswoken grünschwuchteln dran schuld und du machst das jetzt mal besser wieder gut, SONST SCHELLEN!	2	behandel	PRON	NE	Case=Nom|Gender=Masc|Number=Sing	7	nsubj			pid:3.48.1.1.
mich	2	3	Und behandel mich bitte mit mütterlicher fürsorge wie ein armes, zermürbtes zwergli in dieser großen welt der Riesen, weil ich kann ja überhaupt nix für meine Gefühle und die daraus resultierenden Handlungen sind nicht mein verdienst, da sind allein die linkswoken grünschwuchteln dran schuld und du machst das jetzt mal besser wieder gut, SONST SCHELLEN!	3	ich	PRON	PPER	Case=Acc|Number=Sing|Person=1|PronType=Prs	7	obj			pid:3.48.1.1.
bitte	2	3	Und behandel mich bitte mit mütterlicher fürsorge wie ein armes, zermürbtes zwergli in dieser großen welt der Riesen, weil ich kann ja überhaupt nix für meine Gefühle und die daraus resultierenden Handlungen sind nicht mein verdienst, da sind allein die linkswoken grünschwuchteln dran schuld und du machst das jetzt mal besser wieder gut, SONST SCHELLEN!	4	bitten	ADV	ADJA	Case=Dat|Gender=Fem|Number=Sing	7	advmod			pid:3.48.1.1.
