<doc id="16.1.1">													
<text id="16.1.1">													
<s id="1">													
Ich	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	1	ich	PRON	PPER	Case=Nom|Number=Sing|Person=1|PronType=Prs	9	nsubj			pid:1.16.1.1.
hab	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	2	haben	AUX	VAFIN	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	9	aux			pid:1.16.1.1.
manchmal	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	3	manchmal	ADV	ADV		9	advmod			pid:1.16.1.1.
das	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	4	der	DET	ART	Case=Nom|Definite=Def|Gender=Neut|Number=Sing|PronType=Art	5	det			pid:1.16.1.1.
absurde	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	5	absurde	X	NE	Case=Nom|Gender=Masc|Number=Sing	8	compound			pid:1.16.1.1.
Gefühl	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	6	Gefühl	NOUN	NN	Case=Nom|Gender=Neut|Number=Sing	5	conj		SpaceAfter=No	pid:1.16.1.1.
,	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	7	,	PUNCT	$,		6	punct			pid:1.16.1.1.
Putin	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	8	Putin	NOUN	NN	Case=Nom|Gender=Fem|Number=Sing	9	nsubj			pid:1.16.1.1.
macht	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	9	machen	VERB	VVFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0	root			pid:1.16.1.1.
wirklich	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	10	wirklich	ADV	ADV		9	advmod			pid:1.16.1.1.
einen	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	11	ein	DET	ART	Case=Acc|Definite=Ind|Gender=Masc|Number=Sing|PronType=Art	13	det			pid:1.16.1.1.
auf	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	12	auf	ADP	APPR		13	case			pid:1.16.1.1.
Tenet	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	13	Tenet	NOUN	NE	Case=Acc|Gender=Neut|Number=Sing	9	obl		SpaceAfter=No	pid:1.16.1.1.
.	1	1	Ich hab manchmal das absurde Gefühl, Putin macht wirklich einen auf Tenet.	14	.	PUNCT	$.		9	punct			pid:1.16.1.1.
</s>													
<s id="2">													
Sich	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	1	er|es|sie	PRON	PRF	Case=Acc|Number=Sing|Person=3|PronType=Prs|Reflex=Yes	13	obj			pid:2.16.1.1.
nochmal	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	2	nochmal	ADV	ADV		5	advmod			pid:2.16.1.1.
kurz	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	3	kurz	ADJ	ADJD		4	advmod			pid:2.16.1.1.
vorm	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	4	vorm	ADJ	NE	Case=Acc|Gender=Fem|Number=Sing	5	amod			pid:2.16.1.1.
Ableben	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	5	Ableben	NOUN	NE	Case=Nom|Gender=Masc|Number=Sing	13	nsubj			pid:2.16.1.1.
maximal	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	6	maximal	ADV	ADV		11	advmod			pid:2.16.1.1.
an	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	7	an	ADP	APPR		10	case			pid:2.16.1.1.
der	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	8	der	DET	ART	Case=Dat|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	10	det			pid:2.16.1.1.
eigenen	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	9	eigen	ADJ	ADJA	Case=Dat|Gender=Fem|Number=Sing	10	amod			pid:2.16.1.1.
Macht	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	10	Macht	NOUN	NN	Case=Dat|Gender=Fem|Number=Sing	11	nmod			pid:2.16.1.1.
berauschen	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	11	berausch	ADJ	ADJA	Case=Dat|Gender=Fem|Number=Plur	5	amod			pid:2.16.1.1.
-	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	12	-	PUNCT	$(		5	punct			pid:2.16.1.1.
macht	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	13	machen	VERB	VVFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0	root			pid:2.16.1.1.
für	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	14	für	ADP	APPR		15	case			pid:2.16.1.1.
ihn	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	15	er	PRON	PPER	Case=Acc|Gender=Masc|Number=Sing|Person=3|PronType=Prs	13	obl			pid:2.16.1.1.
ja	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	16	ja	ADV	ADV		13	advmod			pid:2.16.1.1.
keinen	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	17	kein	PRON	PIAT	Case=Acc|Definite=Ind|Gender=Masc|Number=Sing|Polarity=Neg|PronType=Neg	18	nmod			pid:2.16.1.1.
Unterschied	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	18	Unterschied	NOUN	NN	Case=Acc|Gender=Masc|Number=Sing	13	obj		SpaceAfter=No	pid:2.16.1.1.
.	1	2	Sich nochmal kurz vorm Ableben maximal an der eigenen Macht berauschen - macht für ihn ja keinen Unterschied.	19	.	PUNCT	$.		13	punct			pid:2.16.1.1.
</s>													
<s id="3">													
Vielleicht	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	1	vielleicht	ADV	ADV		6	advmod			pid:3.16.1.1.
hat	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	2	haben	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	6	aux			pid:3.16.1.1.
er	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	3	er	PRON	PPER	Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs	6	nsubj			pid:3.16.1.1.
ja	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	4	ja	ADV	ADV		6	advmod			pid:3.16.1.1.
schon	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	5	schon	ADV	ADV		6	advmod			pid:3.16.1.1.
eingerichtet	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	6	einrichten	VERB	VVPP	VerbForm=Part	0	root		SpaceAfter=No	pid:3.16.1.1.
,	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	7	,	PUNCT	$,		17	punct			pid:3.16.1.1.
dass	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	8	dass	SCONJ	KOUS		17	mark			pid:3.16.1.1.
das	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	9	der	DET	ART	Case=Nom|Definite=Def|Gender=Neut|Number=Sing|PronType=Art	10	det			pid:3.16.1.1.
Nukleararsenal	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	10	Nukleararsenal	NOUN	NN	Case=Nom|Gender=Neut|Number=Sing	17	nsubj:pass			pid:3.16.1.1.
im	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	11-12									pid:3.16.1.1.
in	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	11	in	ADP	APPR		13	case			pid:3.16.1.1.
dem	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	12	der	DET	ART	Case=Dat|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det			pid:3.16.1.1.
Falle	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	13	Falle	NOUN	NN	Case=Dat|Gender=Masc|Number=Sing	17	obl			pid:3.16.1.1.
seines	1	3	Vielleicht hat er ja schon eingerichtet, dass das Nukleararsenal im Falle seines Todes komplett gestartet wird.	14	sein	DET	PPOSAT	Case=Gen|Gender=Masc|Number=Sing|Poss=Yes	15	det:poss			pid:3.16.1.1.
