<doc id="3.1.1">													
<text id="3.1.1">													
<s id="1">													
Joa	1	1	Joa was auch sonst.	1	Joa	PROPN	NE	Case=Nom|Gender=Masc|Number=Sing	0	root			pid:1.3.1.1.
was	1	1	Joa was auch sonst.	2	was	PRON	NE	Case=Nom|Gender=Masc|Number=Sing	4	nsubj			pid:1.3.1.1.
auch	1	1	Joa was auch sonst.	3	auch	ADV	ADV		4	advmod			pid:1.3.1.1.
sonst	1	1	Joa was auch sonst.	4	sonst	ADV	ADJA	Case=Nom|Gender=Neut|Number=Sing	1	advmod		SpaceAfter=No	pid:1.3.1.1.
.	1	1	Joa was auch sonst.	5	.	PUNCT	$.		1	punct		SpacesAfter=\n\n	pid:1.3.1.1.
</s>													
<s id="2">													
Wenn	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	1	wenn	SCONJ	KOUS		5	mark			pid:2.3.1.1.
das	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	2	der	DET	PDS	Case=Nom|Gender=Neut|Number=Sing|PronType=Dem	5	det			pid:2.3.1.1.
ne	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	3	n	ADJ	ART	Case=Nom|Definite=Ind|Gender=Fem|Number=Sing|PronType=Art	5	amod			pid:2.3.1.1.
ernsthafte	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	4	ernsthaft	ADJ	ADJA	Case=Nom|Gender=Fem|Number=Sing	5	amod			pid:2.3.1.1.
Sicherheitslücke	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	5	Sicherheitslücke	NOUN	NN	Case=Nom|Gender=Fem|Number=Sing	12	advcl			pid:2.3.1.1.
wäre	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	6	sein	AUX	ADJA	Case=Acc|Gender=Fem|Number=Sing	5	cop		SpaceAfter=No	pid:2.3.1.1.
,	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	7	,	PUNCT	$,		5	punct			pid:2.3.1.1.
hätten	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	8	haben	AUX	VAFIN	Mood=Sub|Number=Plur|Person=3|Tense=Past|VerbForm=Fin	12	aux			pid:2.3.1.1.
wir	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	9	wir	PRON	ADJD		12	nsubj			pid:2.3.1.1.
davon	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	10	davon	ADV	PAV		12	advmod			pid:2.3.1.1.
nie	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	11	nie	ADV	ADV		12	advmod			pid:2.3.1.1.
erfahren	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	12	erfahren	VERB	VVINF	VerbForm=Inf	0	root			pid:2.3.1.1.
oder	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	13	oder	CCONJ	XY		15	cc			pid:2.3.1.1.
es	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	14	es	PRON	PPER	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	15	expl			pid:2.3.1.1.
gäbe	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	15	geben	VERB	VVFIN	Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	12	conj			pid:2.3.1.1.
*interessantere	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	16	*interessant	ADJ	ADJA	Case=Nom|Gender=Fem|Number=Sing	21	amod		SpaceAfter=No	pid:2.3.1.1.
*	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	17	*	SYM	$(		18	cc			pid:2.3.1.1.
Konsequenzen	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	18	Konsequenz	NOUN	NN	Case=Dat|Gender=Fem|Number=Plur	16	conj			pid:2.3.1.1.
als	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	19	als	ADP	KOKOM		21	case			pid:2.3.1.1.
"	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	20	"	PUNCT	$(		21	punct		SpaceAfter=No	pid:2.3.1.1.
Website	2	2	Wenn das ne ernsthafte Sicherheitslücke wäre, hätten wir davon nie erfahren oder es gäbe *interessantere* Konsequenzen als "Website weg".	21	Website	NOUN	NN	Case=Nom|Gender=Fem|Number=Sing	15	obl			pid:2.3.1.1.
