<doc id="110.1.1">													
<text id="110.1.1">													
<s id="1">													
Naja	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	1	Naja	ADV	ITJ		5	advmod			pid:1.110.1.1.
im	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	2-3									pid:1.110.1.1.
in	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	2	in	ADP	APPR		4	case			pid:1.110.1.1.
dem	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	3	der	DET	ART	Case=Dat|Definite=Def|Gender=Neut|Number=Sing|PronType=Art	4	det			pid:1.110.1.1.
Anbetracht	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	4	Anbetracht	NOUN	NN	Case=Dat|Number=Sing	5	obl			pid:1.110.1.1.
dessen	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	5	dessen	VERB	VVINF	VerbForm=Inf	0	root		SpaceAfter=No	pid:1.110.1.1.
,	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	6	,	PUNCT	$,		12	punct			pid:1.110.1.1.
dass	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	7	dass	SCONJ	KOUS		12	mark			pid:1.110.1.1.
die	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	8	der	DET	ART	Case=Nom|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det			pid:1.110.1.1.
Zahl	1	1	Naja im Anbetracht dessen, dass die Zahl seit Jahren steigt und nicht sinkt würde ich schon sagen, dass es scheinbar nicht viel bringt.	9	Zahl	NOUN	NN	Case=Nom|Gender=Fem|Number=Sing	12	nsubj			pid:1.110.1.1.
