noun,com
Achat,NA
Allanit,NA
Alloklas,NA
Amethysten,NA
Ammonit,NA
Anatas,NA
Anglesit,NA
Ankerit,NA
Apatit,NA
"Apatit,",NA
Aquamarin,NA
Aragonit,NA
Argentit,NA
Arsenopyrit,NA
Autunit,NA
Azurit,NA
Baryt,NA
Basalt,NA
Bastnasit,NA
Baustein,NA
Bergkristall,NA
Beryll,NA
Bilderstein,NA
Bornit,NA
Brookit,NA
Calcit,NA
Carnotit,NA
Cassiterit,NA
Celestit,NA
Cerit,NA
Cerussit,NA
Chalkopyrit,NA
Chalkosit,NA
Chlorit,NA
Cobaltit,NA
Columbit,NA
Covellin,NA
Covellit,NA
Cuprit,NA
Dendrit,NA
Diamant,NA
Diatomee,NA
Digenit,NA
Dolch,NA
Dolomit,NA
Dyskrasit,NA
Edelstein,NA
Eis,NA
Eisenglanz,NA
Eisenoxid,NA
Enargit,NA
Ergußgestein,NA
Euxenit,NA
Feldspat,NA
Felsgestein,NA
Fergusonit,NA
Feuerstein,NA
Fluorit,NA
Galenit,NA
Gersdorffit,NA
Gestein,NA
Gesteinsart,NA
Gips,NA
Gipskristalle,NA
Glaukodot,NA
Glimmer,NA
Gneis,NA
Granat,NA
Granit,NA
Graphit,NA
Hämatit,NA
Hämatitkristall,NA
Heliodor,NA
Herz,NA
Idokras,NA
Ilmenit,NA
Jadeit,NA
Jaspis,NA
Kalk,NA
Kalkstein,NA
Kalzit,NA
Kalzitgarbe,NA
Kalzits,NA
Karneol,NA
Kassiterit,NA
Kieselgestein,NA
Kieselsäure,NA
Kolumbit,NA
Korund,NA
Kristall,NA
Kryptogame,NA
Landschaftsstein,NA
Lapislazuli,NA
Limonit,NA
Löllingit,NA
Magnesit,NA
Magnetit,NA
Magnetits,NA
Magnetkies,NA
Malachit,NA
Mangan,NA
Manganabsätzen,NA
Mangandendrit,NA
Manganits,NA
Markasit,NA
Marmor,NA
Marmorfarbe,NA
Mergelkonkretion,NA
Millerit,NA
Mineral,NA
Mineralien,NA
Molybdänit,NA
Monazit,NA
Moose,NA
Morganit,NA
Muschelschale,NA
Nephrit,NA
Nickelin,NA
Obsidian,NA
Obsidiankling,NA
Onyx,NA
Opal,NA
Orthoklas,NA
Pentlandit,NA
Peridot,NA
Phenakit,NA
Polycras,NA
Powelit,NA
Proustit,NA
Pseudomorphose,NA
Pyramide,NA
Pyrargyrit,NA
Pyrit,NA
Pyrite,NA
Pyromorphit,NA
Pyrrhotin,NA
Quarz,NA
Quarzleist,NA
Quarznadel,NA
Quarznadeln,NA
Radiolarie,NA
Rammelsbergit,NA
Rhodochrosit,NA
Rieselgestein,NA
Rubin,NA
Rutil,NA
Salz,NA
Salze,NA
Samarskit,NA
Sandrose,NA
Saphir,NA
Sarder,NA
Scheelit,NA
Schriftgranit,NA
Siderit,NA
Silber,NA
Silicitknolle,NA
Silicium,NA
Siliziumoxid,NA
Skutterudit,NA
Smaragd,NA
Smythit,NA
Specularit,NA
Sphalerit,NA
Staurolith,NA
Stein,NA
Stolzit,NA
Strontianit,NA
Stufenpyramide,NA
Sykomor,NA
Synchisit,NA
Talk,NA
Tantalit,NA
Tetraedrit,NA
Thorit,NA
Titanit,NA
Topas,NA
Torbernit,NA
Turmalin,NA
Ulmanit,NA
Uraninit,NA
Vanadinit,NA
Verstein,NA
Vesuvianit,NA
Witherit,NA
Wolframit,NA
Wulfenit,NA
Wunderstein,NA
Xenotim,NA
Yttrotantalit,NA
Zirkon,NA
