werdend,Edelstein
werdend,Stein
winkelig,Kristall
winzig,Achat
winzig,Kristall
winzig,Orthoklas
winzig,Quarz
winzig,Stein
worden,Obsidiankling
wundersam,Stein
zählebig,Kristall
zerfetzt,Chlorit
zerklüftet,Stein
zerrieben,Stein
zerstäubt,Quarz
zufällig,Jaspis
zugleich,Quarz
zulaufend,Gesteinsart
zuweilen,Salz
zwillingsförmig,Kalzits
zwingend,Mineral
