Source,Target,Type,Id,Label,Weight
undeutlich,Marmorfarbe,Directed,991,Marmorfarbe,1
minderwertig,Mergelkonkretion,Directed,992,Mergelkonkretion,1
aggressiv,Mineral,Directed,993,Mineral,1
ander,Mineral,Directed,994,Mineral,1
äußer,Mineral,Directed,995,Mineral,1
bestimmt,Mineral,Directed,996,Mineral,1
beteiligt,Mineral,Directed,997,Mineral,1
betroffen,Mineral,Directed,998,Mineral,1
eingeschlossen,Mineral,Directed,999,Mineral,1
fremdartig,Mineral,Directed,1000,Mineral,1
geradlinig,Mineral,Directed,1001,Mineral,1
gewöhnlich,Mineral,Directed,1002,Mineral,1
gleichgültig,Mineral,Directed,1003,Mineral,1
grenzenlos,Mineral,Directed,1004,Mineral,1
langsam,Mineral,Directed,1005,Mineral,1
leicht,Mineral,Directed,1006,Mineral,1
per,Mineral,Directed,1007,Mineral,1
rasch,Mineral,Directed,1008,Mineral,1
speziell,Mineral,Directed,1009,Mineral,1
verflüssig,Mineral,Directed,1010,Mineral,1
vollständig,Mineral,Directed,1011,Mineral,1
vorwiegend,Mineral,Directed,1012,Mineral,1
zwingend,Mineral,Directed,1013,Mineral,1
fossil,Moose,Directed,1014,Moose,1
trocken,Moose,Directed,1015,Moose,1
worden,Obsidiankling,Directed,1016,Obsidiankling,1
kieselsäurearm,Onyx,Directed,1017,Onyx,1
schwarzweiß,Onyx,Directed,1018,Onyx,1
wenig,Onyx,Directed,1019,Onyx,1
lebendig,Opal,Directed,1020,Opal,1
winzig,Orthoklas,Directed,1021,Orthoklas,1
abscheulich,Pyramide,Directed,1022,Pyramide,1
alt,Pyramide,Directed,1023,Pyramide,1
gewöhnlich,Pyramide,Directed,1024,Pyramide,1
herrlich,Pyramide,Directed,1025,Pyramide,1
liegend,Pyramide,Directed,1026,Pyramide,1
fünfeckig,Pyrit,Directed,1027,Pyrit,1
gleich,Pyrite,Directed,1028,Pyrite,1
selten,Pyrite,Directed,1029,Pyrite,1
absolut,Quarz,Directed,1030,Quarz,1
beteiligt,Quarz,Directed,1031,Quarz,1
braun,Quarz,Directed,1032,Quarz,1
kalt,Quarz,Directed,1033,Quarz,1
offenkundig,Quarz,Directed,1034,Quarz,1
schlickförmig,Quarz,Directed,1035,Quarz,1
schwarz,Quarz,Directed,1036,Quarz,1
spitzig,Quarz,Directed,1037,Quarz,1
undurchdringlich,Quarz,Directed,1038,Quarz,1
unnachgiebig,Quarz,Directed,1039,Quarz,1
vereinbart,Quarz,Directed,1040,Quarz,1
verloren,Quarz,Directed,1041,Quarz,1
winzig,Quarz,Directed,1042,Quarz,1
zerstäubt,Quarz,Directed,1043,Quarz,1
zugleich,Quarz,Directed,1044,Quarz,1
kurz,Quarzleist,Directed,1045,Quarzleist,1
groß,Quarznadeln,Directed,1046,Quarznadeln,1
abtrünnig,Salz,Directed,1047,Salz,1
liegend,Salz,Directed,1048,Salz,1
mineralisch,Salz,Directed,1049,Salz,1
prächtig,Salz,Directed,1050,Salz,1
zuweilen,Salz,Directed,1051,Salz,1
ander,Salze,Directed,1052,Salze,1
beharrlich,Salze,Directed,1053,Salze,1
fluider,Salze,Directed,1054,Salze,1
metallisch,Salze,Directed,1055,Salze,1
ungleichmäßig,Salze,Directed,1056,Salze,1
schnell,Silber,Directed,1057,Silber,1
groß,Siliziumoxid,Directed,1058,Siliziumoxid,1
blutrot,Specularit,Directed,1059,Specularit,1
bildnerisch,Stein,Directed,1060,Stein,1
abgrenzen,Stein,Directed,1061,Stein,1
ander,Stein,Directed,1062,Stein,1
angeblich,Stein,Directed,1063,Stein,1
anonym,Stein,Directed,1064,Stein,1
anrührend,Stein,Directed,1065,Stein,1
arabisch,Stein,Directed,1066,Stein,1
aufgeschnitten,Stein,Directed,1067,Stein,1
aufgestellt,Stein,Directed,1068,Stein,1
aufmerksam,Stein,Directed,1069,Stein,1
äußer,Stein,Directed,1070,Stein,1
austauschbar,Stein,Directed,1071,Stein,1
bedauernswert,Stein,Directed,1072,Stein,1
bekennen,Stein,Directed,1073,Stein,1
bekräftigen,Stein,Directed,1074,Stein,1
beständig,Stein,Directed,1075,Stein,1
bitter,Stein,Directed,1076,Stein,1
bleich,Stein,Directed,1077,Stein,1
bruchstückhaft,Stein,Directed,1078,Stein,1
bunt,Stein,Directed,1079,Stein,1
deutlich,Stein,Directed,1080,Stein,1
dichtgedrängt,Stein,Directed,1081,Stein,1
dritt,Stein,Directed,1082,Stein,1
dunkel,Stein,Directed,1083,Stein,1
durchgängig,Stein,Directed,1084,Stein,1
durchsichtig,Stein,Directed,1085,Stein,2
einziges,Stein,Directed,1087,Stein,1
entgegengesetzt,Stein,Directed,1088,Stein,1
erst,Stein,Directed,1089,Stein,1
fest,Stein,Directed,1090,Stein,1
folgend,Stein,Directed,1091,Stein,1
fühllos,Stein,Directed,1092,Stein,1
ganz,Stein,Directed,1093,Stein,1
gefestigt,Stein,Directed,1094,Stein,1
gefunden,Stein,Directed,1095,Stein,1
hell,Stein,Directed,1096,Stein,1
herrlich,Stein,Directed,1097,Stein,1
konzentrisch,Stein,Directed,1098,Stein,1
märchenhaftes,Stein,Directed,1099,Stein,1
mineralogisch,Stein,Directed,1100,Stein,1
mühelos,Stein,Directed,1101,Stein,1
niederlegt,Stein,Directed,1102,Stein,1
offenkundig,Stein,Directed,1103,Stein,1
persönlich,Stein,Directed,1104,Stein,1
phantastisch,Stein,Directed,1105,Stein,2
rein,Stein,Directed,1107,Stein,1
schmählich,Stein,Directed,1108,Stein,1
schwankend,Stein,Directed,1109,Stein,1
schwarz,Stein,Directed,1110,Stein,1
schwermütig,Stein,Directed,1111,Stein,1
sichtbar,Stein,Directed,1112,Stein,1
starren,Stein,Directed,1113,Stein,1
stumm,Stein,Directed,1114,Stein,1
sungen,Stein,Directed,1115,Stein,1
tintespeiend,Stein,Directed,1116,Stein,1
tot,Stein,Directed,1117,Stein,1
überarbeitet,Stein,Directed,1118,Stein,1
unbewegt,Stein,Directed,1119,Stein,1
unempfindlich,Stein,Directed,1120,Stein,1
unerschütterlich,Stein,Directed,1121,Stein,1
ungleichmäßig,Stein,Directed,1122,Stein,1
unterschiedlich,Stein,Directed,1123,Stein,1
ursprünglich,Stein,Directed,1124,Stein,1
verschachtelt,Stein,Directed,1125,Stein,1
verurteiln,Stein,Directed,1126,Stein,1
verwandelnd,Stein,Directed,1127,Stein,1
wahrscheinlich,Stein,Directed,1128,Stein,1
weiß,Stein,Directed,1129,Stein,2
werdend,Stein,Directed,1131,Stein,1
winzig,Stein,Directed,1132,Stein,1
wundersam,Stein,Directed,1133,Stein,1
zerklüftet,Stein,Directed,1134,Stein,1
zerrieben,Stein,Directed,1135,Stein,1
alt,Stufenpyramide,Directed,1136,Stufenpyramide,1
überhängend,Stufenpyramide,Directed,1137,Stufenpyramide,1
völlig,Stufenpyramide,Directed,1138,Stufenpyramide,1
gleichuchl,Sykomor,Directed,1139,Sykomor,1
ausgelaugt,Sykomor,Directed,1140,Sykomor,1
nah,Sykomor,Directed,1141,Sykomor,1
locker,Talk,Directed,1142,Talk,1
skalenoedrisch,Topas,Directed,1143,Topas,1
