adj,noun,mineral
diagonal,Weg,0
diagonal,Wissenschaft,0
dürftig,Hinweis,0
dürftig,Auge,0
dürftig,Rune,0
Glatt,Manier,0
Glatt,Brüste,0
abenteuerlich,Zartem,0
abenteuerlich,caillois-die-schrift-der-steine.pdf,0
abgeflacht,Spitze,0
abgeflacht,Windung,0
abgeflacht,Unterschlupfe,0
abgeflacht,Querschnitt,0
abgeflacht,Raute,0
abgeflacht,Messer,0
abgeknickt,Visitenkarte,0
abgeknickt,Rand,0
abgelehnt,Gedicht,0
abgelehnt,Saft,0
abgeschnitten,Knochen,0
abgeschnitten,Brüste,0
abgeschnitten,Himbeeren,0
abgeschnitten,Brustwarz,0
abgeschrägt,Klinge|Klingen,0
abgeschrägt,Querschnitt,0
abgestumpft,Saule,0
abgestumpft,Turm,0
abgrenzen,Stein,0
abgrenzen,Sandfläche,0
abgrenzen,Unsterbliche,0
abscheulich,Kunterbunt,0
abscheulich,Pflanze|Pflanzen,0
abscheulich,Agronomen,0
abscheulich,Pyramide,0
abscheulich,Mumie,0
abscheulich,Gestalt,0
abschüssig,Undurchdringlichkeit,0
abschüssig,Nacht,0
abschüssig,Fläche,0
abschüssig,Feld,0
absichtlich,Zersplitte,0
absichtlich,rung,0
absichtlich,Schrift47,0
absichtsvoll,Vergleichs,0
absichtsvoll,Linie,0
absichtsvoll,Zeichen,0
absolut,Reich,0
absolut,still,0
absolut,Kristall,0
absolut,Durchsichtigkeit,0
absolut,Quarz,0
absolut,Gebilde,0
absolut,Ordnung,0
absolut,Kristallgesetzen,0
absolute,nutzen,0
absolute,Triumphboge,0
absolute,Tor,0
abstrakt,Prismus,0
abstrakt,Kristall,0
abstrakt,Transparenz,0
abstrakt,Richtung,0
abstrakt,Raum,0
abstrakt,Fest,0
abstrakt,Geschäftigkeit,0
absurd,Weise,0
absurd,raumbild,0
abtrünnig,Leben,0
abtrünnig,Salz,0
abtrünnig,Gedächtniß,0
abverlang,Genauigkeit,0
abverlang,Annäherung,0
abwechselnd,Honig,0
abwechselnd,Lavendelfarbe,0
abwechslungreich,Farbe,0
abwechslungsreich,Kunst,0
abwesend,Schubfächer,0
abwesend,Platz,0
aggressiv,Polychromien,0
aggressiv,Mineral,0
aggressiv,Erscheinungsbild,0
ahnlich,SträuBen,0
ahnlich,Dendrit,0
ähnlich,Aneinanderreihung,0
ähnlich,Element,0
ähnlich,Organ,0
ähnlich,Körper,0
ähnlich,Pflanze,0
ähnlich,Pflanzenteil,0
ähnlich,Impuls,0
ähnlich,Wiederkehr,0
ähnlich,Zeichen,0
algen,Eichel,0
algen,Mollusko,0
algen,Kniescheiben,0
allein,Ergebnis,0
allein,Nichtigkeit,0
allein,Materie,0
allereinfach,Figur,0
allgemein,Eigenschaft,0
allgemein,Grundsatz,0
allgemein,Stadt,0
allgemein,Achat,0
allgemein,Jahrhundert,0
allgemein,Gesprächsgegenstand,0
allmählich,Übergangsprozesse,0
allmählich,Verkieselung,0
allmählich,Zelle,0
allmählich,Baum,0
alltäglich,Gehilfe,0
alltäglich,Arbeit,0
alltäglich,Winkeldreieck,0
alphabetisch,Zeichen,0
alphabetisch,Schreibung,0
