special_item_id,taxonomy|taxonomy|display_yes,title|core_title|display_yes,description|core_description|display_no,registratur|date|display_no,detailed description|text|display_no,brand|text|display_yes,usage|text|display_no,used from|date|display_no,used until|date|display_no,related items|relationship|display_yes,keywords|text|multiple|display_no,sigel|text|display_no,special_item_status,special_document,special_attachments,special_comment_status,special_item_author,special_item_slug,creation_date,user_last_modified,modification_date,public_url
639,tech>>audio>>connector,cassette adapter,adapter to connect audio source to replay device via 3.5mm male aux audio lead,2024-12-21,"this item is used to play sound from audio sources like mp3-players, cd-players or similar on devices with no input (e.g. bluetooth, aux-in) availability.",,"the cassette part was placed inside a replay device with cassette holder (autoradio, cassette recorder, tapedeck) and the 3.5mm lead plugged into the sound source device (e.g. mp3-player). pressing play on the cassette holding device and if necessary selecting :tape: as sound source on this device played the sound from the source connected with to the plug.",2000-01-01,2020-01-01,,ipod||mp3||radio,b001_e1_i001,publish,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/639/b001_e1-47.jpeg,,closed,wpnetadmin,cassette-adapter,2024-12-21 07:13:33,admin,2024-12-21 10:58:55,https://rotefadenbuecher.de/page/thinghub/box_2/cassette-adapter/
637,tech>>audio>>recording,microphone (1),microphone to connect to reel tape recorder or similar device with 5-pol DIN connector,2024-12-21,,Telefunken,,1950-01-01,1990-01-01,,recording||DIN,b001_e1_004,publish,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/637/b001_e1-46.jpeg,,closed,wpnetadmin,microphone-1,2024-12-21 07:13:33,admin,2024-12-21 07:13:46,https://rotefadenbuecher.de/page/thinghub/box_2/microphone-1/
635,,b001_e1 - 45.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/635/b001_e1-45.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:33,admin,2024-12-21 07:13:46,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=635
633,,b001_e1 - 44.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/633/b001_e1-44.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:33,admin,2024-12-21 07:13:46,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=633
630,,b001_e1 - 43.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/630/b001_e1-43.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:33,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=630
629,,b001_e1 - 42.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/629/b001_e1-42.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:33,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=629
627,,b001_e1 - 41.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/627/b001_e1-41.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:33,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=627
624,,b001_e1 - 35.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/624/b001_e1-35.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=624
622,,b001_e1 - 40.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/622/b001_e1-40.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=622
620,,b001_e1 - 39.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/620/b001_e1-39.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=620
619,,b001_e1 - 36.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/619/b001_e1-36.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=619
615,,b001_e1 - 34.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/615/b001_e1-34.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=615
614,,b001_e1 - 38.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/614/b001_e1-38.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=614
613,,b001_e1 - 37.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/613/b001_e1-37.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=613
611,,b001_e1 - 33.jpeg,,,,,,,,,,,draft,file:https://rotefadenbuecher.de/page/thinghub/wp-content/uploads/sites/5/tainacan-items/467/611/b001_e1-33.jpeg,,closed,wpnetadmin,,2024-12-21 07:13:32,admin,2024-12-21 07:13:45,https://rotefadenbuecher.de/page/thinghub/?post_type=tnc_col_467_item&p=611
