Source,Target,Type,Id,Label,Weight
adj,noun,Directed,0,,1
beschrieben,Achat,Directed,1,,3
blau,Achat,Directed,2,,3
gebaenderter,Achat,Directed,3,,1
gefaerbt,Achat,Directed,4,,1
halbkuglig,Achat,Directed,5,,1
hoch,Achat,Directed,6,,1
menschlich,Achat,Directed,7,,2
merwaehrend,Achat,Directed,8,,1
poliert,Achat,Directed,9,,1
pur,Achat,Directed,10,,2
runden,Achat,Directed,11,,1
unbestreitbar,Achat,Directed,12,,2
vollkomm,Achat,Directed,13,,1
winzig,Achat,Directed,14,,2
aufeinanderfolgend,Ammonit,Directed,15,,2
fossil,Ammonit,Directed,16,,1
grosz,Ammonit,Directed,17,,1
massiv,Baustein,Directed,18,,1
unaufhoerlich,Baustein,Directed,19,,1
verirren,Bergkristall,Directed,20,,1
speziell,Bilderstein,Directed,21,,1
zerfetzt,Chlorit,Directed,22,,2
farnwedelartig,Dendrit,Directed,23,,1
mehrfach,Dendrit,Directed,24,,1
unfruchen,Diamant,Directed,25,,1
klein,Diatomee,Directed,26,,1
ande,Edelstein,Directed,27,,1
ausdrucksstark,Edelstein,Directed,28,,1
genau,Edelstein,Directed,29,,2
Gutduenk,Edelstein,Directed,30,,1
r,Edelstein,Directed,31,,1
unschmelzbar,Eis,Directed,32,,2
voelliger,Eis,Directed,33,,1
blut,Eisenglanz,Directed,34,,1
blutrot,Eisenglanz,Directed,35,,2
rotem,Eisenglanz,Directed,36,,1
ziell,Eisenglanz,Directed,37,,1
ande,Eisenoxid,Directed,38,,1
r,Eisenoxid,Directed,39,,1
ger,Erguszgestein,Directed,40,,1
nant,Erguszgestein,Directed,41,,1
entsprechend,Feldspat,Directed,42,,1
amorphen,Felsgestein,Directed,43,,2
offen,Felsgestein,Directed,44,,2
Schicht,Felsgestein,Directed,45,,1
Widmannstaettensch,Feuerstein,Directed,46,,1
alt,Gestein,Directed,47,,1
Laediert,Gestein,Directed,48,,1
bruechig,Gips,Directed,49,,1
bruechig,Glimmer,Directed,50,,1
entfern,Glimmer,Directed,51,,1
uebereinandergeschichtet,Glimmer,Directed,52,,1
zart,Graphit,Directed,53,,1
int,Haematit,Directed,54,,1
rotem,Haematit,Directed,55,,1
abg,Haematitkristall,Directed,56,,1
tiefbetruebt,Herz,Directed,57,,1
unbegreiflich,Herz,Directed,58,,1
moeglich,Jaspis,Directed,59,,1
bruechigem,Kalk,Directed,60,,1
risz,Kalk,Directed,61,,1
toskanisch,Kalk,Directed,62,,1
laendlich,Kalkstein,Directed,63,,1
faerbten,Kalzit,Directed,64,,1
kommend,Kalzit,Directed,65,,1
korrekt,Kalzit,Directed,66,,2
rechtmaeszig,Kalzit,Directed,68,,1
schief,Kalzit,Directed,69,,1
einfach,Kalzits,Directed,70,,1
gaenglich,Kieselgestein,Directed,71,,1
unv,Kieselgestein,Directed,72,,1
erst,Kieselsaeure,Directed,73,,1
abweh,Kristall,Directed,74,,1
blasser,Kristall,Directed,75,,2
blitzend,Kristall,Directed,76,,2
che,Kristall,Directed,77,,1
doppelt,Kristall,Directed,78,,2
eigen,Kristall,Directed,79,,2
entfaltend,Kristall,Directed,80,,1
farblos,Kristall,Directed,81,,1
