"","lemma.o","lemma.c.x","lemma.c.y","unlist.sent.cr.","n"
"94","kugelkopf","",,"1512mit hölzern, sogar stangen, die roten kugelköpfe leuchten.",
"95","lament","",,"1938ornament, ornament, i understand your bored lament.",
"96","lärmen","",,"1805wie mich das lärmen der züge erlöst: kaum dass ich höre, was ich schreibe.",
"97","legenheien","",,"604bis eine gelegenheit kam, die uns wahrnahm.",
"98","lektür",,"lektüre",,"985"
"99","lett",,"letter",,"821"
"100","leuchen","",,"1513mit hölzern, sogar stangen, die roten kugelköpfe leuchten.",
"101","leumund","",,"1310aber die zeiten, als nicht bloß sein leumund bei mir lag!",
"102","lid","",,"1654vielleicht nicht sinnig, aber ohne märchen wäre lange sense. darauf ich: siehe der spechte drittes lid, wie es sich seitwärts vor die linse schiebt!",
"103","liebesdingen","",,"2221scheue also, wenn man dich nach liebesdingen fragt, nicht den einen, das ganze gastmahl verstimmenden schluckauf.",
"104","lieblingsjaks","",,"2173zum beispiel lieblingsjaks und lieblingsnaks, schluchzer und juchzer.",
"105","lieblingsnaks","",,"2175zum beispiel lieblingsjaks und lieblingsnaks, schluchzer und juchzer.",
"106","lik","",,"770for instance island: i say geysers, you say eyes; they're watching us, you say, nay, i say, they're blinded like a hedgehog in the fog. zuhause das gleiche spiel.",
"107","lov",,"lover",,"1943"
"108","lufen","",,"2123und dies soll unser zeichen sein: xo, ein kuss und das loch, das er lässt in der hiesigen luft, an x-beliebiger stelle, wie exlaub und unort ein loch, daran wir unsere finger legen, uns erinnern, dass es gifte gibt, gegenworte, jenseits davon nichts.",
"109","lupen",,"lupe",,"992"
"110","mäg",,"magen",,"251"
"111","mage","",,"951sei ein kind, lieber freund, und höre, was du hier nicht siehst: kau, genau, als wüchse über diese zeilen gras, eine art saftige güte, und grübeln wär erlaubt wie grasen oder lesen mit dem magen: ruminate, illuminate.",
"112","mahn",,"mähne",,"1351"
"113","mald","",,"2272wir wollten die entblößung unserer zähne trainieren, studieren das stimmhafte sehnen zum beispiel der zebras, weil alles zueinander anders sagt, mald so und mal zoo. zuletzt entdeckten wir, verzagt am zaun, ein echsennest.",
"114","männ","",,"263die männer hießen sam, and lord, how they could open clam.",
"115","manner","",,"1088sie hat manners: da ließe sich von umwegen reden.",
"116","mor","",,"1967wär ich ein uferschneck, or more sophisticated: wentletrap, wühlte mich das meer vor deine füße, doch du suchtest, pulend, stur, dem namen nach in meinem haus die weißen treppen nur, und dunkle winkel.",
"117","Morgen",,"morgen",,"980"
"118","müd",,"müde",,"960"
"119","nachen","",,"1260oder ist mein freund, entweder auch, ein letzter hauch, dann rauschen, gute nacht.",
"120","neckisch","",,"1208sie rufen einander unverwandt an, neckisch, phonetisch und auch in größter not.",
"121","nieten","",,"234liebe hier gemeint als donut, also known as: du not go.	1179false cognates have a name, have they not?",
"122","nuts","",,"240or i'll go nuts.",
"123","oops","",,"1485oops, da ist es aus.",
"124","orang","",,"2080im disseits finden den dunst, im dunst dioxin, im dioxin die gitter der sprache (agent orange, love canal, kieselrot);",
"125","ornamenen",,"ornament",,"1932"
