affix rank
th 1
en 2
ment 3.56379310344828
ster 4.66379310344828
or 4.72586206896552
aryN 5.04655172413793
ian 7
er 8.4551724137931
aryA 9.66724137931035
ive 9.87758620689655
ette 10.0103448275862
ee 12.4689655172414
ist 12.5206896551724
ess 14
lyAJ 15.1913793103448
age 16.3913793103448
ish 16.5431034482759
ery 18.6344827586207
ling 18.8948275862069
dom 21.4534482758621
hood 21.5327586206897
ship 21.5844827586207
fold 23.3465517241379
ous 24.2810344827586
fulA 24.3844827586207
less 24.8068965517241
ism 28.6034482758621
ness 28.6827586206897
lyAV 28.7689655172414
fulN 28.8603448275862
wise 29.0396551724138
