"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"nun",3,15160659,1564.12927,721.94995,2.165
"wo",2,10122275,1042.75281,482.02234,2.161
"ort",1,5106042,521.37640,243.14951,2.140
"nicht",25,128578879,13034.41113,6122.92090,2.129
"ander",4,20754246,2085.50562,988.31635,2.109
"handeln",1,5181995,521.37640,246.76639,2.108
"schaffen",1,5189068,521.37640,247.10321,2.105
"eine",76,396530336,39624.60938,18882.75781,2.098
"folgend",1,5263962,521.37640,250.66966,2.076
"zeigen",2,10554368,1042.75281,502.59860,2.073
"alle",10,54201989,5213.76416,2581.09644,2.020
"ganz",4,21901748,2085.50562,1042.96033,1.999
"beginnen",1,5491616,521.37640,261.51053,1.990
"viele",4,22041763,2085.50562,1049.62793,1.986
"helfen",1,5510034,521.37640,262.38760,1.983
"wollen",4,22157001,2085.50562,1055.11548,1.976
"sie",135,756259702,70385.82031,36013.05859,1.954
"zeit",3,17175065,1564.12927,817.87585,1.911
"heute",2,11470951,1042.75281,546.24622,1.907
"wenig",1,5745023,521.37640,273.57776,1.902
"darauf",1,5747695,521.37640,273.70499,1.902
"oft",1,5806172,521.37640,276.48965,1.883
"gemeinsam",1,5831442,521.37640,277.69302,1.874
"einige",2,11712764,1042.75281,557.76135,1.868
"leider",1,5870920,521.37640,279.57297,1.862
"weit",3,17664183,1564.12927,841.16766,1.858
"aber",10,60064965,5213.76416,2860.29126,1.823
"mehr",6,36094506,3128.25854,1718.81897,1.820
"nehmen",2,12057567,1042.75281,574.18085,1.815
"davon",1,6122360,521.37640,291.54654,1.786
"aus",11,67602568,5735.14062,3219.23145,1.781
"sehen",3,18670507,1564.12927,889.08881,1.758
"müssen",6,37572663,3128.25854,1789.20874,1.748
"nutzen",1,6349558,521.37640,302.36569,1.722
"jahr",6,38271912,3128.25854,1822.50696,1.716
"kind",2,12755787,1042.75281,607.43005,1.715
"neu",5,32142797,2606.88208,1530.63867,1.703
"neben",1,6507033,521.37640,309.86462,1.680
"da",5,33482030,2606.88208,1594.41284,1.635
"gelten",1,6735695,521.37640,320.75354,1.624
"denken",1,6810173,521.37640,324.30014,1.606
"kommen",4,28372544,2085.50562,1351.09937,1.543
"ohne",2,14353746,1042.75281,683.52478,1.525
"erst",4,29170936,2085.50562,1389.11877,1.501
"mensch",2,14766604,1042.75281,703.18506,1.482
"klein",2,14784170,1042.75281,704.02155,1.480
"wohl",1,7630968,521.37640,363.38638,1.434
"gegen",2,15269186,1042.75281,727.11804,1.433
"einfach",2,15520668,1042.75281,739.09357,1.410
"dafür",1,8110881,521.37640,386.23984,1.349
"immer",3,24349300,1564.12927,1159.51270,1.349
"verschieden",1,8192418,521.37640,390.12259,1.336
"weg",1,8215038,521.37640,391.19977,1.332
"einmal",1,8344366,521.37640,397.35837,1.311
"sein",42,353241845,21897.81055,16821.36133,1.302
"wieder",3,25337483,1564.12927,1206.56982,1.296
"richtig",1,8495966,521.37640,404.57755,1.288
"nah",1,8665627,521.37640,412.65680,1.263
"groß",3,26203704,1564.12927,1247.81934,1.253
"wer",1,8758419,521.37640,417.07556,1.249
"fall",1,9113199,521.37640,433.97018,1.201
"zu",28,260534395,14598.54004,12406.63672,1.177
"drei",1,9351560,521.37640,445.32092,1.170
"können",11,103001855,5735.14062,4904.94434,1.169
"hier",3,28247466,1564.12927,1345.14319,1.163
"deutschland",1,9437529,521.37640,449.41473,1.160
"geben",4,38069661,2085.50562,1812.87561,1.150
"auf",14,136275064,7299.27002,6489.41309,1.125
"lang",1,9982840,521.37640,475.38242,1.097
"werden",20,201040695,10427.52832,9573.54980,1.089
"dürfen",1,10067079,521.37640,479.39389,1.087
"so",6,60790459,3128.25854,2894.83911,1.081
"haben",16,162718039,8342.02246,7748.62646,1.077
"in",41,428446574,21376.43359,20402.60938,1.048
"man",5,52275902,2606.88208,2489.37622,1.047
"mit",17,179087864,8863.39941,8528.15723,1.039
"lassen",2,21159730,1042.75281,1007.62555,1.035
"wie",6,65472410,3128.25854,3117.79346,1.003
"weil",1,11639797,521.37640,554.28662,0.941
"sollen",3,35028104,1564.12927,1668.03687,0.938
"sondern",1,11737206,521.37640,558.92529,0.933
"bereits",1,11948566,521.37640,568.99023,0.916
"unter",2,23930284,1042.75281,1139.55920,0.915
"finden",2,24296462,1042.75281,1156.99658,0.901
"keine",3,36509834,1564.12927,1738.59680,0.900
"vor",3,37272881,1564.12927,1774.93298,0.881
"dann",3,37290107,1564.12927,1775.75330,0.881
"die",132,1664458713,68821.68750,79261.46094,0.868
"deutsch",1,12662562,521.37640,602.99066,0.865
"ob",1,12750789,521.37640,607.19208,0.859
"sehr",2,26197998,1042.75281,1247.54761,0.836
"liegen",1,13167438,521.37640,627.03284,0.832
"viel",1,13901135,521.37640,661.97144,0.788
"und",36,502730915,18769.55078,23940.02539,0.784
"gut",3,42510730,1564.12927,2024.35925,0.773
"denn",1,14523740,521.37640,691.61993,0.754
"über",3,45864960,1564.12927,2184.08765,0.716
"nach",4,62031190,2085.50562,2953.92261,0.706
"für",9,144336045,4692.38770,6873.27686,0.683
"bis",2,32641625,1042.75281,1554.39282,0.671
"nur",3,49702108,1564.12927,2366.81226,0.661
"damit",1,16928315,521.37640,806.12567,0.647
"noch",3,52909467,1564.12927,2519.54663,0.621
"dass",4,71215132,2085.50562,3391.26147,0.615
"diese",5,89515626,2606.88208,4262.73047,0.612
"an",7,131722631,3649.63501,6272.62598,0.582
"stehen",1,19090654,521.37640,909.09613,0.574
"ja",1,19782965,521.37640,942.06403,0.554
"jede",1,20846196,521.37640,992.69501,0.526
"mal",1,24469747,521.37640,1165.24841,0.448
"gehen",1,26892499,521.37640,1280.61975,0.408
"von",7,196272693,3649.63501,9346.49707,0.391
"auch",4,121746062,2085.50562,5797.54248,0.360
"oder",2,68721727,1042.75281,3272.52588,0.319
"durch",1,39618437,521.37640,1886.62830,0.277
"wenn",1,43729937,521.37640,2082.41772,0.251
"bei",2,95277546,1042.75281,4537.11279,0.230
"um",1,51117445,521.37640,2434.21069,0.215
