"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"rausch",1,81706,521.37640,3.89084,106.807
"bahnen",1,81895,521.37640,3.89984,106.611
"stürmisch",1,84910,521.37640,4.04341,103.576
"sprichwort",1,88312,521.37640,4.20541,100.353
"verdrehen",1,89415,521.37640,4.25794,99.350
"pseudonym",1,92842,521.37640,4.42113,96.359
"ausbildungsplatz",1,92897,521.37640,4.42375,96.313
"ausleben",1,94867,521.37640,4.51756,94.675
"maritim",1,95287,521.37640,4.53756,94.333
"akzent",2,212925,1042.75281,10.13948,93.699
"prägend",1,97249,521.37640,4.63099,92.768
"ergattern",1,99324,521.37640,4.72980,91.168
"bescheinigen",1,101707,521.37640,4.84328,89.398
"serienmäßig",1,106838,521.37640,5.08762,85.810
"milieu",1,106845,521.37640,5.08795,85.805
"selbstverständlichkeit",1,107979,521.37640,5.14196,85.051
"schulzeit",1,107983,521.37640,5.14215,85.048
"wohlhabend",1,108357,521.37640,5.15996,84.802
"ferne",2,237920,1042.75281,11.32974,84.653
"zunge",2,239822,1042.75281,11.42031,84.036
"handarbeit",1,113190,521.37640,5.39010,81.748
"häftling",1,113562,521.37640,5.40782,81.522
"aneignen",1,116858,521.37640,5.56477,79.573
"grünen",1,117861,521.37640,5.61254,78.998
"aufschreiben",1,118738,521.37640,5.65430,78.502
"legende",2,260875,1042.75281,12.42286,77.759
"plausibel",1,124034,521.37640,5.90649,75.636
"journalistin",1,125600,521.37640,5.98107,74.828
"poetisch",1,127266,521.37640,6.06040,73.987
"misstrauen",1,129798,521.37640,6.18098,72.744
"unruhig",1,131523,521.37640,6.26312,71.922
"weimarer",1,132450,521.37640,6.30726,71.487
"adel",1,133264,521.37640,6.34603,71.110
"anderswo",1,133789,521.37640,6.37103,70.869
"ausdenken",1,133891,521.37640,6.37588,70.822
"es",1,133974,521.37640,6.37984,70.784
"miss",1,134046,521.37640,6.38327,70.751
"unweit",1,134609,521.37640,6.41008,70.495
"bisweilen",1,138598,521.37640,6.60003,68.733
"rüsten",1,142426,521.37640,6.78232,67.123
"schöpfen",1,147763,521.37640,7.03647,65.001
"belassen",1,151833,521.37640,7.23028,63.470
"heimat",5,868951,2606.88208,41.37941,61.537
"nachlass",1,161319,521.37640,7.68200,60.168
"unsinn",1,162336,521.37640,7.73043,59.834
"erblicken",1,162711,521.37640,7.74829,59.712
"thron",1,163346,521.37640,7.77853,59.506
"innerlich",1,166920,521.37640,7.94872,58.374
"karriere",4,745168,2085.50562,35.48487,57.188
"allerlei",1,176549,521.37640,8.40726,55.529
"roh",1,177273,521.37640,8.44173,55.326
"selbstbewusstsein",1,179291,521.37640,8.53783,54.769
"einheimische",1,179650,521.37640,8.55493,54.671
"herrscher",1,181985,521.37640,8.66612,54.042
