,kwic,give,coll,particip,passive,synonyme,note,n.alt,n.0,total,expl
,": .. @@@@ 1391.078 1400.694 ... See what you do is, 1400.694 1401.798 you sort of sidle up to em, 1401.798 1402.771 and you give em a bump. 1402.771 1403.974 ... And then you get in. 1403.974 1404.813 SEAN: @[@@] 1404.433 1404.813 FRAN: [@@]",give,bump,,,,,,,0,
,"re putting the make on you5] or something? 598.059 598.460 ANDREW: No. 598.460 601.466 ... (H) ... But I don't wanna give em any reason to. 601.466 602.338 ... (TSK) (H) [So], 602.020 602.338 >ENV: [MIC_NOISE>>] 602.020 602.574 DARLENE: [",give,reason,,,,,,,0,
,": ... Yeah. 1247.799 1248.699 DARLENE: (H) [I mean, 1248.095 1250.798 CINDY: [(H)= (Hx)=] 1248.873 1251.427 DARLENE: give the people who aren't maki=ng the money] .. a break. 1251.427 1253.321 ... But one [2fifth2]? 1252.937 1253.750 ANDREW",give,break,,,,,,,0,
,"149.942 ROSE: Quit. 149.942 150.679 JUDGE: ... Well I know, 150.679 150.888 but, 150.888 153.139 [normally] you would give em three-day notice to perform uh, 150.888 151.239 ROSE: [X] 153.139 154.048 ... <X O[2kay2] X>, 153.677 154.412 JUDGE",give,notice,,,,,,,0,
,". 1015.901 1017.255 GARY: @@@[@@] 1016.777 1018.280 JULIE: [He's really] a funny character. 1018.280 1019.733 (H) I give lessons on him too, 1019.733 1020.794 he's privately owned but, 1020.794 1022.203 (H) his owner doesn't ride him much.",give,lesson,,,teach,,60,2,62,
,". 1371.086 1372.543 ... An unmanageable. 1372.543 1374.617 ... And he's been perfectly lovely, 1374.617 1376.120 I give the little kids lessons on him. 1376.120 1376.477 GARY: .. Hm. 1376.477 1378.307 JULIE: ... So, 1378.307 1381.092 I've",give,lesson,,,,,,,0,
,"how he got it up there. 52.361 54.013 (H) But they gave it to them then, 54.013 54.786 (H) then, 54.786 56.198 that'd give em another four down- %, 56.198 59.120 ... four ... downs on the ... one yard line, 59.120 61.031 JO: ... So it's over with.",give,four down,,,,,,,0,
,"is a little much. 265.851 266.385 (H) I mean, 266.385 267.960 why don't they= say, 267.960 269.807 .. well we should ... give some back . 269.807 270.142 You know? 270.142 270.698 CAM: ... [Hm]. 270.345 271.463 JO: [We should] take a cut. 271.463",give,back,,,return,,2,2,4,
,"] uh, 793.412 794.201 anyhow, 794.201 795.816 ... uh .. I I I -- 795.816 798.495 ... <X God X> I my -- 798.495 800.215 ... I give my wife the story, 800.215 801.818 Every once in a while this guy's name -- 801.818 804.673 Cause uh I I I .. I .. I like this",give,story,,,,,,,0,
,,,,,,,,139,11,150,
,,,,,,,,,,0,
,,,,,,,,35.2133333333333,2.78666666666667,38,exp
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,2.78,0.22,3,
,,,,,,,,0,0,0,
,,,,,,,,3.70666666666667,0.293333333333333,4,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,27.8,2.2,30,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,3.70666666666667,0.293333333333333,4,
,,,,,,,,0,0,0,
,,,,,,,,4.63333333333333,0.366666666666667,5,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,57.4533333333333,4.54666666666667,62,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,3.70666666666667,0.293333333333333,4,
,,,,,,,,0,0,0,
,,,,,,,,139,11,150,
,,,,,,,,0,0,0,
,,,,,,,,-1.7866666666667,1.78666666666667,-0.00000000000003,dif
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0.78,-0.78,0,
,,,,,,,,0,0,0,
,,,,,,,,0.70666666666667,-0.706666666666667,0.000000000000003,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,-1.2,1.2,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,1.70666666666667,-1.70666666666667,0,
,,,,,,,,0,0,0,
,,,,,,,,0.63333333333333,-0.633333333333333,-0.000000000000003,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,-2.5466666666667,2.54666666666667,-0.00000000000003,
,,,,,,,,0,0,0,
,,,,,,,,0,0,0,
,,,,,,,,1.70666666666667,-1.70666666666667,0,
,,,,,,,,0,0,0,
,,,,,,,,139,11,150,
,,,,,,,,0.0906525306070967,1.14551834130782,1.23617087191492,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,0.218848920863309,2.76545454545455,2.98430346631786,
,,,,,,,,,,0,
,,,,,,,,0.134724220623502,1.70242424242425,1.83714846304775,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,0.0517985611510791,0.654545454545455,0.706344015696534,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,0.785803357314151,9.92969696969702,10.7155003270112,
,,,,,,,,,,0,
,,,,,,,,0.0865707434052749,1.09393939393939,1.18051013734466,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,0.11288311286455,1.4264320625611,1.53931517542565,
,,,,,,,,,,0,
,,,,,,,,,,0,p
,,,,,,,,0.785803357314151,9.92969696969702,10.7155003270112,30.9147927837697
,,,,,,,,,,0,
,,,,,,,,139,11,150,
,,,,,,,,,,0,
