letter,name,final_form,numeric_value,unicode
א,Alef,false,1,U+05D0
ב,Bet,false,2,U+05D1
ג,Gimel,false,3,U+05D2
ד,Dalet,false,4,U+05D3
ה,He,false,5,U+05D4
ו,Vav,false,6,U+05D5
ז,Zayin,false,7,U+05D6
ח,Het,false,8,U+05D7
ט,Tet,false,9,U+05D8
י,Yod,false,10,U+05D9
ך,Kaf,true,500,U+05DA
כ,Kaf,false,20,U+05DB
ל,Lamed,false,30,U+05DC
ם,Mem,true,600,U+05DD
מ,Mem,false,40,U+05DE
ן,Nun,true,700,U+05DF
נ,Nun,false,50,U+05E0
ס,Samekh,false,60,U+05E1
ע,Ayin,false,70,U+05E2
ף,Pe,true,800,U+05E3
פ,Pe,false,80,U+05E4
ץ,Tsadi,true,900,U+05E5
צ,Tsadi,false,90,U+05E6
ק,Qof,false,100,U+05E7
ר,Resh,false,200,U+05E8
ש,Shin,false,300,U+05E9
ת,Tav,false,400,U+05EA
