id,itemLabel,edgeLabel,Label
1,Commemorative head of a queen mother,made from material,made from material
2,Commemorative head of a queen mother,made from material,made from material
3,Commemorative head of a queen mother,made from material,made from material
4,Commemorative head of a queen mother,made from material,made from material
5,Commemorative head of a queen mother,made from material,made from material
6,Commemorative head of a queen mother,made from material,made from material
7,Commemorative head of a queen mother,depicts,depicts
8,Commemorative head of a queen mother,depicts,depicts
9,Commemorative head of a queen mother,country of origin,country of origin
10,Commemorative head of a queen mother,country of origin,country of origin
11,Commemorative head of a queen mother,country of origin,country of origin
12,Commemorative head of a queen mother,country of origin,country of origin
13,Commemorative head of a queen mother,depicts,depicts
14,Commemorative head of a queen mother,depicts,depicts
15,Commemorative head of a queen mother,depicts,depicts
16,Commemorative head of a queen mother,depicts,depicts
17,Commemorative head of a queen mother,location of creation,location of creation
18,Commemorative head of a queen mother,location of creation,location of creation
19,Commemorative head of a queen mother,depicts,depicts
20,Commemorative head of a queen mother,depicts,depicts
21,Commemorative head of a queen mother,collection,collection
22,Commemorative head of a queen mother,location,location
23,Commemorative head of a queen mother,collection,collection
24,Commemorative head of a queen mother,location,location
25,Commemorative head of a queen mother,fabrication method,fabrication method
26,Commemorative head of a queen mother,fabrication method,fabrication method
27,Commemorative head of a queen mother,instance of,instance of
28,Commemorative head of a queen mother,instance of,instance of
29,Commemorative head of a queen mother,fabrication method,fabrication method
30,Commemorative head of a queen mother,fabrication method,fabrication method
31,Commemorative head of a queen mother,culture,culture
32,Commemorative head of a queen mother,culture,culture
33,Commemorative head of a queen mother,depicts,depicts
34,Commemorative head of a queen mother,depicts,depicts
35,Commemorative head of a queen mother,instance of,instance of
36,Commemorative head of a queen mother,instance of,instance of
37,Commemorative head of a queen mother,depicts,depicts
38,Commemorative head of a queen mother,depicts,depicts
39,Commemorative head of a queen mother,based on,based on
40,Commemorative head of a queen mother,based on,based on
41,Commemorative head of a queen mother,main subject,main subject
42,Commemorative head of a queen mother,main subject,main subject
43,Commemorative head of a queen mother,exhibition history,exhibition history
44,Commemorative head of a queen mother,exhibition history,exhibition history
45,Commemorative head of a queen mother,different from,different from
46,Commemorative head of a queen mother,different from,different from
