id,itemLabel,Source,Target
1,Commemorative head of a queen mother,Dahlem,iron
2,Commemorative head of a queen mother,Bode-Museum,iron
3,Commemorative head of a queen mother,Dahlem,glass
4,Commemorative head of a queen mother,Bode-Museum,glass
5,Commemorative head of a queen mother,Dahlem,bronze
6,Commemorative head of a queen mother,Bode-Museum,bronze
7,Commemorative head of a queen mother,Dahlem,crown
8,Commemorative head of a queen mother,Bode-Museum,crown
9,Commemorative head of a queen mother,Dahlem,Benin Empire
10,Commemorative head of a queen mother,Bode-Museum,Benin Empire
11,Commemorative head of a queen mother,Dahlem,Benin Empire
12,Commemorative head of a queen mother,Bode-Museum,Benin Empire
13,Commemorative head of a queen mother,Dahlem,necklace
14,Commemorative head of a queen mother,Bode-Museum,necklace
15,Commemorative head of a queen mother,Dahlem,necklace
16,Commemorative head of a queen mother,Bode-Museum,necklace
17,Commemorative head of a queen mother,Dahlem,Benin City
18,Commemorative head of a queen mother,Bode-Museum,Benin City
19,Commemorative head of a queen mother,Dahlem,scarification
20,Commemorative head of a queen mother,Bode-Museum,scarification
21,Commemorative head of a queen mother,Dahlem,Ethnological Museum Berlin
22,Commemorative head of a queen mother,Dahlem,Ethnological Museum Berlin
23,Commemorative head of a queen mother,Bode-Museum,Ethnological Museum Berlin
24,Commemorative head of a queen mother,Bode-Museum,Ethnological Museum Berlin
25,Commemorative head of a queen mother,Dahlem,lost-wax casting
26,Commemorative head of a queen mother,Bode-Museum,lost-wax casting
27,Commemorative head of a queen mother,Dahlem,sculpture
28,Commemorative head of a queen mother,Bode-Museum,sculpture
29,Commemorative head of a queen mother,Dahlem,inlay
30,Commemorative head of a queen mother,Bode-Museum,inlay
31,Commemorative head of a queen mother,Dahlem,Edo people
32,Commemorative head of a queen mother,Bode-Museum,Edo people
33,Commemorative head of a queen mother,Dahlem,human head
34,Commemorative head of a queen mother,Bode-Museum,human head
35,Commemorative head of a queen mother,Dahlem,commemorative sculpture
36,Commemorative head of a queen mother,Bode-Museum,commemorative sculpture
37,Commemorative head of a queen mother,Dahlem,queen mother
38,Commemorative head of a queen mother,Bode-Museum,queen mother
39,Commemorative head of a queen mother,Dahlem,Bronze Head of Queen Idia
40,Commemorative head of a queen mother,Bode-Museum,Bronze Head of Queen Idia
41,Commemorative head of a queen mother,Dahlem,Idia
42,Commemorative head of a queen mother,Bode-Museum,Idia
43,Commemorative head of a queen mother,Dahlem,Beyond Compare: Art from Africa in the Bode-Museum
44,Commemorative head of a queen mother,Bode-Museum,Beyond Compare: Art from Africa in the Bode-Museum
45,Commemorative head of a queen mother,Dahlem,Commemorative head of Queen Mother
46,Commemorative head of a queen mother,Bode-Museum,Commemorative head of Queen Mother
