itemLabel,itemImage,valueLabel,edgeLabel
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,scarification,depicts
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,scarification,depicts
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Ethnological Museum Berlin,collection
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Ethnological Museum Berlin,location
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Ethnological Museum Berlin,collection
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,Ethnological Museum Berlin,location
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,lost-wax casting,fabrication method
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,lost-wax casting,fabrication method
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,sculpture,instance of
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,sculpture,instance of
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,inlay,fabrication method
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>,inlay,fabrication method
Commemorative head of a queen mother,<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>,Edo people,culture
