"","token","freq","target","unique","stopword"
"631","complicated",6,"cl",0,0
"3865","complicated",2,"co",0,0
"632","compose",2,"cl",1,0
"633","composition",30,"cl",1,0
"634","comprehensive",2,"cl",1,0
"635","compromised",2,"cl",1,0
"636","compute",2,"cl",1,0
"637","computer",52,"cl",1,0
"638","computers",8,"cl",1,0
"639","con",2,"cl",0,0
"3867","con",1,"co",0,0
"640","conceived",2,"cl",0,0
"3868","conceived",1,"co",0,0
"641","concentrate",2,"cl",1,0
"642","concentrating",2,"cl",1,1
"643","concentration",4,"cl",1,0
"644","concept",2,"cl",0,0
"3869","concept",2,"co",0,0
"645","concepts",2,"cl",0,0
"3870","concepts",3,"co",0,0
"646","conceptual",2,"cl",0,0
"3871","conceptual",1,"co",0,0
"647","conceptualise",2,"cl",1,0
"648","concerned",2,"cl",0,0
"3872","concerned",1,"co",0,0
"649","concerns",2,"cl",1,0
"650","concise",4,"cl",0,0
"3873","concise",2,"co",0,0
"651","concrete",44,"cl",0,0
"3874","concrete",10,"co",0,0
"652","condition",4,"cl",1,0
"653","confident",2,"cl",1,0
"654","confined",4,"cl",1,0
"655","confinement",2,"cl",1,0
"656","confirm",2,"cl",1,0
"657","confused",2,"cl",1,0
"658","connect",4,"cl",0,0
"3877","connect",2,"co",0,0
"659","connected",2,"cl",1,0
"660","connection",4,"cl",0,0
"3878","connection",9,"co",0,0
"661","connections",2,"cl",0,0
"3879","connections",1,"co",0,0
"662","conservation",2,"cl",1,0
"663","consid",2,"cl",1,0
"664","considerably",2,"cl",1,0
"665","constrained",2,"cl",1,0
"666","constraints",4,"cl",0,0
"3889","constraints",1,"co",0,0
"667","contact",2,"cl",1,0
"668","contemporary",2,"cl",1,0
"669","content",12,"cl",1,0
"670","contents",2,"cl",1,0
"671","context",10,"cl",0,1
"3894","context",10,"co",0,0
"672","contexts",2,"cl",0,0
"3895","contexts",1,"co",0,0
"673","continue",4,"cl",1,0
"674","continuously",2,"cl",0,1
"3896","continuously",1,"co",0,1
"675","contrast",2,"cl",0,0
"3897","contrast",1,"co",0,0
"676","contrasted",2,"cl",0,0
"3898","contrasted",1,"co",0,0
"677","contribute",2,"cl",1,1
"678","control",8,"cl",0,0
"3899","control",1,"co",0,0
"679","controlled",2,"cl",1,0
"680","conventions",2,"cl",1,0
"681","conversation",18,"cl",0,0
"3902","conversation",17,"co",0,0
"682","conversational",2,"cl",1,0
"683","cook",4,"cl",1,0
"684","cooked",4,"cl",1,0
"685","cooker",2,"cl",1,1
"686","cooking",10,"cl",1,0
"687","cool",10,"cl",0,0
"3905","cool",4,"co",0,0
"688","Coolpix",2,"cl",1,0
"689","cooperate",2,"cl",1,0
"690","cooperated",4,"cl",1,0
"691","coordinate",8,"cl",1,0
"692","cope",4,"cl",1,0
"693","copied",2,"cl",1,0
"694","copies",4,"cl",1,0
"695","copy",58,"cl",1,0
"696","copying",4,"cl",1,0
"697","corned",2,"cl",1,0
"698","corner",4,"cl",1,0
"699","corny",2,"cl",1,0
"700","corona",2,"cl",1,0
"701","correct",8,"cl",0,0
"3907","correct",3,"co",0,0
"702","corroperated",2,"cl",1,0
"703","corroprerated",2,"cl",1,0
"704","corrupt",6,"cl",1,0
"705","cos",178,"cl",0,0
"3908","cos",40,"co",0,0
"706","cost",4,"cl",1,0
"707","costs",2,"cl",0,0
"3909","costs",1,"co",0,0
"708","could",238,"cl",0,0
"3910","could",70,"co",0,0
"709","coulda",2,"cl",1,0
"710","council",2,"cl",1,0
"711","count",2,"cl",1,0
"712","country",6,"cl",1,0
"713","couple",46,"cl",0,0
"3911","couple",7,"co",0,0
"714","coupled",2,"cl",1,1
"715","course",24,"cl",0,0
"3912","course",1,"co",0,0
"716","courses",12,"cl",1,0
"717","courtesy",2,"cl",1,0
"718","cover",2,"cl",1,0
"719","covered",2,"cl",1,0
"720","covers",2,"cl",1,0
"721","COVID",8,"cl",0,1
"3913","COVID",1,"co",0,0
"722","cow",2,"cl",1,0
"723","CPUs",2,"cl",1,0
"724","cr",6,"cl",0,0
"3914","cr",2,"co",0,0
"725","crab",2,"cl",1,0
"726","crack",4,"cl",1,0
"727","cracker",10,"cl",1,0
"728","crap",8,"cl",1,0
"729","crash",2,"cl",1,0
"730","crave",2,"cl",1,0
"731","crayons",2,"cl",1,0
"732","crazy",6,"cl",0,0
"3916","crazy",1,"co",0,0
"733","create",30,"cl",0,0
"3917","create",9,"co",0,0
"734","created",8,"cl",0,0
"3918","created",7,"co",0,0
"735","creates",4,"cl",1,0
"736","creating",10,"cl",0,0
"3919","creating",6,"co",0,0
"737","creative",272,"cl",0,0
"3920","creative",90,"co",0,0
"738","creatively",28,"cl",0,0
"3921","creatively",7,"co",0,0
"739","creativity",44,"cl",0,0
"3922","creativity",6,"co",0,1
"740","credibility",2,"cl",1,0
"741","cricket",2,"cl",1,0
"742","cries",2,"cl",1,0
"743","crime",6,"cl",1,1
"744","critically",6,"cl",1,0
"745","criticising",2,"cl",1,0
"746","critique",6,"cl",0,0
"3923","critique",3,"co",0,0
"747","critiqued",2,"cl",0,0
"3924","critiqued",1,"co",0,0
"748","crop",6,"cl",1,0
"749","cropping",2,"cl",1,0
"750","crowd",2,"cl",1,0
"751","cry",2,"cl",1,1
"752","crying",12,"cl",1,0
"753","crystal",2,"cl",1,0
"754","Cs",2,"cl",1,1
"755","CSS",14,"cl",1,0
"756","cu",2,"cl",1,0
"757","cultivated",2,"cl",0,0
"3929","cultivated",1,"co",0,0
"758","culture",2,"cl",1,0
"759","cupboard",2,"cl",1,0
"760","curious",2,"cl",0,0
"3930","curious",2,"co",0,1
"761","current",2,"cl",1,0
"762","currently",2,"cl",1,0
"763","Curry",12,"cl",1,0
"764","cut",16,"cl",0,0
"3933","cut",1,"co",0,0
"765","cutting",2,"cl",1,0
"766","cycles",2,"cl",1,0
"767","d",78,"cl",0,0
"3934","d",18,"co",0,0
"768","D",6,"cl",0,0
"3935","D",2,"co",0,0
"769","dabble",4,"cl",1,0
"770","dabbled",2,"cl",1,0
"771","dad",16,"cl",1,0
"772","daily",4,"cl",1,0
"773","damage",2,"cl",1,0
"774","damaged",2,"cl",0,0
"3937","damaged",1,"co",0,0
"775","damaging",2,"cl",0,1
"3938","damaging",1,"co",0,0
"776","damn",8,"cl",1,0
"777","dampers",2,"cl",1,0
"778","danger",2,"cl",1,0
"779","dangerous",10,"cl",1,0
"780","dark",18,"cl",1,0
"781","Darling",4,"cl",1,0
"782","darting",2,"cl",1,0
"783","data",4,"cl",0,0
"3940","data",4,"co",0,0
"784","database",4,"cl",1,0
"785","databases",2,"cl",1,0
"786","daughter",2,"cl",0,0
"3941","daughter",2,"co",0,0
"787","daunting",2,"cl",1,0
"788","day",158,"cl",0,1
"3944","day",21,"co",0,0
"789","days",24,"cl",0,0
"3945","days",2,"co",0,0
"790","dead",8,"cl",1,0
"791","deal",16,"cl",1,0
"792","dealing",4,"cl",1,0
"793","December",4,"cl",1,0
"794","decent",2,"cl",1,0
"795","decide",2,"cl",1,0
"796","decided",8,"cl",0,0
"3947","decided",6,"co",0,0
"797","decreases",2,"cl",1,0
"798","deep",4,"cl",1,0
"799","deeper",6,"cl",1,0
"800","def",14,"cl",1,1
"801","define",2,"cl",1,0
"802","definite",2,"cl",1,0
"803","definitely",120,"cl",0,0
"3949","definitely",21,"co",0,1
"804","definition",2,"cl",0,1
"3950","definition",3,"co",0,0
"805","Defsman",2,"cl",1,0
"806","delete",4,"cl",1,1
"807","delicious",2,"cl",1,1
"808","delivery",2,"cl",1,0
"809","demand",2,"cl",1,0
"810","demanded",2,"cl",1,0
"811","demonstrate",4,"cl",1,0
"812","deny",4,"cl",1,0
"813","depend",4,"cl",0,0
"3956","depend",2,"co",0,0
"814","dependent",2,"cl",0,0
"3957","dependent",1,"co",0,1
"815","depending",4,"cl",0,0
"3958","depending",1,"co",0,0
"816","depends",16,"cl",0,0
"3959","depends",5,"co",0,0
"817","depot",6,"cl",1,0
"818","depressing",2,"cl",1,0
"819","depth",4,"cl",1,0
"820","depths",2,"cl",1,0
"821","describe",4,"cl",0,0
"3963","describe",10,"co",0,0
"822","described",2,"cl",0,0
"3964","described",3,"co",0,0
"823","describing",2,"cl",0,0
"3965","describing",2,"co",0,0
"824","description",4,"cl",0,0
"3966","description",1,"co",0,0
"825","descriptions",2,"cl",0,0
"3967","descriptions",1,"co",0,0
"826","descriptive",4,"cl",0,0
"3968","descriptive",14,"co",0,0
"827","design",36,"cl",1,0
"828","designed",2,"cl",1,0
"829","designers",2,"cl",1,0
"830","designing",2,"cl",1,0
"831","desktop",2,"cl",1,0
"832","desperate",2,"cl",1,0
"833","destroy",4,"cl",1,0
"834","destroyed",2,"cl",1,0
"835","details",6,"cl",1,0
"836","Dettol",2,"cl",1,0
"837","develop",8,"cl",0,0
"3973","develop",2,"co",0,0
"838","developed",4,"cl",1,0
"839","development",2,"cl",0,0
"3974","development",1,"co",0,0
"840","Development",2,"cl",1,0
"841","device",2,"cl",1,0
"842","devices",4,"cl",1,0
"843","devil",12,"cl",1,0
"844","diagno",2,"cl",1,0
"845","diagnosed",8,"cl",0,0
"3976","diagnosed",1,"co",0,0
"846","diagnosis",2,"cl",1,0
"847","dial",4,"cl",1,0
"848","dialogue",2,"cl",0,0
"3977","dialogue",1,"co",0,0
"849","dic",2,"cl",0,0
"3981","dic",1,"co",0,0
"850","dichotomy",2,"cl",1,0
"851","Dick",2,"cl",1,0
"852","dictates",2,"cl",0,0
"3982","dictates",1,"co",0,0
"853","did",174,"cl",0,0
"3984","did",65,"co",0,0
"854","die",14,"cl",1,0
"855","died",8,"cl",1,0
"856","dies",4,"cl",1,0
"857","difference",14,"cl",1,0
"858","differences",8,"cl",0,0
"3986","differences",2,"co",0,0
"859","different",134,"cl",0,0
"3987","different",56,"co",0,0
"860","difficult",90,"cl",0,0
"3990","difficult",9,"co",0,0
"861","difficulties",6,"cl",1,0
"862","difficulty",4,"cl",1,0
"863","dig",4,"cl",1,0
"864","digital",20,"cl",1,0
"865","direct",2,"cl",0,0
"3993","direct",1,"co",0,0
"866","direction",2,"cl",1,0
"867","directly",2,"cl",0,0
"3994","directly",2,"co",0,0
"868","dirt",4,"cl",1,0
"869","disappeared",4,"cl",1,0
"870","disappointed",2,"cl",0,0
"3996","disappointed",1,"co",0,0
"871","discipline",4,"cl",0,0
"3997","discipline",2,"co",0,0
"872","discussion",2,"cl",1,0
"873","disease",2,"cl",1,0
"874","disjointed",2,"cl",1,0
"875","disp",2,"cl",1,0
"876","display",10,"cl",1,0
"877","displays",2,"cl",1,0
"878","dispute",2,"cl",1,0
"879","distinction",4,"cl",1,1
"880","distracted",6,"cl",1,0
"881","distracting",2,"cl",1,0
"882","distressed",2,"cl",1,1
"883","distributing",2,"cl",1,1
"884","disturbing",2,"cl",1,0
"885","DIV",4,"cl",1,0
"886","diverse",2,"cl",1,0
"887","divide",10,"cl",1,0
"888","divided",8,"cl",1,0
"889","divider",2,"cl",1,0
"890","dividers",2,"cl",1,0
"891","DIVs",10,"cl",1,0
"892","do",1390,"cl",0,0
"4006","do",250,"co",0,0
"893","docks",6,"cl",1,0
"894","doctor",14,"cl",1,0
"895","doctors",4,"cl",1,0
"896","documentarian",2,"cl",0,0
"4008","documentarian",1,"co",0,0
"897","does",142,"cl",0,0
"4009","does",55,"co",0,0
"898","doing",150,"cl",0,0
"4011","doing",33,"co",0,0
"899","domain",2,"cl",1,0
"900","domestic",2,"cl",1,0
"901","don",2,"cl",1,0
"902","dondon",2,"cl",1,0
"903","done",84,"cl",0,0
"4015","done",15,"co",0,0
"904","donkey",2,"cl",1,1
"905","Donkey",2,"cl",1,0
"906","doodling",2,"cl",1,0
"907","doors",2,"cl",1,0
"908","dot",12,"cl",1,0
"909","dots",2,"cl",1,0
"910","double",4,"cl",0,0
"4017","double",3,"co",0,1
"911","doubt",2,"cl",0,0
"4018","doubt",1,"co",0,0
"912","doubting",2,"cl",1,0
"913","down",100,"cl",0,0
"4019","down",14,"co",0,0
"914","Down",2,"cl",1,0
"915","download",12,"cl",1,0
"916","downloaded",2,"cl",1,0
"917","dozens",2,"cl",1,0
"918","dr",6,"cl",1,0
"919","drag",2,"cl",1,0
"920","Drake",2,"cl",1,0
"921","drama",2,"cl",1,0
"922","draw",8,"cl",0,0
"4020","draw",1,"co",0,0
"923","drawing",14,"cl",0,0
"4021","drawing",2,"co",0,0
"924","draws",2,"cl",1,0
"925","dream",4,"cl",1,0
"926","Dreamweaver",2,"cl",1,0
"927","dress",12,"cl",1,0
"928","drew",4,"cl",0,0
"4024","drew",1,"co",0,0
"929","drift",2,"cl",1,0
"930","drink",10,"cl",0,0
"4026","drink",3,"co",0,0
"931","drinking",8,"cl",1,0
"932","drinks",2,"cl",1,1
"933","drive",8,"cl",1,0
"934","driven",8,"cl",1,0
"935","driver",2,"cl",1,0
"936","drives",2,"cl",1,0
"937","driving",6,"cl",0,0
"4027","driving",1,"co",0,0
"938","drop",4,"cl",1,0
"939","dropped",6,"cl",0,0
"4028","dropped",1,"co",0,0
"940","drug",4,"cl",1,1
"941","drugs",8,"cl",1,0
"942","dry",2,"cl",0,0
"4029","dry",2,"co",0,0
"943","DS",2,"cl",1,0
"944","DSLR",2,"cl",1,0
"945","du",18,"cl",0,1
"4030","du",5,"co",0,0
"946","dun",8,"cl",0,0
"4032","dun",2,"co",0,0
"947","dunno",62,"cl",0,0
"4033","dunno",17,"co",0,1
"948","during",12,"cl",0,0
"4034","during",2,"co",0,0
"949","dwell",2,"cl",0,0
"4035","dwell",1,"co",0,0
"950","dynamic",2,"cl",1,0
"951","dyslexic",2,"cl",1,0
"952","e",16,"cl",0,0
"4038","e",1,"co",0,0
"953","E",16,"cl",0,0
"4039","E",3,"co",0,0
"954","e-mail",10,"cl",1,0
"955","ea",2,"cl",1,0
"956","each",46,"cl",0,0
"4041","each",7,"co",0,0
"957","ear",8,"cl",1,0
"958","earlier",4,"cl",1,0
"959","earn",4,"cl",1,0
"960","earphones",4,"cl",1,0
"961","eas",2,"cl",1,0
"962","ease",2,"cl",1,0
"963","easier",14,"cl",0,0
"4045","easier",6,"co",0,0
"964","easily",4,"cl",0,0
"4047","easily",4,"co",0,0
"965","Eastenders",2,"cl",1,0
"966","easy",18,"cl",0,1
"4049","easy",3,"co",0,1
"967","eat",4,"cl",0,0
"4050","eat",1,"co",0,0
"968","eating",6,"cl",1,0
"969","Eclipse",6,"cl",1,0
"970","edge",2,"cl",0,0
"4052","edge",26,"co",0,1
"971","edged",2,"cl",0,0
"4053","edged",1,"co",0,0
"972","edit",6,"cl",0,0
"4055","edit",2,"co",0,0
"973","educated",10,"cl",1,0
"974","education",2,"cl",1,0
"975","ee",4,"cl",1,0
"976","effect",6,"cl",0,0
"4058","effect",1,"co",0,0
"977","effects",6,"cl",1,1
"978","effort",2,"cl",0,0
"4060","effort",1,"co",0,0
"979","egg",2,"cl",1,0
"980","eggshells",2,"cl",1,0
"981","eh",6,"cl",1,0
"982","ei",2,"cl",1,0
"983","eight",4,"cl",1,0
"984","eighteen",14,"cl",1,0
"985","eighties",6,"cl",1,0
"986","eighty",4,"cl",1,0
"987","either",24,"cl",0,0
"4061","either",11,"co",0,0
"988","el",2,"cl",1,0
"989","elaborate",2,"cl",1,0
"990","elderly",2,"cl",0,0
"4062","elderly",2,"co",0,0
"991","electric",2,"cl",1,0
"992","electrical",2,"cl",1,0
"993","electron",2,"cl",1,0
"994","elegance",2,"cl",1,0
"995","element",4,"cl",0,0
"4063","element",2,"co",0,0
"996","elements",2,"cl",0,0
"4064","elements",2,"co",0,0
"997","eleven",10,"cl",0,0
"4065","eleven",2,"co",0,0
"998","Eliot",2,"cl",1,0
"999","Ellot",2,"cl",1,0
"1000","else",66,"cl",0,0
"4066","else",14,"co",0,0
"1001","em",32,"cl",0,0
"4067","em",1,"co",0,1
"1002","Eminem",2,"cl",1,0
"1003","emotional",4,"cl",1,0
"1004","emotions",4,"cl",0,0
"4071","emotions",5,"co",0,0
"1005","emphasis",4,"cl",0,0
"4072","emphasis",3,"co",0,0
"1006","emphasise",2,"cl",1,0
"1007","emphasised",2,"cl",0,0
"4073","emphasised",1,"co",0,0
"1008","empty",6,"cl",1,0
"1009","emulsion",2,"cl",1,1
"1010","end",52,"cl",0,0
"4074","end",9,"co",0,0
"1011","ended",2,"cl",1,0
"1012","ending",2,"cl",0,0
"4076","ending",1,"co",0,0
"1013","ends",2,"cl",1,0
"1014","energetic",2,"cl",1,0
"1015","energy",4,"cl",1,1
"1016","England",8,"cl",1,0
"1017","English",24,"cl",0,0
"4080","English",4,"co",0,0
"1018","Englishman",2,"cl",1,0
"1019","enjoy",20,"cl",0,0
"4081","enjoy",2,"co",0,0
"1020","enjoyable",2,"cl",0,0
"4082","enjoyable",2,"co",0,0
"1021","enjoyed",6,"cl",0,0
"4083","enjoyed",3,"co",0,0
"1022","enjoying",2,"cl",1,0
"1023","enlarged",2,"cl",1,0
"1024","enlarger",2,"cl",1,0
"1025","enor",2,"cl",1,0
"1026","enormously",2,"cl",1,0
"1027","enough",14,"cl",0,0
"4084","enough",5,"co",0,0
"1028","ensures",2,"cl",0,0
"4086","ensures",1,"co",0,0
"1029","entendre",2,"cl",1,0
"1030","enter",2,"cl",1,0
"1031","entered",2,"cl",1,0
"1032","entire",12,"cl",0,0
"4087","entire",1,"co",0,0
"1033","entity",2,"cl",1,0
"1034","entrant",2,"cl",1,0
"1035","entrants",2,"cl",1,0
"1036","env",2,"cl",1,0
"1037","envious",4,"cl",1,0
"1038","environment",8,"cl",1,0
"1039","envy",4,"cl",1,0
"1040","episode",2,"cl",0,0
"4088","episode",1,"co",0,0
"1041","equal",4,"cl",1,0
"1042","equipment",4,"cl",1,0
"1043","er",1992,"cl",0,0
"4089","er",217,"co",0,0
"1044","erm",3078,"cl",0,0
"4090","erm",405,"co",0,0
"1045","erotic",2,"cl",1,0
"1046","erratic",4,"cl",1,0
"1047","error",6,"cl",1,0
"1048","errors",4,"cl",1,0
"1049","especially",28,"cl",0,0
"4091","especially",14,"co",0,0
"1050","essay",2,"cl",1,0
"1051","essential",2,"cl",1,0
"1052","etcetera",2,"cl",1,0
"1053","ev",6,"cl",1,0
"1054","evaluate",4,"cl",1,0
"1055","evaluation",2,"cl",1,0
"1056","evaluative",4,"cl",1,0
"1057","Eve",2,"cl",1,0
"1058","even",70,"cl",0,0
"4095","even",23,"co",0,0
"1059","evening",2,"cl",1,1
"1060","evenings",4,"cl",1,0
"1061","event",4,"cl",1,0
"1062","ever",14,"cl",0,0
"4097","ever",4,"co",0,0
"1063","every",98,"cl",0,0
"4098","every",11,"co",0,0
"1064","everybody",34,"cl",0,0
"4099","everybody",3,"co",0,0
"1065","everyday",2,"cl",1,0
"1066","everyone",8,"cl",0,0
"4100","everyone",4,"co",0,0
"1067","everything",86,"cl",0,0
"4101","everything",14,"co",0,0
"1068","ex",8,"cl",1,0
"1069","exactly",28,"cl",0,0
"4104","exactly",7,"co",0,0
"1070","exam",2,"cl",1,0
"1071","example",18,"cl",0,0
"4105","example",11,"co",0,0
"1072","examples",8,"cl",0,0
"4106","examples",1,"co",0,0
"1073","excalate",2,"cl",1,1
"1074","Excel",6,"cl",1,0
"1075","excellent",2,"cl",1,0
"1076","except",8,"cl",1,1
"1077","execution",2,"cl",1,0
"1078","exercise",2,"cl",1,0
"1079","exercising",2,"cl",1,1
"1080","existence",2,"cl",1,0
"1081","existing",4,"cl",0,0
"4108","existing",2,"co",0,0
"1082","exists",2,"cl",1,0
"1083","exp",2,"cl",1,0
"1084","expect",8,"cl",0,0
"4111","expect",2,"co",0,0
"1085","expending",2,"cl",1,0
"1086","expense",2,"cl",1,0
"1087","expensive",8,"cl",1,0
"1088","expensivest",2,"cl",1,0
"1089","experience",20,"cl",0,0
"4114","experience",6,"co",0,0
"1090","experienced",2,"cl",1,0
"1091","experiment",4,"cl",0,0
"4117","experiment",10,"co",0,0
"1092","experimental",2,"cl",1,1
"1093","expert",2,"cl",1,1
"1094","explain",8,"cl",0,0
"4119","explain",1,"co",0,0
"1095","explained",2,"cl",1,0
"1096","explaining",6,"cl",1,0
"1097","exploration",2,"cl",1,0
"1098","exploratory",2,"cl",1,0
"1099","explore",10,"cl",0,0
"4120","explore",3,"co",0,1
"1100","exploring",2,"cl",0,0
"4121","exploring",1,"co",0,0
"1101","exposed",2,"cl",1,0
"1102","exposure",4,"cl",1,0
"1103","express",20,"cl",0,1
"4122","express",2,"co",0,0
"1104","expressing",8,"cl",0,0
"4123","expressing",3,"co",0,0
"1105","expression",10,"cl",0,0
"4124","expression",2,"co",0,0
"1106","expressive",8,"cl",1,0
"1107","extensive",2,"cl",0,0
"4125","extensive",1,"co",0,0
"1108","extent",6,"cl",0,0
"4126","extent",2,"co",0,0
"1109","extraordinary",2,"cl",1,0
"1110","ey",2,"cl",1,0
"1111","eye",2,"cl",0,0
"4130","eye",2,"co",0,0
"1112","eyes",8,"cl",1,0
"1113","f",60,"cl",0,0
"4131","f",13,"co",0,0
"1114","F",2,"cl",1,0
"1115","face",24,"cl",1,0
"1116","Facebook",2,"cl",1,0
"1117","faced",2,"cl",1,0
"1118","faces",2,"cl",1,0
"1119","facilitation",2,"cl",1,0
"1120","facility",4,"cl",1,0
"1121","facing",4,"cl",1,0
"1122","fact",14,"cl",0,0
"4132","fact",1,"co",0,0
"1123","facts",12,"cl",0,0
"4133","facts",5,"co",0,0
"1124","factual",4,"cl",0,0
"4134","factual",2,"co",0,0
"1125","fade",14,"cl",1,0
"1126","fair",32,"cl",0,0
"4135","fair",1,"co",0,1
"1127","fairly",2,"cl",1,0
"1128","fall",4,"cl",0,0
"4136","fall",1,"co",0,0
"1129","fam",2,"cl",1,0
"1130","familiar",4,"cl",0,0
"4138","familiar",3,"co",0,0
"1131","families",2,"cl",1,0
"1132","family",34,"cl",0,0
"4139","family",9,"co",0,0
"1133","famous",6,"cl",0,0
"4140","famous",1,"co",0,1
"1134","fan",12,"cl",1,0
"1135","fancy",2,"cl",1,0
"1136","fantastic",2,"cl",1,1
"1137","fantasy",2,"cl",1,0
"1138","far",10,"cl",0,0
"4141","far",6,"co",0,0
"1139","fare",2,"cl",1,0
"1140","fascinated",2,"cl",0,0
"4142","fascinated",2,"co",0,0
"1141","fashioned",2,"cl",1,0
"1142","fast",2,"cl",1,0
"1143","fat",2,"cl",1,0
"1144","fate",2,"cl",1,1
"1145","fath",2,"cl",1,0
"1146","father",6,"cl",0,0
"4144","father",1,"co",0,0
"1147","Father",2,"cl",1,0
"1148","fathom",2,"cl",1,0
"1149","fau",2,"cl",1,0
"1150","fault",8,"cl",1,0
"1151","favourite",10,"cl",0,0
"4145","favourite",1,"co",0,0
"1152","FAW",2,"cl",1,0
"1153","fear",6,"cl",0,0
"4146","fear",2,"co",0,0
"1154","feed",2,"cl",1,0
"1155","feel",102,"cl",0,0
"4148","feel",23,"co",0,0
"1156","feeling",66,"cl",0,0
"4149","feeling",17,"co",0,0
"1157","feelings",66,"cl",0,0
"4150","feelings",3,"co",0,0
"1158","feels",6,"cl",0,0
"4151","feels",2,"co",0,1
"1159","fell",4,"cl",1,0
"1160","fellow",4,"cl",1,0
"1161","felt",26,"cl",0,0
"4152","felt",37,"co",0,0
"1162","fertile",2,"cl",1,0
"1163","few",30,"cl",0,0
"4154","few",14,"co",0,0
"1164","fiction",6,"cl",0,0
"4155","fiction",3,"co",0,0
"1165","fif",4,"cl",1,0
"1166","fifteen",4,"cl",1,0
"1167","fifty",24,"cl",1,0
"1168","fighting",2,"cl",1,0
"1169","fighty",2,"cl",1,0
"1170","figures",2,"cl",0,0
"4157","figures",1,"co",0,0
"1171","fil",2,"cl",1,0
"1172","file",16,"cl",1,0
"1173","files",12,"cl",1,0
"1174","fill",2,"cl",0,0
"4158","fill",1,"co",0,0
"1175","fillip",2,"cl",1,0
"1176","film",20,"cl",0,0
"4159","film",1,"co",0,0
"1177","films",6,"cl",1,0
"1178","filter",6,"cl",1,0
"1179","fin",2,"cl",1,0
"1180","find",92,"cl",0,0
"4160","find",40,"co",0,0
"1181","finding",8,"cl",0,0
"4161","finding",7,"co",0,0
"1182","fine",24,"cl",0,0
"4162","fine",9,"co",0,0
"1183","fined",2,"cl",1,0
"1184","finger",2,"cl",1,0
"1185","fingernail",2,"cl",1,0
"1186","finish",4,"cl",1,0
"1187","finished",6,"cl",0,0
"4163","finished",2,"co",0,0
"1188","finishing",4,"cl",1,0
"1189","fire",2,"cl",0,0
"4165","fire",2,"co",0,0
"1190","fired",2,"cl",1,0
"1191","fireplace",2,"cl",1,0
"1192","fires",4,"cl",1,0
"1193","first",78,"cl",0,0
"4167","first",21,"co",0,0
"1194","fish",38,"cl",1,0
"1195","fished",4,"cl",1,0
"1196","fishing",48,"cl",1,0
"1197","fit",4,"cl",0,0
"4168","fit",9,"co",0,0
"1198","fits",2,"cl",0,0
"4169","fits",3,"co",0,0
"1199","fitted",2,"cl",1,0
"1200","five",44,"cl",0,0
"4170","five",9,"co",0,0
"1201","fix",4,"cl",0,0
"4171","fix",1,"co",0,0
"1202","fixed",6,"cl",0,0
"4172","fixed",1,"co",0,0
"1203","flame",4,"cl",1,0
"1204","flash",2,"cl",1,0
"1205","flat",6,"cl",1,0
"1206","flea",2,"cl",1,0
"1207","flies",2,"cl",1,0
"1208","flight",4,"cl",1,0
"1209","flirting",2,"cl",1,0
"1210","float",2,"cl",0,0
"4176","float",1,"co",0,0
"1211","floor",2,"cl",1,0
"1212","Florence",2,"cl",1,0
"1213","florid",4,"cl",0,0
"4177","florid",3,"co",0,0
"1214","flow",2,"cl",0,0
"4179","flow",3,"co",0,0
"1215","flowers",6,"cl",1,0
"1216","flows",2,"cl",1,0
"1217","Flows",2,"cl",1,0
"1218","fluid",12,"cl",0,0
"4181","fluid",3,"co",0,0
"1219","focus",12,"cl",0,1
"4183","focus",3,"co",0,0
"1220","focused",4,"cl",1,0
"1221","focusing",10,"cl",0,0
"4184","focusing",1,"co",0,0
"1222","folder",4,"cl",0,0
"4186","folder",1,"co",0,0
"1223","follow",14,"cl",0,0
"4187","follow",3,"co",0,0
"1224","food",28,"cl",1,0
"1225","fool",10,"cl",1,0
"1226","foolish",2,"cl",1,0
"1227","football",10,"cl",1,0
"1228","for",610,"cl",0,0
"4189","for",126,"co",0,0
"1229","forced",2,"cl",0,0
"4190","forced",1,"co",0,1
"1230","forest",2,"cl",1,0
"1231","forever",2,"cl",1,0
"1232","forget",2,"cl",0,0
"4191","forget",2,"co",0,0
"1233","forgotten",2,"cl",1,0
"1234","form",16,"cl",0,1
"4192","form",3,"co",0,0
"1235","formal",8,"cl",0,0
"4193","formal",2,"co",0,1
"1236","format",6,"cl",1,1
"1237","formatting",2,"cl",1,0
"1238","former",4,"cl",0,0
"4195","former",1,"co",0,0
"1239","forms",16,"cl",0,0
"4196","forms",3,"co",0,0
"1240","Formula",2,"cl",1,0
"1241","forth",4,"cl",0,0
"4197","forth",1,"co",0,0
"1242","fortnight",2,"cl",1,0
"1243","fortunately",2,"cl",1,0
"1244","forty",18,"cl",1,0
"1245","forums",2,"cl",1,0
"1246","forward",2,"cl",0,0
"4198","forward",1,"co",0,0
"1247","found",10,"cl",0,0
"4200","found",28,"co",0,0
"1248","founders",2,"cl",1,0
"1249","four",40,"cl",0,0
"4201","four",2,"co",0,0
"1250","fourteen",2,"cl",1,0
"1251","fr",2,"cl",1,0
"1252","frame",14,"cl",1,0
"1253","framework",8,"cl",0,0
"4203","framework",1,"co",0,0
"1254","frameworks",4,"cl",1,0
"1255","fraud",2,"cl",1,0
"1256","freak",4,"cl",1,0
"1257","freaky",2,"cl",1,0
"1258","Freddie",2,"cl",1,0
"1259","free",40,"cl",0,0
"4204","free",1,"co",0,0
