"","token","freq","target","unique","stopword"
"3576","actually",31,"co",0,0
"51","Adam",2,"cl",1,0
"52","adapts",2,"cl",1,0
"53","add",4,"cl",0,0
"3578","add",1,"co",0,0
"54","adding",2,"cl",1,1
"55","address",8,"cl",1,0
"56","ADHD",2,"cl",1,1
"57","adjectives",2,"cl",0,1
"3581","adjectives",17,"co",0,1
"58","adjust",2,"cl",1,0
"59","admire",2,"cl",1,0
"60","admit",2,"cl",1,0
"61","Adobe",4,"cl",1,0
"62","adult",6,"cl",0,0
"3582","adult",3,"co",0,0
"63","advantage",16,"cl",1,0
"64","adventure",2,"cl",1,0
"65","advice",4,"cl",1,0
"66","advise",2,"cl",1,0
"67","af",4,"cl",1,0
"68","aff",2,"cl",1,0
"69","affairs",2,"cl",1,0
"70","affec",2,"cl",1,0
"71","affect",2,"cl",0,0
"3584","affect",4,"co",0,0
"72","affecting",6,"cl",0,0
"3586","affecting",1,"co",0,1
"73","affection",2,"cl",1,0
"74","affects",2,"cl",0,0
"3587","affects",1,"co",0,0
"75","afraid",4,"cl",1,0
"76","Africa",2,"cl",1,1
"77","after",30,"cl",0,1
"3588","after",9,"co",0,1
"78","afternoons",2,"cl",1,1
"79","afterwards",6,"cl",0,0
"3589","afterwards",3,"co",0,1
"80","again",98,"cl",0,0
"3590","again",15,"co",0,0
"81","against",8,"cl",0,1
"3591","against",2,"co",0,0
"82","age",26,"cl",1,1
"83","aggregate",4,"cl",1,0
"84","ago",44,"cl",0,1
"3594","ago",5,"co",0,0
"85","agree",6,"cl",0,0
"3595","agree",2,"co",0,0
"86","ah",136,"cl",0,0
"3597","ah",32,"co",0,0
"87","ahead",6,"cl",1,0
"88","ai",22,"cl",1,0
"89","AI",4,"cl",0,1
"3598","AI",2,"co",0,0
"90","aimed",2,"cl",1,1
"91","aint",4,"cl",1,0
"92","air",16,"cl",1,0
"93","al",10,"cl",1,0
"94","algorithm",2,"cl",1,0
"95","Alice",2,"cl",1,0
"96","aligned",6,"cl",1,0
"97","aligning",2,"cl",1,1
"98","alive",2,"cl",1,0
"99","all",404,"cl",0,0
"3600","all",53,"co",0,0
"100","allergic",4,"cl",1,0
"101","allotment",2,"cl",1,0
"102","allow",8,"cl",1,0
"103","allowed",4,"cl",0,0
"3601","allowed",1,"co",0,0
"104","almost",18,"cl",0,0
"3604","almost",21,"co",0,0
"105","alone",8,"cl",0,1
"3605","alone",1,"co",0,0
"106","along",10,"cl",0,0
"3606","along",11,"co",0,0
"107","already",6,"cl",0,0
"3607","already",6,"co",0,0
