adj,noun,mineral
ander,Fisch|Fischen,0
ander,Wesen,0
ander,Gestalt,0
ander,Kristallausbildung,0
ander,Impuls,0
ander,Wiederkehr,0
ander,Eintritt,0
ander,Leben,0
ander,Schrift,0
andersartig,Firmament,0
anfänglich,Sigillographie,0
anfänglich,Formenvorrat,0
anfänglich,Bewunderung,0
angeblich,Modell,0
angeblich,Nachbildung,0
angeblich,Stein,0
angeblich,Gauklertrick,0
angeblich,Datum,0
angeblich,Faksimil,0
angeblich,Auge,0
angemaßte,Ausdruck,0
angemaßte,posthum,0
angemaßte,bedeutung,0
angereichern,Aufbau,0
angereichern,Skelettsubstanz,0
angereichern,Siliziumoxid,0
angeschliffen,Stein,0
angeschliffen,Fläche,0
angeschliffen,Momentaufnahmen,0
angesiedelt,Männchen,0
angriffslustig,Kante,0
ängstlich,Antenne,0
ängstlich,Palp,0
anonym,Saft,0
anonym,Fieber,0
anonym,Anstifter,0
anonym,Tumulten,0
anrührend,Faltung,0
anrührend,Stein,0
anrührend,Quctschung,0
anrührend,Gestalt,0
anrührend,Ubergang,0
anrührend,Weiß,0
anspruchsvoll,Gelehrsamkeit,0
anspruchsvoll,Trugbild,0
ansteckend,Fieber,0
ansteckend,Anstifter,0
ansteckend,Tumulten,0
antik,Festigkeit,0
antik,Materie,0
antik,Roheit,0
antik,Durchsichtigkeit,0
antik,Akteur,0
antik,Drama,0
antik,Zitat,0
antik,Bruchstück,0
antik,Bewegung,0
antik,Welle,0
antik,Gewände,0
antik,Hauptfest,0
antik,Athener,0
antik,Ehre|Ehren,0
anzudeut,Himmel,0
anzudeut,Erde,0
anzudeut,Welt,0
anzuzeig,Dreieck,0
anzuzeig,Flechtwerk,0
anzuzeig,Gat,0
äonenalt,Flattern,0
äonenalt,Verhärtung,0
äonenalt,Zeitraum,0
är,Maler,0
är,Körper,0
arktisch,Garten,0
armselig,Täuschung,0
armselig,Analogie,0
asch,Vliese,0
asch,Vegetation,0
aschfarben,Tüpfelung,0
aschfarben,Unsterblichkeit,0
asphaltfarben,Reservat,0
asphaltfarben,Schichten,0
auberirdisch,Decke|Decken,0
auberirdisch,Treppe,0
auberirdisch,Besucher,0
Aufd,Geist,0
Aufd,Seide,0
Aufd,Flecken,0
aufein,Rand,0
aufein,Drittel,0
aufein,Länge,0
aufein,Abbild,0
aufeinanderfolgend,Röhre,0
aufeinanderfolgend,Radiusvektor,0
aufeinanderfolgend,Ring,0
aufeinanderfolgend,Kraft,0
aufeinanderfolgend,Schädeldachs,0
aufeinanderfolgend,Abschnitt,0
aufeinanderfolgend,Ammonit,0
aufeinanderfolgend,Teig,0
aufeinanderfolgend,Schichten,0
auffeierlich,Saum,0
auffeierlich,Traueranzeige,0
auffeierlich,Stoff,0
auffeierlich,Mineral,0
aufg,Letter,0
