uxpos,qpos,mineral
folgend,Stein,TRUE
fühllos,Stein,TRUE
gänglich,Kieselgestein,TRUE
ganz,Kristall,TRUE
ganz,Mineral,TRUE
ge,Kristall,TRUE
gebänderter,Achat,TRUE
gefärbt,Achat,TRUE
gegangen,Verstein,TRUE
gelbar,Stein,TRUE
gelöst,Salz,TRUE
genau,Edelstein,TRUE
ger,Ergußgestein,TRUE
gerade,Kristall,TRUE
geradlinig,Mineral,TRUE
gering,Mineral,TRUE
geringelt,Radiolarie,TRUE
geronnen,Kristall,TRUE
geschlossen,Mineral,TRUE
gestaucht,Kristall,TRUE
gewöhnlich,Kristall,TRUE
gewöhnlich,Kristall,TRUE
gierig,Salz,TRUE
glasartig,Kristall,TRUE
gleichgültig,Mineral,TRUE
glücklich,Stein,TRUE
grenzenlos,Mineral,TRUE
groß,Siliziumoxid,TRUE
Gutdünk,Edelstein,TRUE
halbkuglig,Achat,TRUE
hart,Kristall,TRUE
hell,Stein,TRUE
hoch,Achat,TRUE
hochentwickelt,Kristall,TRUE
identische,Kristall,TRUE
ien,Stein,TRUE
inner,Stein,TRUE
int,Hämatit,TRUE
klapp,Stein,TRUE
klein,Stein,TRUE
klein,Diatomee,TRUE
klein,Stein,TRUE
kommend,Kalzit,TRUE
korrekt,Kalzit,TRUE
korrekt,Kalzit,TRUE
kriechend,Stein,TRUE
Lädiert,Stein,TRUE
Lädiert,Gestein,TRUE
Lädiert,Stein,TRUE
ländlich,Kalkstein,TRUE
langsam,Quarz,TRUE
Lebendig,Kristall,TRUE
leblos,Kristall,TRUE
leicht,Kristall,TRUE
m,Salz,TRUE
massiv,Baustein,TRUE
mehrfach,Dendrit,TRUE
menschlich,Achat,TRUE
mer,Mineral,TRUE
merwährend,Achat,TRUE
metallisch,Salz,TRUE
mög,Kristall,TRUE
möglich,Jaspis,TRUE
monströs,Stein,TRUE
mühelos,Stein,TRUE
mult,Kristall,TRUE
n,Stein,TRUE
n,Stein,TRUE
nah,Stein,TRUE
nant,Ergußgestein,TRUE
not,Stein,TRUE
offen,Felsgestein,TRUE
offenkundig,Quarz,TRUE
paesin,Landschaftsstein,TRUE
phantastisch,Stein,TRUE
poliert,Achat,TRUE
prächtig,Kristall,TRUE
pur,Achat,TRUE
r,Edelstein,TRUE
rasch,Mineral,TRUE
rechtmäßig,Kalzit,TRUE
rechtwinklig,Kristall,TRUE
rein,Stein,TRUE
rhombo,Quarz,TRUE
riß,Kalk,TRUE
rotem,Eisenglanz,TRUE
rotem,Hämatit,TRUE
rückläufig,Stein,TRUE
runden,Kristall,TRUE
runden,Achat,TRUE
Schicht,Felsgestein,TRUE
schief,Kalzit,TRUE
schief,Kristall,TRUE
schmählich,Stein,TRUE
schnell,Silber,TRUE
schön,Stein,TRUE
schwärz,Kristall,TRUE
Schwebend,Stein,TRUE
schwermütig,Stein,TRUE
ser,Stein,TRUE
sichtigkeit,Kristall,TRUE
sichtigkeit,Quarz,TRUE
sol,Talk,TRUE
sp,Mineral,TRUE
spaltbar,Mineral,TRUE
speziell,Mineral,TRUE
speziell,Bilderstein,TRUE
stachlig,Radiolarie,TRUE
stark,Kristall,TRUE
stisch,Stein,TRUE
strengst,Kristall,TRUE
tallisch,Salz,TRUE
tiefbetrübt,Herz,TRUE
toskanisch,Kalk,TRUE
tot,Stein,TRUE
übereinandergeschichtet,Glimmer,TRUE
übereinanderlegbar,Kristall,TRUE
un,Mineral,TRUE
unaufhörlich,Baustein,TRUE
unausweichlich,Stein,TRUE
unbegreiflich,Herz,TRUE
unbestreitbar,Achat,TRUE
unbewegt,Stein,TRUE
undurchdringlich,Kristall,TRUE
unempfindlich,Stein,TRUE
unendlich,Stein,TRUE
unendlich,Stein,TRUE
unerschütterlich,Stein,TRUE
ungleichmäßig,Salz,TRUE
ungleichmäßig,Stein,TRUE
unmittelbar,Kristall,TRUE
unnachgiebig,Quarz,TRUE
unschmelzbar,Kristall,TRUE
unterschied,Siliziumoxid,TRUE
unterschiedlich,Stein,TRUE
unv,Kieselgestein,TRUE
ursprünglich,Kristall,TRUE
ursprünglich,Stein,TRUE
ursprünglichen,Stein,TRUE
v,Silicitknolle,TRUE
verän,Kristall,TRUE
vergänglich,Salz,TRUE
verirren,Bergkristall,TRUE
verloren,Quarz,TRUE
versehrt,Mineral,TRUE
verwandelnd,Stein,TRUE
verzeichnet,Stein,TRUE
vgl,Rieselgestein,TRUE
vollkomm,Achat,TRUE
vollständig,Kristall,TRUE
voraufgehend,Stein,TRUE
vorstell,Kristall,TRUE
vorwiegend,Mineral,TRUE
wahrscheinlich,Stein,TRUE
Widmannstättensch,Quarz,TRUE
Widmannstättensch,Feuerstein,TRUE
winzig,Achat,TRUE
winzig,Quarz,TRUE
winzig,Orthoklas,TRUE
wunderbar,Stein,TRUE
wundersam,Stein,TRUE
zart,Graphit,TRUE
zerfetzt,Chlorit,TRUE
zerrieben,Stein,TRUE
ziell,Mineral,TRUE
ziell,Eisenglanz,TRUE
zugleich,Quarz,TRUE
