#1|spanned text	#2|spanned text	#3|spanned text	#4|spanned text	count
Haha	jaa	oke	hed	2
sus	alles	okay	?	2
Es	esch	okey	,	2
:D	haha	okay	haha	2
!	emojiQfaceWithStuckOutTongueAndTightlyClosedEyes	okay	.	2
!	emojiQunamusedFace	okay	.	2
machä	,	okay	?	2
?	ahh	oke	:)	2
?	:)	okee	:)	2
?	Ah	okay	,	2
..	^^	okee	:)	2
wenn	das	okay	isch	2
redactedQ2tokens12characters	Hahaha	oki	emojiQfaceSavouringDeliciousFood	1
chunsh	ned	oke	wart	1
?	emojiQgreenHeart	oki	:)	1
emojiQheavyBlackHeart	hahah	oke	gnNNN	1
för	mech	okay	redactedQ6tokens25characters	1
nöd	haha	oke	bro	1
;)	Hahaha	oki	emojiQfaceThrowingAKiss	1
Abr	ish	okay	Git	1
emojiQwinkingFace	Hihi	okee	mediaQremoved	1
redactedQ14tokens74characters	Hahah	oki	Bb	1
coiffeur	!!	okay	denn	1
redactedQ6tokens29characters	Ah	okey	:D	1
dir	passt	oke	ich	1
redactedQ9tokens43characters	Mhh	okey	.	1
isch	das	oke	fr	1
gerade	emojiQspeakNoEvilMonkey	oki	also	1
isch	.	okay	jo	1
15	ab	oki	emojiQtwoHearts	1
redactedQ2tokens9characters	Hahahahha	oki	emojiQheavyBlackHeart	1
sind	!	okay	.	1
?	Hehe	okee	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	1
sind	no	okay	xi	1
meckere	,	okey	?!	1
redactedQ1tokens6characters	Haha	oki	bi	1
sho	achso	oke	Sry	1
redactedQ20tokens97characters	Ah	okey	.	1
wortwörtlich	!	okay	i	1
:))	ah	oki	emojiQokHandSign	1
nomi	?	okay	.	1
noni	:)	okee	en	1
Oder	mensa	okee	Graziella	1
is	horn	oki	brüdeeeer	1
grau-schwarz	hahah	okee	wart	1
hochzitstag	gsi	oke	und	1
keis	haha	okk	nei	1
ahaha	:)	oke	haha	1
shoppi	Ah	okay	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	1
nei	emojiQdisappointedFace	okay	denn	1
ahhj	ojiu	oki	ou	1
emojiQperseveringFace	oh	okee	://	1
fürs	iPad	okay	sie	1
ih	Haha	oke	Ich	1
:D	Isch	oke	wenn	1
*	Haha	okay	wart	1
redactedQ1tokens2characters	Hmm	okee	easy	1
emojiQflushedFace	Haha	okey	Mhm	1
redactedQ29tokens154characters	Ah	okay	,	1
:)	Jehh	oke	cool	1
gern	Hahah	oke	Wenn	1
wennd	willsch	okay	aber	1
ouu	haha	okee	warum	1
redactedQ4tokens19characters	redactedQ2tokens10characters	oki	am	1
emojiQgrinningFaceWithSmilingEyes	hahah	oke	xD	1
zu	shias	oke	wieso	1
isch	meh	okay	...	1
hehe	emojiQokHandSign	oki	bis	1
burito	Its	oke	meme	1
isch	glaub	okay	.	1
isch	glich	okay	...	1
Sondern	nur	okay	;-)	1
emojiQrevolvingHearts	emojiQgrowingHeart	oki	guut	1
jepp	emojiQheavyBlackHeart	oki	emojiQokHandSign	1
hiji	redactedQ18tokens86characters	oki	.	1
Nah	oh	oke	Omg	1
no	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	oke	da	1
redactedQ31tokens129characters	Ahh	okk	...	1
?	ahaaaa	okee	!	1
redactedQ5tokens24characters	Ah	oke	Wär	1
nee	scho	oke	;)	1
ned	sege	oke	den	1
redactedQ37tokens174characters	ahh	okey	emojiQthumbsUpSign	1
erwähnt	hmm	oke	:0	1
in	herisau	okay	.	1
bish	ok	oke	emojiQvictoryHand	1
mediaQremoved	haha	oki	doku	1
überneh	.	okay	?	1
!	Hahha	oke	denn	1
verstande	ah	oke	denn	1
chash	mache	oke	merci	1
Hmm	jaa	okey	ja	1
account	haha	okk	merci	1
redactedQ7tokens28characters	Hmm	okk	redactedQ6tokens24characters	1
isch	ahh	okee	musch	1
hoffs	haha	oke	good	1
emojiQheavyBlackHeart	emojiQkissMark	okey	emojiQfaceWithTearsOfJoy	1
emojiQgrinningFaceWithSmilingEyes	hahha	okay	wart	1
verbi	,	okay	?	1
di	Isch	okay	.	1
privat	bhalte	oke	ja	1
muetter	Nei	oke	Hahah	1
...	Ahh	okk	redactedQ3tokens11characters	1
mag	nümä	okay	.	1
zimmer	.	okey	!	1
auuuu	Hahahah	oki	ich	1
waaasss	????	okay	chostet	1
falsch	?	okay	han	1
da	emojiQsmilingFaceWithOpenMouthAndSmilingEyes	okee	denn	1
