"","x"
"1","Abänderung"
"2","abgeschrieben"
"3","Abklatsch"
"4","Abriß"
"5","abschreiben"
"6","Abschreiben"
"7","Abschreiber"
"8","Abschreibung"
"9","Abschrift"
"10","Abstraktion"
"11","Abwandlung"
"12","Adaption"
"13","ähnlich"
"14","Ähnlichkeit"
"15","Ähnlichkeitsprozent"
"16","Anagramm"
"17","Änderung"
"18","Andeutung"
"19","Aneignung"
"20","Anleihe"
"21","Anmaßung"
"22","Anspielung"
"23","Anteil"
"24","Appropriation"
"25","Arrangement"
"26","Aufbereitung"
"27","Aufgriff"
"28","Aufzählung"
"29","Ausarbeitung"
"30","Ausbeutung"
"31","Auseinandersetzung"
"32","Ausleihe"
"33","Auszug"
"34","Bearbeitung"
"35","Beibehaltung"
"36","Beispiel"
"37","Beispiele"
"38","Beschlagnahmung"
"39","Beschneidung"
"40","Beschönigung"
"41","Beschreibung"
"42","Besitzerwechsel"
"43","Bestandteil"
"44","Betrachtung"
"45","Betrug"
"46","Betrüger"
"47","Bildfälschung"
"48","Bruchteil"
"49","Collage"
"50","Copy/Paste"
"51","Copy&Paste"
"52","Copyscape"
"53","Cover"
"54","Coverversion"
"55","Coverversionen"
"56","Datenmanipulation"
"57","Datenmissbrauch"
"58","Diebesgut"
"59","Diebstahl"
"60","Diebstahls"
"61","Disput"
"62","Disputation"
"63","Doppelschöpfung"
"64","Dreistigkeit"
"65","Duplikat"
"66","Durchsetzung"
"67","echte"
"68","Ehrverletzung"
"69","Eigenart"
"70","Eigenständigkeit"
"71","Eigentum"
"72","Eigentümer"
"73","Eigentums"
"74","Eigentumsbegriff"
"75","Eigentumsdelikt"
"76","Eigentumsrechte"
"77","Einbau"
"78","Einfluß"
"79","Einführung"
"80","Eingang"
"81","Eingriff"
"82","Entlehnung"
"83","Entstellung"
"84","Entwicklung"
"85","Entwurf"
"86","Entziehung"
"87","Entzug"
"88","Epigon"
"89","Epigonalität"
"90","Ersatzfamilie"
"91","Ersatzteil"
"92","Erschaffung"
"93","Erstaufführung"
"94","Erstlingswerk"
"95","Erwiderung"
"96","Erzählung"
"97","Essay"
"98","Exemplar"
"99","Expertise"
"100","Export"
"101","Extraktion"
"102","Exzerpt"
"103","Fabrikation"
"104","Fahrlässigkeit"
"105","Falschaussage"
"106","Fälscher"
"107","Fälschung"
"108","Fanfiction"
"109","Fassade"
"110","Fassung"
"111","Fiktion"
"112","Filesharing"
"113","Firlefanz"
"114","Flodder"
"115","Formel"
"116","Formulierung"
"117","Fortdichtung"
"118","Fortführung"
"119","Fortschritt"
"120","Fortsetzung"
"121","Fraktion"
"122","Freiexemplar"
"123","Freiheit"
"124","Fremdtext"
"125","Fremdwörter"
"126","Fundstelle"
"127","Fußnot"
"128","Fußnote"
"129","Gedanke"
"130","Gedankengut"
"131","Gedicht"
"132","Gegenkritik"
"133","Gegenposition"
"134","Gegensatz"
"135","Gegenstand"
"136","Gegenteil"
"137","Gegenüberstellung"
"138","Geistesgut"
"139","Gemeinsamkeit"
"140","Gesamtfazit"
"141","Geschmacksmuster"
"142","Geschmacksmusterrecht"
"143","Gestalt"
"144","Gestaltung"
"145","Ghostwriter"
"146","Ghostwriting"
"147","Gleichsetzung"
"148","Grammatikfehler"
"149","Gräuel"
"150","Grauzone"
"151","Gutachten"
"152","Hauptwerk"
"153","Hausarbeit"
"154","Herkunft"
"155","Herstellung"
"156","Hilfsmittel"
"157","Hinweis"
"158","Hinzuziehung"
"159","Hybrid"
"160","Hypotext"
"161","Idee"
"162","Ideendiebstahl"
"163","Ideenklau"
"164","Ideenklaus"
"165","Ideenmangel"
"166","Identifikation"
"167","Identifikationsmarker"
"168","identifizieren"
"169","Identifizierung"
"170","Identitäten"
"171","illustriert"
"172","Importeur"
"173","Improvisation"
"174","Inanspruchnahme"
"175","Inhalt"
"176","Innovation"
"177","Inspiration"
"178","Inszenierung"
"179","Interpret"
"180","Interpretation"
"181","Intertext"
"182","Intertextualität"
"183","Irritation"
"184","Japanerin"
"185","Jauche"
"186","Kavaliersdelikt"
"187","Kenntlichmachung"
"188","Kenntnis"
"189","Kennzeichnung"
"190","Kern"
"191","Klaue|Klauen"
"192","Klischee"
"193","Kollaboration"
"194","Kompliment"
"195","Komponente"
"196","Komposition"
"197","Kompositionsprinzip"
"198","Kompositionsstil"
"199","Konkordanz"
"200","Konkurrenz"
"201","Konkurrenzproduktion"
"202","Konkurrenzreihe"
"203","Konstruktion"
"204","Kontext"
"205","Kontinuität"
"206","Kontrafaktur"
