1_id	1_span	1_anno_tok:abbrev	1_anno_tok:gloss	1_anno_tok:mftb_lem	1_anno_tok:mftb_pos	1_anno_tok:pos	1_anno_tok:tt_lem	1_anno_tok:tt_pos	2_id	2_span	2_anno_tok:gloss	2_anno_tok:mftb_lem	2_anno_tok:mftb_pos
8541206	chan	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8541207	okay	'NULL'	'NULL'	'NULL'
8541305	fahree	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8541307	okee	'NULL'	'NULL'	'NULL'
8541741	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8541742	okay	'NULL'	'NULL'	'NULL'
8542351	amahnn	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8542352	okee	'NULL'	'NULL'	'NULL'
8542465	wart	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8542467	okay	'NULL'	'NULL'	'NULL'
8542482	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8542483	okay	'NULL'	'NULL'	'NULL'
8542782	oh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8542783	oke	'NULL'	'NULL'	'NULL'
8542920	wow	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8542921	okay	'NULL'	'NULL'	'NULL'
8543658	oh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8543659	okee	'NULL'	'NULL'	'NULL'
8543669	3.5	'NULL'	3.5	'NULL'	'NULL'	NUM	'NULL'	'NULL'	8543671	okee	'NULL'	'NULL'	'NULL'
8543728	jap	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8543730	okay	'NULL'	'NULL'	'NULL'
8545065	?	'NULL'	?	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8545067	oki	'NULL'	'NULL'	'NULL'
8545080	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8545081	okay	'NULL'	'NULL'	'NULL'
8545096	ahh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8545097	okee	'NULL'	'NULL'	'NULL'
8545536	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8545538	okee	'NULL'	'NULL'	'NULL'
8545645	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8545646	okee	'NULL'	'NULL'	'NULL'
8546694	min	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8546696	okay	'NULL'	'NULL'	'NULL'
