0. :)/:)/EMO pahaha ganz heiss emojiQfaceWithTearsOfJoy/emojiQfaceWithTearsOfJoy/EMOJI [haha] [oke] ;)/;)/EMO hahaha/hahaha/*hahaha/ET hesch eigentlich insta 

1. insta ?/?/PUN ja voll :/:/PUN [[UserName]] [okk] mercii :)/:)/EMO emojiQwinkingFace/emojiQwinkingFace/EMOJI bisch auu 

2. lehrer latschprüefig verlore het emojiQfaceWithTearsOfJoy/emojiQfaceWithTearsOfJoy/EMOJI [hahah] [oke] ;)/;)/EMO du chasch glaubs am 

3. hani früeh golf emojiQgrinningFaceWithSmilingEyes/emojiQgrinningFaceWithSmilingEyes/EMOJI egaal [ah] [okk] haha du au es hobby 

4. de wuche go jogge und [so] [okee] :)/:)/EMO haha toll no 3/3/NUM 

5. schlaafe ://://EMO schlaaf schön ;))/;))/EMO [haha] [oke] guetnacht ;)/;)/EMO heeii :)/:)/EMO heyy 

6. no nett us ../../PUN ;)/;)/EMO [haha] [okee] :)/:)/EMO ich verzehl lieber nix 

7. eppis ztue ha mit ihm [hahahhaha] [oke] emojiQwinkingFace/emojiQwinkingFace/EMOJI emojiQgrinningFaceWithSmilingEyes/emojiQgrinningFaceWithSmilingEyes/EMOJI haha wms ?/?/PUN 

8. andersch ane :))/:))/EMO :)/:)/EMO hahah [ah] [okk] ;))/;))/EMO haha hesch de sylvestre/sylvestre/PNM 

9. ahluege bin im zug mediaQremoved [haha] [okee] :))/:))/EMO mediaQremoved haha erkennsch waser 

10. vosonere partey abghaue ^^/^^/EMO :))/:))/EMO [hahah] [okee] heii :))/:))/EMO helloo ;)/;)/EMO wms 

11. test emojiQgrimacingFace/emojiQgrimacingFace/EMOJI haha neii emojiQgrinningFaceWithSmilingEyes/emojiQgrinningFaceWithSmilingEyes/EMOJI [haha] [okk] :)/:)/EMO haha ow wer hend 

12. raab ?/?/PUN :)/:)/EMO ja voll [:)]/:)/EMO [okee] :))/:))/EMO haha sini zunge isch 

13. esse ://://EMO bis nachher :)/:)/EMO [haha] [okee] en guete was issisch denn 

14. gsi ?/?/PUN :)/:)/EMO haha jaja [:)]/:)/EMO [okee] :)/:)/EMO Wm jetzt ?/?/PUN :))/:))/EMO 

15. au e chlini schwöster haha [ouu] [okee] :))/:))/EMO wie alt ?/?/PUN :)/:)/EMO 

16. het am 12./12./NUM nov./true gha [haha] [okee] :))/:))/EMO dini ?/?/PUN 20./20./NUM 4./4./NUM 

17. dini ?/?/PUN 20./20./NUM 4./4./NUM :))/:))/EMO [haha] [okk] :))/:))/EMO :p/:p/EMO hehe emojiQspeakNoEvilMonkey/emojiQspeakNoEvilMonkey/EMOJI mediaQremoved 

18. schlagdenraab ?/?/PUN :/:/PUN € :)/:)/EMO [haha] [okee] :)/:)/EMO haha nei au nöd 

19. günnt denn zahl ich ser [eppis] [okk] easyy ;)))/;)))/EMO :)/:)/EMO bisch sicher 

20. isch egal welle nimmsch ?/?/PUN [;)]/;)/EMO [okk] denn seget mer mit wiwviel 

21. :)/:)/EMO hahah ja ehm ka [67]/67/NUM [okk] denn 68/68/NUM ;)/;)/EMO hahahh emojiQfaceWithStuckOutTongueAndTightlyClosedEyes/emojiQfaceWithStuckOutTongueAndTightlyClosedEyes/EMOJI 

22. sie ischs so voll ;/;/PUN [ähmm] [okee] ?/?/PUN hahahaa/hahahaa/*hahahaa/ET emojiQfaceWithTearsOfJoy/emojiQfaceWithTearsOfJoy/emojiQfaceWithTearsOfJoy/ET/EMOJI ugh scheiss 

23. ich han ka mit so [sace] [okee] :))/:))/EMO Hesch du am mentig 

24. haha nei warum meinsch ?!/?!/PUN [ahh] [okee] sorry irgendeppert ebbe schoo aber 

25. ?/?/PUN :))/:))/EMO aah ehm ka [..]/../PUN [okee] :)/:)/EMO mediaQremoved Haha hesch gseh 

26. hahahah ja ok ich seg [72]/72/NUM [okk] ;))/;))/EMO viel glück immerno emojiQtwoHearts/emojiQtwoHearts/EMOJI 

27. ja glaub scho ;)/;)/EMO mhmm [://]/:///EMO [okee] hä aber célestine/célestine/PNM gaht ja 

28. ../../PUN ii die 4./4./NUM 13/13/NUM [ouu] [okee] :))/:))/EMO und schomal eppis mit 

29. gesse ,/,/PUN ii de medio [glernt] [okee] viel glück ;))/;))/EMO aber egal 

30. gipfelii oder es cola zero [:)]/:)/EMO [okee] denn ../../PUN :))/:))/EMO aber eig 

31. guet denn am ziestig oder [so] [okk] :))/:))/EMO JULIEN/JULIEN/PNM ISCH SCHEISSEE HAHA 

32. was hesch morn soo ?/?/PUN [haha] [okk] ;)/;)/EMO ehm mathi ,/,/PUN latin 

