#1|spanned text	#2|spanned text	#3|msg_id	#4|msg_id	meta|annis:doc	meta|speakers	count
redactedQ3tokens15characters	oki	1093106	1093107	chat260	2	1
?	oki	372081	372082	chat353	2	1
haaha	okee	312878	312879	chat323	2	1
haha	okay	344474	344475	chat339	3	1
egal	oke	367161	367162	chat353	2	1
redactedQ2tokens8characters	okay	1218758	1218759	chat678	2	1
redactedQ3tokens14characters	okidoki	1093429	1093430	chat260	2	1
redactedQ7tokens31characters	okk	1170697	1170698	chat437	2	1
ahahahha	oke	369852	369853	chat353	2	1
hahah	oke	373612	373613	chat353	2	1
Alright	okay	123579	123580	chat69	2	1
Alright	okay	123756	123757	chat69	2	1
Alright	okay	123758	123759	chat69	2	1
wart	oki	365590	365591	chat353	2	1
redactedQ1tokens2characters	oki	1093915	1093916	chat260	2	1
oko	oki	1094154	1094155	chat261	2	1
redactedQ10tokens49characters	okidoki	1093284	1093285	chat260	2	1
redactedQ9tokens48characters	okay	1216834	1216835	chat678	2	1
emojiQfaceWithTearsOfJoy	oke	312910	312911	chat323	2	1
redactedQ3tokens24characters	okkk	1173514	1173515	chat437	2	1
..	oke	372217	372218	chat353	2	1
redactedQ6tokens26characters	okay	1218456	1218457	chat678	2	1
Si	okay	134086	134087	chat69	2	1
hahahaha	okee	377744	377745	chat353	2	1
7i	oki	910229	910230	chat926	2	1
haha	oke	361364	361365	chat353	2	1
jo	oki	378110	378111	chat353	2	1
ss	oke	362297	362298	chat353	2	1
No	okee	134997	134998	chat69	2	1
ahh	oke	362607	362608	chat353	2	1
ahahhahaha	oke	369587	369588	chat353	2	1
Jo	okay	345478	345479	chat339	3	1
Nei	oke	790927	790928	chat690	2	1
redactedQ4tokens15characters	okay	835544	835545	chat697	2	1
NNN	oke	371162	371163	chat353	2	1
emojiQfaceWithTearsOfJoy	oke	368172	368173	chat353	2	1
redactedQ1tokens2characters	oki	1169703	1169704	chat437	2	1
hmmm	oke	362464	362465	chat353	2	1
gahahah	oke	378080	378081	chat353	2	1
vorne	oke	363331	363332	chat353	2	1
:-)	oke	123940	123941	chat69	2	1
WTF	oke	365880	365881	chat353	2	1
hahahaha	oke	363309	363310	chat353	2	1
redactedQ7tokens35characters	okk	1168944	1168945	chat436	2	1
oke	oke	362298	362299	chat353	2	1
oke	oke	362299	362300	chat353	2	1
ah	oki	379077	379078	chat353	2	1
..	oke	374546	374547	chat353	2	1
iiih	oke	374952	374953	chat353	2	1
redactedQ3tokens13characters	okay	635245	635246	chat577	2	1
jaa	okee	374103	374104	chat353	2	1
redactedQ2tokens10characters	okay	1218726	1218727	chat678	2	1
redactedQ1tokens2characters	okay	835555	835556	chat697	2	1
aahahahahah	okee	363297	363298	chat353	2	1
Alrighty	okay	124325	124326	chat69	2	1
haha	oke	370662	370663	chat353	2	1
redactedQ1tokens2characters	okay	835742	835743	chat697	2	1
