"","x"
"1","Annette von Droste-Hülshoff  Illustrator"
"2","Max Unold  Release"
"3","Peter Becker"
"4","Martin Oswald"
"5","Peter Becker"
"6","Martin Oswald"
"7","Annette von Droste-Hülshoff                    Die Judenbuche"
"8","Max Unold"
"9","Leipzig     Druck der"
"10","Stein   Mag"
"11","Stein"
"12","Reise"
"13","Einwohner von Recht"
"14","Gewohnheit"
"15","Flaschenhals von Zeit"
"16","Mergel Reue"
"17","Der Erfolg"
"18","Der Vater"
"19","Vater"
"20","Der Wind"
"21","Der Rosenkranz"
"22","Der Bruder"
"23","Mark"
"24","Gottes von Werl."
"25","Aaron"
"26","Aaron Geld"
"27","Mann"
"28","Zurücksetzung"
"29","Besuch"
"30","Simon Semmler"
"31","Hecht"
"32","Wege"
"33","Simon"
"34","Simon"
"35","Simon"
"36","Simon"
"37","Simon"
"38","Simon"
"39","Simon"
"40","Zweig von"
"41","Simon"
"42","Simon"
"43","Margret"
"44","Simon"
"45","Simon"
"46","Simon"
"47","Der Knabe"
"48","Holz da"
"49","Simon"
"50","Der Knabe"
"51","Simon"
"52","Der Mond"
"53","Simon"
"54","Simon"
"55","Simon"
"56","Satan"
"57","Wohnungen von Ziegelsteinen"
"58","Der Schein"
"59","Ansehen von Magerkeit"
"60","Der Knabe"
"61","Das Kind"
"62","Gruß von Meister Semmler"
"63","Der Knabe"
"64","Auge"
"65","Der Ruf"
"66","Simon Schweinehirt"
"67","Der Ohm"
"68","Weste von Drillich"
"69","Der Knabe"
"70","Ohm Simon"
"71","Simon"
"72","Simon"
"73","Ohm Simon"
"74","Simon"
"75","Bruder Simon"
"76","Simon"
"77","Der Knabe"
"78","Art Hochachtung"
"79","Friedrich"
"80","Moos"
"81","Bande von Holzfrevlern"
"82","Haufen von Topholz"
"83","Der Schaden"
"84","Stein"
"85","Der Knabe"
"86","Wut"
"87","Der Förster"
"88","Schritte"
"89","Förster"
"90","Teller"
"91","Der Amtsschreiber"
"92","Amtsschreiber"
"93","Weile"
"94","Jahreszeit"
"95","Blick"
"96","Stirn"
"97","Der Förster"
"98","Weges von der Schlucht"
"99","Der Gerichtsschreiber"
"100","Der Gerichtsschreiber"
"101","Sims"
"102","Simon"
"103","Türpfosten da"
"104","Simon"
"105","Der Eindruck"
"106","Simon"
"107","Herbst von 1760"
"108","Wein"
"109","Saiten von Dilettanten"
"110","Gäste von Schweiß"
"111","Schützling"
"112","Der"
"113","Hecht"
"114","Franz Ebel"
"115","Jude Aaron"
"116","Braut"
"117","Jude Aaron"
"118","Betrag"
"119","Herr von S."
"120","Herr von S."
"121","Der Gutsherr"
"122","Herr von S."
"123","Frau von"
"124","Mann"
"125","Jude Aaron"
"126","Aaron"
"127","Aaron"
"128","Der Anklage"
"129","Herr von"
"130","Gespenstergeschichte"
"131","Schrei"
"132","Herr von S."
"133","Der Gutsherr"
"134","Herr von S."
"135","Der Gutsherr"
"136","Der Inhalt"
"137","Mann"
"138","Herr von S."
"139","Schriften"
"140","Herr von S."
"141","Lebenszeichen"
"142","Herr von"
"143","Sie"
"144","Teufel von Delinquenten"
"145","Turm von Heerse"
"146","Zimmer"
"147","Das Haus der Witwe"
"148","Der Gegenstand"
"149","Ihro Gnaden"
"150","Wald"
"151","Der Handel"
"152","Simon"
"153","Kapp"
"154","Ein Mitglied der Schlemmingschen Bande"
"155","Aaron"
"156","Hund"
"157","Esel"
"158","Der Amtsschreiber"
"159","Von"
"160","Der"
"161","Der Mann"
"162","Mann"
"163","Haus"
"164","Der Heimgekehrte"
"165","Mann"
"166","Erinnerungen"
"167","Fleck von Mergels Namen"
"168","Simon"
"169","Simon"
"170","Von"
"171","Frau von"
"172","Von da"
"173","Der Baron"
"174","Holland"
"175","Kaufmann"
"176","Der Gutsherr"
"177","Herr von S."
"178","Herr von S."
"179","Herr von S."
"180","Frau von S."
"181","Frau von S."
"182","Ernst"
"183","Herr von"
"184","Stein"
"185","Ein Kind"
"186","Frau von S."
"187","Der Baron"
"188","Der Gutsherr"
"189","Andenken von Mergel«"
"190","Vogel"
"191","Herr von"
"192","Annette von Droste-Hülshoff"
