Farbe;Dokumentname;Code;Gewicht;Segment;Erstellt von;Erstellt am;Kommentar;Dokumentgruppe;Fläche;Abdeckungsgrad %;Anfang;Ende
●;judenbuche;Axt;0;klar hinein und zeigte, daß hier noch vor kurzem die Axt unbarmherzig;guhl;22.05.24 16:41:02;;;69;0.07;404;404
●;judenbuche;Axt;0;einer Axt gespalten.;guhl;22.05.24 16:41:02;;;20;0.02;863;863
●;judenbuche;Axt;0;sagte er fest. -- Es war die Axt, die man in dem Schädel des;guhl;22.05.24 16:41:02;;;60;0.06;890;890
●;judenbuche;Axt;0;oben, unten, wandte sie um. »Es ist eine Axt wie andere«, sagte er dann;guhl;22.05.24 16:41:02;;;71;0.07;893;893
●;judenbuche;Axt;0;zuzuschreiben. Die Axt lag zwanzig Jahre nachher als unnützes;guhl;22.05.24 16:41:02;;;61;0.06;907;907
●;judenbuche;Axt;0;»Wo ist Eure Axt?« -- »Meine Axt? auf der Tenne.« -- »Habt Ihr einen;guhl;22.05.24 16:41:02;;;68;0.06;933;933
●;judenbuche;rock;0;roten Rocks wie Feuerflammen nachzogen.;guhl;22.05.24 16:52:29;;;39;0.04;358;358
●;judenbuche;rock;0;Jagdrock, den silbernen Wappenschild am Arm, die gespannte Büchse in der;guhl;22.05.24 16:52:29;;;72;0.07;662;662
●;judenbuche;rock;0;"Es war ein Stahlknopf seines Jagdrocks; nun war er fort.";guhl;22.05.24 16:52:29;;;56;0.05;721;721
●;judenbuche;rock;0;Friedrich stolzierte umher wie ein Hahn, im neuen himmelblauen Rock, und;guhl;22.05.24 16:52:29;;;72;0.07;1008;1008
●;judenbuche;rock;0;getreten, und nun rann das Fett schmählich die Rockschöße entlang.;guhl;22.05.24 16:52:29;;;66;0.06;1044;1044
●;judenbuche;rock;0;"ungemacht, wie er es verlassen hatte; dort hing sein guter Rock, den ihm";guhl;22.05.24 16:52:29;;;72;0.07;1563;1563
●;judenbuche;kuehe;0;seiner Mutter Kühe allein an das andere Ende des Tales, wo man ihn oft;guhl;22.05.24 16:55:20;;;70;0.07;283;283
●;judenbuche;kuehe;0;wohl nicht verbrennen. Du läßt ihn die Kühe hüten? Ebenso gut. Es ist;guhl;22.05.24 16:55:20;;;69;0.07;323;323
●;judenbuche;kuehe;0;noch nicht wieder da mit den Kühen, und den andern im Bette, dann schlaf;guhl;22.05.24 16:55:20;;;72;0.07;386;386
●;judenbuche;kuehe;0;um nach den Kühen zu schauen. Als sie wieder in die dunkle Küche trat,;guhl;22.05.24 16:55:20;;;70;0.07;435;435
●;judenbuche;kuehe;0;fort? wohin? die Kühe sind schon zu Hause. Verfluchter Junge, ich kann;guhl;22.05.24 16:55:20;;;70;0.07;447;447
●;judenbuche;kuehe;0;Hirtenbuben einsam und träumerisch hinter den Kühen herschleichend, oder;guhl;22.05.24 16:55:20;;;72;0.07;583;583
●;judenbuche;kuehe;0;Entfernung nah bei den Kühen, die, unbekümmert um die Forstgesetze,;guhl;22.05.24 16:55:20;;;67;0.06;638;638
●;judenbuche;kuehe;0;daß der Racker auf der Stelle krepierte. Seinetwegen können die Kühe mir;guhl;22.05.24 16:55:20;;;72;0.07;669;669
●;judenbuche;kuehe;0;es,« versetzte sie, »er ist schon um vier mit den Kühen heimgekommen,;guhl;22.05.24 16:55:20;;;69;0.07;781;781
●;judenbuche;kuehe;0;daß die Kühe an der Tenne die Hörner zurückzogen und Kettengeklirr und;guhl;22.05.24 16:55:20;;;70;0.07;1018;1018
●;judenbuche;kuehe;0;Kuh gestohlen, der hieß auch Fromm. Aber er ist still und nachdenklich,;guhl;22.05.24 16:56:00;;;71;0.07;310;310
●;judenbuche;kuehe;0;Kuh;guhl;22.05.24 16:56:20;;;3;0.00;334;334
●;judenbuche;aaron;0;Aaron geprügelt und ihm sechs Groschen genommen.« -- »Hat er dem Aaron;guhl;22.05.24 16:57:35;;;70;0.07;251;251
●;judenbuche;aaron;0;auch eine schöne Uhr, bis der Jude Aaron sie ihm wieder abnahm.«;guhl;22.05.24 16:57:35;;;64;0.06;1066;1066
●;judenbuche;aaron;0;Jude Aaron, ein Schlächter und gelegentlicher Althändler aus dem;guhl;22.05.24 16:57:35;;;64;0.06;1084;1084
●;judenbuche;aaron;0;des Juden Aaron, bleich wie der Tod, das Haar wild um den Kopf, von;guhl;22.05.24 16:57:35;;;67;0.06;1132;1132
●;judenbuche;aaron;0;Jude Aaron durch einen Schlag an die Schläfe mit einem stumpfen;guhl;22.05.24 16:57:35;;;63;0.06;1138;1138
●;judenbuche;aaron;0;Aaron war vor drei Tagen am Nachmittage;guhl;22.05.24 16:57:35;;;39;0.04;1142;1142
●;judenbuche;aaron;0;"Beim Juden Salomon wußte man nichts von Aaron; er war gar nicht";guhl;22.05.24 16:57:35;;;63;0.06;1149;1149
●;judenbuche;aaron;0;daß Aaron einen Handel mit ihnen im Auge hatte.;guhl;22.05.24 16:57:35;;;47;0.04;1151;1151
●;judenbuche;aaron;0;Der Gegenstand war die Buche, unter der Aarons Stab gefunden und wo der;guhl;22.05.24 16:57:35;;;71;0.07;1262;1262
●;judenbuche;aaron;0;so sehr gereue, als der Mord eines Glaubensgenossen, Aaron, den er im;guhl;22.05.24 16:57:35;;;69;0.07;1296;1296
●;judenbuche;aaron;0;Aaron ist zwar ein verbreiteter;guhl;22.05.24 16:57:35;;;31;0.03;1300;1300
●;judenbuche;friedrich;0;Friedrich Mergel, geboren 1738, war der einzige Sohn eines sogenannten;guhl;22.05.24 16:57:57;;;70;0.07;41;41
●;judenbuche;friedrich;0;In diesen Umgebungen ward Friedrich Mergel geboren, in einem Hause, das;guhl;22.05.24 16:57:57;;;71;0.07;107;107
●;judenbuche;friedrich;0;Friedrichs Vater, der alte Hermann Mergel, war in seinem;guhl;22.05.24 16:57:57;;;56;0.05;117;117
●;judenbuche;friedrich;0;Dennoch, obwohl unter einem Herzen voll Gram getragen, war Friedrich ein;guhl;22.05.24 16:57:57;;;72;0.07;164;164
●;judenbuche;friedrich;0;Friedrich stand in seinem neunten Jahre.;guhl;22.05.24 16:57:57;;;40;0.04;171;171
●;judenbuche;friedrich;0;Friedrich stand neben ihr, schon halb;guhl;22.05.24 16:57:57;;;37;0.04;178;178
●;judenbuche;friedrich;0;"Friedrich ward still; er horchte noch ein Weilchen und schlief dann ein.";guhl;22.05.24 16:57:57;;;72;0.07;197;197
●;judenbuche;friedrich;0;Friedrich, bist du wach?« -- »Ja, Mutter.« -- »Kind, bete ein;guhl;22.05.24 16:57:57;;;61;0.06;205;205
●;judenbuche;friedrich;0;Friedrich dachte an den Teufel, wie der wohl aussehen möge.;guhl;22.05.24 16:57:57;;;59;0.06;208;208
●;judenbuche;friedrich;0;Sie fuhr zum Herde, und bald darauf hörte Friedrich sie;guhl;22.05.24 16:57:57;;;55;0.05;219;219
●;judenbuche;friedrich;0;"Friedrich meinte, sie sei tot; er erhob ein fürchterliches Geschrei,";guhl;22.05.24 16:57:57;;;68;0.06;225;225
●;judenbuche;friedrich;0;Der Bruder blieb bei ihr, und Friedrich, dem bei strenger;guhl;22.05.24 16:57:57;;;57;0.05;231;231
●;judenbuche;friedrich;0;"Friedrich kam scheu heran; die Mutter war ihm ganz unheimlich geworden";guhl;22.05.24 16:57:57;;;70;0.07;245;245
●;judenbuche;friedrich;0;Friedrich hatte seinen Vater auf dem Stroh gesehen, wo er, wie man sagt,;guhl;22.05.24 16:57:57;;;72;0.07;261;261
●;judenbuche;friedrich;0;Friedrich wuchs dieses Gefühl mit den Jahren, durch das Gefühl mancher;guhl;22.05.24 16:57:57;;;70;0.07;267;267
●;judenbuche;friedrich;0;"Friedrich mußte von andern Knaben vieles darüber hören;";guhl;22.05.24 16:57:57;;;55;0.05;280;280
●;judenbuche;friedrich;0;"In der Mutter Züge kam ein heimliches, stolzes Lächeln; ihres Friedrichs";guhl;22.05.24 16:57:57;;;72;0.07;331;331
●;judenbuche;friedrich;0;"ging alles über Erwarten gut; Friedrich zeigte sich weder verstockt noch";guhl;22.05.24 16:57:57;;;72;0.07;337;337
●;judenbuche;friedrich;0;"eines feurigen Mannes, der unter dem gestohlenen Sacke büßt; Friedrich";guhl;22.05.24 16:57:57;;;70;0.07;359;359
●;judenbuche;friedrich;0;verkennen, und wie Friedrich so langsam seinem Führer nachtrat, die;guhl;22.05.24 16:57:57;;;67;0.06;365;365
●;judenbuche;friedrich;0;Friedrich.;guhl;22.05.24 16:57:57;;;10;0.01;377;377
●;judenbuche;friedrich;0;-- Friedrich schwieg.;guhl;22.05.24 16:57:57;;;21;0.02;379;379
●;judenbuche;friedrich;0;Friedrich;guhl;22.05.24 16:57:57;;;9;0.01;392;392
●;judenbuche;friedrich;0;festen Schritt des abgehärteten Wanderers, Friedrich schwankend und wie;guhl;22.05.24 16:57:57;;;71;0.07;397;397
●;judenbuche;friedrich;0;»Friedrich, kennst du den Baum?;guhl;22.05.24 16:57:57;;;31;0.03;416;416
●;judenbuche;friedrich;0;-- Friedrich;guhl;22.05.24 16:57:57;;;12;0.01;416;416
●;judenbuche;friedrich;0;Teufel gefahren war.« -- »Ohm, Ohm!« keuchte Friedrich.;guhl;22.05.24 16:57:57;;;55;0.05;420;420
●;judenbuche;friedrich;0;"-- Friedrich ließ den Arm seines Ohms los; beide legten";guhl;22.05.24 16:57:57;;;55;0.05;425;425
●;judenbuche;friedrich;0;und Friedrich kam noch immer nicht.;guhl;22.05.24 16:57:57;;;35;0.03;432;432
●;judenbuche;friedrich;0;"stand Friedrich am Herde; er hatte sich vornübergebeugt und wärmte die";guhl;22.05.24 16:57:57;;;70;0.07;436;436
●;judenbuche;friedrich;0;»Friedrich, wie gehts dem Ohm?«;guhl;22.05.24 16:57:57;;;31;0.03;441;441
●;judenbuche;friedrich;0;Friedrich, hast du das Reden verlernt?;guhl;22.05.24 16:57:57;;;38;0.04;443;443
●;judenbuche;friedrich;0;Friedrich, Friedrich!«;guhl;22.05.24 16:57:57;;;22;0.02;455;455
●;judenbuche;friedrich;0;Wohlbehagens, der an Albernheit grenzte, während in Friedrichs Zügen der;guhl;22.05.24 16:57:57;;;72;0.07;475;475
●;judenbuche;friedrich;0;»Friedrich,« sagte sie zögernd, »sag einmal --« und schwieg dann.;guhl;22.05.24 16:57:57;;;65;0.06;483;483
●;judenbuche;friedrich;0;Friedrich sah auf und wandte sich, da er nichts weiter vernahm, wieder;guhl;22.05.24 16:57:57;;;70;0.07;484;484
●;judenbuche;friedrich;0;-- Friedrich antwortete ebenso leise:;guhl;22.05.24 16:57:57;;;37;0.04;486;486
●;judenbuche;friedrich;0;Friedrich,« sagte sie, »laß den Jungen gehen, daß er seine Bestellung;guhl;22.05.24 16:57:57;;;69;0.07;497;497
